region,npv,num,anat,n,timepoint,hemisphere,npv_CI_low,npv_CI_high
BrainSegVolNotVent,0.23339041300281702,0.003694697517864012,0.015830545352432352,178,pd,,0.22668892757277745,0.2402934844409357
bankssts,0.6712934979837406,0.05048428753347596,0.07520449354136116,178,pd,,0.6520182263985105,0.6911485850582487
caudalanteriorcingulate,0.7439990937070967,0.057134678577140614,0.07679401636426433,178,pd,,0.7226361807138344,0.766004620102449
caudalmiddlefrontal,0.5314902328930036,0.03071886813364434,0.057797615520487795,178,pd,,0.5162292202142275,0.5472103089626168
cuneus,0.5350337515581766,0.0316516463662093,0.059158223708374175,178,pd,,0.5196709916036653,0.5508586355424478
eTIV,0.0056665979577228305,9.328435324726913e-05,0.016462144295967703,178,pd,,0.005503889373582688,0.005834200945394762
entoinalvolume,0.7452645367154548,0.1174843121338629,0.15764108762190965,178,pd,,0.7238652882627623,0.7673074915697363
frontalpole,0.6776329953866408,0.09111715134448425,0.1344638646063789,178,pd,,0.6581756938331155,0.697675588035568
fusiform,0.590389137807242,0.03134156858157778,0.053086289320943746,178,pd,,0.5734369239002334,0.6078512877822004
inferiorparietal,0.4470704239034821,0.019289086405031845,0.043145521094001424,178,pd,,0.43423341019137807,0.46029358519091035
inferiortemporal,0.44270330613687625,0.02871805341653981,0.06486975140786656,178,pd,,0.4299916882184881,0.45579729962544896
insula,0.7776247829110543,0.03607358364301808,0.0463894469874994,178,pd,,0.7552963543964983,0.8006248683019729
isthmuscingulate,0.7515285917635529,0.03364871056148944,0.044773693150554204,178,pd,,0.7299494795662546,0.7737568208068338
lateraloccipital,0.4280584818405108,0.01911539534499442,0.04465603686394555,178,pd,,0.4157673699548465,0.44071932014067705
lateralorbitofrontal,0.5773667369296807,0.03574608903924051,0.061912276466307994,178,pd,,0.5607884433933603,0.5944437187120084
lingual,0.470950031700359,0.020575131289188434,0.04368856546182233,178,pd,,0.45742734782011524,0.4848794886595555
medialorbitofrontal,0.6794181897723496,0.04186394191491271,0.06161734046146148,178,pd,,0.659909628811843,0.6995135837519609
middletemporal,0.5091041908166195,0.028851540759565523,0.05667119084855052,178,pd,,0.4944859626159244,0.5241621469401656
paracentral,0.5730170364647306,0.029549948337129265,0.05156905721239944,178,pd,,0.5565636386082107,0.5899653656059424
parahippocampal,0.7695071040914644,0.04785863499221344,0.062193883250394155,178,pd,,0.7474117635844032,0.7922670900023642
parsopercularis,0.7476604948106911,0.03853685457522556,0.05154325371301469,178,pd,,0.7261924497092432,0.769774315771602
parsorbitalis,0.611324304678241,0.042207803457112614,0.06904322817547373,178,pd,,0.5937709661836523,0.6294056615461479
parstriangularis,0.6626359269095314,0.03452180846939911,0.05209770111681903,178,pd,,0.6436092455969987,0.6822349459183596
pericalcarine,0.5067210798210406,0.0456952754154358,0.09017835893382226,178,pd,,0.4921712793822641,0.5217085498212033
postcentral,0.45396887845163364,0.022273212027216875,0.049063301658882084,178,pd,,0.4409337850838598,0.467396077788208
posteriorcingulate,0.6493947621342617,0.03474311308639002,0.053500759649193035,178,pd,,0.6307482826975326,0.6686021424926777
precentral,0.6010029279652155,0.022609764891079995,0.03762005780509041,178,pd,,0.583745953639019,0.6187790057949947
precuneus,0.5537342256933698,0.024459253421364978,0.044171467621922436,178,pd,,0.5378345072865407,0.5701122202669795
rostralanteriorcingulate,0.5242713039259664,0.05473314405854516,0.10439851208464035,178,pd,,0.5092175728860145,0.5397778631603121
rostralmiddlefrontal,0.5241671734771735,0.033468725333387836,0.0638512425556259,178,pd,,0.5091164324001615,0.5396706528081175
superiorfrontal,0.4831228843559736,0.02161561743432144,0.04474144805443467,178,pd,,0.4692506737164082,0.4974123821172162
superiorparietal,0.5702119108899245,0.028375541234599663,0.049763150668519385,178,pd,,0.5538390583648394,0.5870772718321146
superiortemporal,0.4493427986945779,0.022554432954545785,0.05019426820696914,178,pd,,0.43644053685870476,0.46263317082119737
supramarginal,0.7315862371580342,0.032048039043416576,0.04380623556822556,178,pd,,0.7105797423065389,0.7532246240706336
temporalpole,0.6628738525015819,0.09367368049883741,0.14131449014820488,178,pd,,0.6438403394821764,0.6824799087204556
transversetemporal,0.6178190279814403,0.04102177072677436,0.06639771335758646,178,pd,,0.6000792024198442,0.6360924815955502
