region,hemisphere,n_correlations,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
BrainSegVolNotVent,lh,26,26,1.0,13.399541557935875,0.21780749841399627,13.000617312347385,13.76448030766552,0.00032509103600796897,3.540783251880143e-05,0.00026949071999726433,0.0003945379139441856,201.0,201.0,201.0
BrainSegVolNotVent,rh,26,26,1.0,13.399541557935875,0.21780749841399627,13.000617312347385,13.76448030766552,0.00032509103600796897,3.540783251880143e-05,0.00026949071999726433,0.0003945379139441856,201.0,201.0,201.0
WhiteSurfArea,lh,26,26,1.0,6.35547473493466,0.36476213363716153,5.487190940194718,7.281892988767161,0.012744723742687574,0.002584363599702758,0.007570054870766904,0.020154365906389828,201.0,201.0,201.0
WhiteSurfArea,rh,26,26,1.0,6.397003282231639,0.3054167604217118,5.886809016642986,7.1675444415739715,0.012378584251407646,0.0019657706025777433,0.00804944445093408,0.01615522587115613,201.0,201.0,201.0
caudalanteriorcingulate,rh,26,26,1.0,18.513657789201382,1.1622394623586405,15.849140710809687,20.442008050872957,3.106319498547048e-05,1.9216716158016543e-05,1.0597317171476185e-05,9.642451756184528e-05,201.0,201.0,201.0
eTIV,rh,26,26,1.0,5.773366262177262,0.003862153873378416,5.764263409348514,5.77983960296019,0.017198614430232045,3.670466304984587e-05,0.017137193216610933,0.017285278423328443,201.0,201.0,201.0
eTIV,lh,26,26,1.0,5.773366262177262,0.003862153873378416,5.764263409348514,5.77983960296019,0.017198614430232045,3.670466304984587e-05,0.017137193216610933,0.017285278423328443,201.0,201.0,201.0
rostralmiddlefrontal,rh,26,26,1.0,14.784137490891485,1.2169508420258468,12.90249262647802,17.97951266739926,0.0001900906208863053,0.00010181687678760194,3.431460424471032e-05,0.00041441663517147805,201.0,201.0,201.0
pericalcarine,lh,26,26,1.0,5.248042736592729,0.5722953671951361,4.326260948977978,6.784809130298613,0.024198982802116818,0.007448745496118068,0.009894866103624292,0.0388226018580384,201.0,201.0,201.0
posteriorcingulate,lh,26,26,1.0,10.143991767730135,1.1987783326463202,8.423149080987507,12.622469630863387,0.0019924189800318956,0.0010864403687149526,0.0004769434561277581,0.00412668370581764,201.0,201.0,201.0
posteriorcingulate,rh,26,26,1.0,7.686779229363746,0.9563024161439864,5.467576335184604,9.165103672680146,0.007044208740376033,0.004383244681719212,0.0027965392870666753,0.02037543868652753,201.0,201.0,201.0
parsorbitalis,rh,26,26,1.0,7.871179206568524,1.4399273198201896,5.485520139039987,11.161005664487439,0.00714169494797706,0.004841466344129,0.0009992762971651223,0.02017309934577064,201.0,201.0,201.0
parsopercularis,rh,26,26,1.0,6.63009564362556,0.8913102311677462,4.835231204862019,8.410015516633358,0.012092483054171365,0.006025184806021467,0.004155352971294724,0.029048077828976532,201.0,201.0,201.0
parstriangularis,lh,26,26,1.0,8.074854469601934,0.6206982213568383,6.714566063422082,9.130483297849185,0.0052426430688005355,0.0018332351566239238,0.002847531624785845,0.010278492021381962,201.0,201.0,201.0
parsopercularis,lh,26,26,1.0,8.225252248200231,0.5687906083664548,6.963648836429124,9.363257791376249,0.004800127473001221,0.0015695868379089865,0.00252215106848637,0.008983517877133487,201.0,201.0,201.0
parstriangularis,rh,26,26,1.0,9.081210980354367,0.9273089573690382,7.410163727703119,10.551400819864263,0.003280218348303319,0.0016051908339502876,0.0013649267635530448,0.007067183333193195,201.0,201.0,201.0
superiortemporal,rh,26,26,1.0,5.1286000918329,0.4288659398373335,4.04995577590286,6.156161090617409,0.025369867228380378,0.006431934417059714,0.013933069733673411,0.045534204316674924,201.0,201.0,201.0
rostralanteriorcingulate,rh,26,26,1.0,7.374744323492242,1.038297865034903,5.923174398285156,9.773336602872464,0.008279176330081118,0.004088374634655245,0.0020384855501123234,0.015834878126199603,201.0,201.0,201.0
rostralmiddlefrontal,lh,26,23,0.8846153846153846,5.652533962611036,1.1243249408489175,3.1490201397810185,7.182316116113406,0.023078497962924025,0.017989062097886623,0.007985794467792299,0.07751697193580748,201.0,201.0,201.0
transversetemporal,rh,26,23,0.8846153846153846,5.5020842769269125,1.3154651225846536,3.1949251219067176,7.5058156168198265,0.026117229597832244,0.019205471730742447,0.0067146942810310485,0.07540443161970391,201.0,201.0,201.0
medialorbitofrontal,rh,26,23,0.8846153846153846,4.613620953943361,0.6220910902888723,3.1340606642847755,6.034544520166695,0.03517688171636406,0.013423696846715833,0.014894241652053868,0.07821919606086884,201.0,201.0,201.0
lateralorbitofrontal,rh,26,23,0.8846153846153846,5.53675920579896,1.3580082474042199,3.3949673403717524,8.312008150126816,0.025249505190879516,0.017043870408634608,0.0043758566096336144,0.0668985169329869,201.0,201.0,201.0
insula,lh,26,21,0.8076923076923077,5.13023414284038,1.46146533076032,1.559474029147649,7.807919918894991,0.03623378746663886,0.04122332808761845,0.00571571513922315,0.21322417771716137,201.0,201.0,201.0
frontalpole,rh,26,21,0.8076923076923077,5.614262095855834,1.6275939565037156,3.5054133557266205,9.580937680179717,0.0264599102735395,0.01933005916469076,0.0022523245877697057,0.06265033689304332,201.0,201.0,201.0
superiortemporal,lh,26,20,0.7692307692307693,4.36822054367729,0.7915318964484258,2.9332850291663477,6.008831979662249,0.04189138066728187,0.018358508717264254,0.015106128604552117,0.08834415114966264,201.0,201.0,201.0
transversetemporal,lh,26,19,0.7307692307692307,4.405630101406358,0.7792493729501141,3.3445943454557234,6.234231468083283,0.04067259495988625,0.016195191467766854,0.013350187099478243,0.06893810874985157,201.0,201.0,201.0
insula,rh,26,15,0.5769230769230769,4.788899499951748,1.8598547149782854,1.9898688390388701,8.84855237194546,0.0478491547833186,0.0435544195395916,0.003299958741130983,0.15993169354933984,201.0,201.0,201.0
middletemporal,rh,26,15,0.5769230769230769,4.093923448576898,0.5361750648694852,3.314814410103622,5.3222200055927384,0.04653251234163099,0.013725553746178332,0.022094684713225517,0.07017534887665466,201.0,201.0,201.0
temporalpole,rh,26,8,0.3076923076923077,3.170066861140189,1.0190321994513274,1.2407807576236263,4.6782534740545465,0.09364107633652716,0.060000125865447534,0.03175135229228303,0.2666778355901469,201.0,201.0,201.0
bankssts,rh,26,5,0.19230769230769232,3.2151140010261097,0.6712307364006137,2.0493727604294514,4.540573951591623,0.08100730005913855,0.03244111335973465,0.03434030526300698,0.153853479041787,201.0,201.0,201.0
pericalcarine,rh,26,5,0.19230769230769232,3.3804841847655513,0.5008035781716216,2.37825028216727,4.453355155462567,0.07054885915600688,0.02026559974926412,0.03609473946906549,0.12464006901873262,201.0,201.0,201.0
