region,n_correlations,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
BrainSegVolNotVent,26,26,1.0,13.399541557935875,0.21780749841399627,13.000617312347385,13.76448030766552,0.00032509103600796897,3.540783251880143e-05,0.00026949071999726433,0.0003945379139441856,201.0,201.0,201.0
BrainSegVol,26,26,1.0,10.78125615864038,0.18685058044215735,10.441946598101621,11.08269114310516,0.001218701009704065,0.00011703304611818131,0.0010400002718855465,0.0014438455496027095,201.0,201.0,201.0
Brain-Stem,26,26,1.0,11.286961653048126,0.563686054588235,10.31174248772241,12.790126599986262,0.000973819396362772,0.00026438421904014707,0.00043843755748782355,0.0015438290411509466,201.0,201.0,201.0
SubCortGrayVol,26,26,1.0,11.541808514231327,0.5274819335448615,10.718957766665712,12.739816448447364,0.0008510090580958637,0.00021010681181981222,0.0004496476566903689,0.0012525554731210467,201.0,201.0,201.0
SupraTentorialVol,26,26,1.0,8.436945469967737,0.18729449435838794,8.120363810446324,8.806337943878884,0.004116462925620452,0.00040429013322107726,0.0033737905089358255,0.004842439969185436,201.0,201.0,201.0
SupraTentorialVolNotVent,26,26,1.0,10.841309833765553,0.22356954304592203,10.454910897633395,11.293177090224464,0.001184051562208588,0.00013462198056831684,0.0009342003236486862,0.0014342596048663517,201.0,201.0,201.0
CortexVol,26,26,1.0,7.885632038840482,0.20522687404076814,7.561198022448099,8.297859395471933,0.005516481081923695,0.0005949599646832208,0.004408668202733307,0.006518934267693911,201.0,201.0,201.0
CerebralWhiteMatterVol,26,26,1.0,9.177179217168977,0.2341200880848692,8.75618426203993,9.667215736487643,0.0027993460301180342,0.00033927915116139547,0.0021537276334258246,0.003463714724813314,201.0,201.0,201.0
EstimatedTotalIntraCranialVol,26,26,1.0,5.773366262177262,0.003862153873378416,5.764263409348514,5.77983960296019,0.017198614430232045,3.670466304984587e-05,0.017137193216610933,0.017285278423328443,201.0,201.0,201.0
Left-Cerebellum-White-Matter,26,26,1.0,8.49532602826347,1.4082250791461246,6.471862119693852,11.596958117491154,0.004990451375826995,0.0030395596491919444,0.0008005237251034715,0.011726692097238575,201.0,201.0,201.0
Left-Cerebellum-Cortex,26,26,1.0,15.13710625621932,0.661535428747713,13.55539585261589,16.351648134897527,0.0001441158203286459,4.945901702546407e-05,7.54573805633892e-05,0.00029905084667014716,201.0,201.0,201.0
Left-Pallidum,26,26,1.0,10.141586162500866,1.5911382934181402,6.729524034101393,12.710289484229824,0.0024082405837921967,0.0023454120504618975,0.00045636237144732736,0.010195531030953062,201.0,201.0,201.0
Left-Thalamus,26,26,1.0,10.082477238529073,1.290987437820051,7.576593844037718,12.337546556180062,0.0021635196529836876,0.001492798653951907,0.0005504648877597713,0.006465566044295815,201.0,201.0,201.0
Left-VentralDC,26,26,1.0,10.196896482249848,1.14141983796943,7.937424991209136,12.604622347229151,0.0019413952511551065,0.0012030168292623403,0.0004812403561332428,0.0053355995658559965,201.0,201.0,201.0
MaskVol,26,26,1.0,9.778709526490356,0.16040739160100415,9.4210276592208,10.101303008541908,0.0020397800683759426,0.0001713488173539426,0.0017206333477365323,0.0024474667943068344,201.0,201.0,201.0
Right-Cerebellum-White-Matter,26,26,1.0,12.667886989522167,1.4803217913816418,9.627893589368957,14.981649779316752,0.0006119925302579677,0.00048343251109523135,0.00014757240675369038,0.0021981043582808284,201.0,201.0,201.0
Right-Cerebellum-Cortex,26,26,1.0,14.651701202062892,0.5306412933192793,13.59164546624495,15.447343377822731,0.0001797026564878523,4.903865445396697e-05,0.00011739010055575872,0.0002936989637303904,201.0,201.0,201.0
Right-Amygdala,26,26,1.0,9.165510625700145,1.5485637864248758,6.021648802115105,13.056416379662142,0.003768203282264916,0.003129858998378882,0.00038366961896134187,0.015000121570085229,201.0,201.0,201.0
