region,hemisphere,n_correlations,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
BrainSegVolNotVent,lh,26,26,1.0,13.399541557935875,0.21780749841399627,13.000617312347385,13.76448030766552,0.00032509103600796897,3.540783251880143e-05,0.00026949071999726433,0.0003945379139441856,201.0,201.0,201.0
BrainSegVolNotVent,rh,26,26,1.0,13.399541557935875,0.21780749841399627,13.000617312347385,13.76448030766552,0.00032509103600796897,3.540783251880143e-05,0.00026949071999726433,0.0003945379139441856,201.0,201.0,201.0
eTIV,lh,26,26,1.0,5.773366262177262,0.003862153873378416,5.764263409348514,5.77983960296019,0.017198614430232045,3.670466304984587e-05,0.017137193216610933,0.017285278423328443,201.0,201.0,201.0
eTIV,rh,26,26,1.0,5.773366262177262,0.003862153873378416,5.764263409348514,5.77983960296019,0.017198614430232045,3.670466304984587e-05,0.017137193216610933,0.017285278423328443,201.0,201.0,201.0
paracentral,lh,26,26,1.0,9.316861331138416,1.2606751367781401,7.5371440317470855,13.283722055784283,0.003077077791515205,0.0016488725111202906,0.00034245391474689997,0.006603225317287477,201.0,201.0,201.0
lateralorbitofrontal,lh,26,26,1.0,6.280273580714708,1.3104170749628923,4.2513903550852845,8.552862809479997,0.016594920239132196,0.011294213771521542,0.0038542072622821458,0.04053085021420543,201.0,201.0,201.0
entorhinal,lh,26,25,0.9615384615384616,5.566468129981254,1.1276484702531406,3.4699231045354058,7.917392666237014,0.023248802541167575,0.014135590094937204,0.005392652563709667,0.06398290140439614,201.0,201.0,201.0
entorhinal,rh,26,21,0.8076923076923077,5.226194412400719,1.4709278864611004,2.868735472848358,8.112371200764395,0.03177905710504796,0.02403962732968251,0.004862974844347608,0.09189627678719085,201.0,201.0,201.0
precentral,lh,26,14,0.5384615384615384,3.906227791352751,1.0172459646956709,2.400846852769809,6.037447553544441,0.058035747401625176,0.02965186485139919,0.014870513608171662,0.12287456487886307,201.0,201.0,201.0
parsorbitalis,lh,26,13,0.5,3.9691047223839067,0.8576647324870563,2.1421276905827042,6.442529318755649,0.05377280992658399,0.02663307610148742,0.011915499791416493,0.14489678015026317,201.0,201.0,201.0
parahippocampal,rh,26,12,0.46153846153846156,3.9734922015965832,0.9455065819194535,2.547345269094986,6.781732526882226,0.0544267530909528,0.025638798075029917,0.009911354673364322,0.11208266141288971,201.0,201.0,201.0
insula,lh,26,10,0.38461538461538464,3.789753838309698,1.1893901666134434,2.1879647119457037,7.815714664559704,0.06426046587262686,0.03505406204830092,0.0056920670814278405,0.14069025574524346,201.0,201.0,201.0
paracentral,rh,26,7,0.2692307692307692,3.4431570354896683,0.5768651667090969,2.2795410142916572,4.381463416427207,0.06920667359790819,0.02487005847536232,0.03761194271301142,0.1326928958208761,201.0,201.0,201.0
frontalpole,lh,26,3,0.11538461538461539,2.592045250121078,1.0022291161748393,0.8304693104370054,4.415424358701209,0.13528858439385466,0.08894388090020176,0.036887008145487475,0.3632506089947777,201.0,201.0,201.0
insula,rh,26,3,0.11538461538461539,2.4242929737530354,0.9811012237947226,0.6996930192513436,4.848056491975349,0.14717944949837555,0.09055589357666792,0.02883817396102488,0.4039003541259406,201.0,201.0,201.0
parsorbitalis,rh,26,3,0.11538461538461539,2.805545281529781,0.8735604247902555,1.3369903632980942,4.4841527425961605,0.11040493436912745,0.056007368898374606,0.0354646776359464,0.24896571758582756,201.0,201.0,201.0
precentral,rh,26,3,0.11538461538461539,3.153920342790284,0.5895889082803679,1.9970944963558694,4.392153412441535,0.08243083618048373,0.028917537548579703,0.037382143549039216,0.15917913378536444,201.0,201.0,201.0
caudalmiddlefrontal,rh,26,0,0.0,0.2713131953721075,0.1549979720945419,0.029187691147896,0.7353858066602568,0.622652532341951,0.10812118305932225,0.3921850405438878,0.8645217298461907,201.0,201.0,201.0
caudalmiddlefrontal,lh,26,0,0.0,0.061324710968189686,0.07052455938131834,4.208554332109205e-05,0.24113088758605658,0.8418706291375528,0.1126054254158694,0.6239371029701717,0.994830454809407,201.0,201.0,201.0
cuneus,rh,26,0,0.0,0.23878514244683172,0.20411474000722138,0.03695852833020591,0.929378964039659,0.6576787874619411,0.13009809897503394,0.33620624434859814,0.8477475333712504,201.0,201.0,201.0
bankssts,lh,26,0,0.0,0.3066703711031416,0.17154801308024506,0.07941625632498406,0.6348631688387549,0.5991396364956447,0.10527132421541473,0.42653627135854033,0.7783858594478191,201.0,201.0,201.0
bankssts,rh,26,0,0.0,0.03064639741641528,0.05068577511357699,0.0014262247737286775,0.23844717693422224,0.8899272864744248,0.0831574212388971,0.6258729897633933,0.9699129803821621,201.0,201.0,201.0
caudalanteriorcingulate,lh,26,0,0.0,0.8193258187500763,0.3409135395407314,0.3342617927924414,1.5412273416858993,0.3857261839606479,0.10523673170942857,0.21591134390503594,0.5638206066517049,201.0,201.0,201.0
caudalanteriorcingulate,rh,26,0,0.0,0.03678097699270195,0.050659824659250265,0.0009247897508986786,0.1814260171560659,0.8782738579521419,0.08979061252574518,0.6706155964105396,0.9757705721623225,201.0,201.0,201.0
MeanThickness,rh,26,0,0.0,1.267554294632618,0.17624708705368106,0.9211330490815169,1.555588035953614,0.26413823737254705,0.03367992657587115,0.21379309511441005,0.33835409931497096,201.0,201.0,201.0
MeanThickness,lh,26,0,0.0,0.9164971962812494,0.17586143312249275,0.5567889654801162,1.2871298076093203,0.3437794721396396,0.04771556329431854,0.2579561408992935,0.45644641355619,201.0,201.0,201.0
cuneus,lh,26,0,0.0,0.05303553614545275,0.06714552944403712,0.0002469812634974726,0.24116746464897051,0.8510065116529482,0.1020810632071215,0.6239108108039919,0.9874771561527851,201.0,201.0,201.0
inferiortemporal,rh,26,0,0.0,0.13490041998744887,0.10640271109605491,0.010683359229694243,0.44189409144433667,0.7374446093725969,0.10660519538897809,0.506987075409733,0.9177821339039843,201.0,201.0,201.0
inferiorparietal,lh,26,0,0.0,0.3892630268779166,0.18123510575378995,0.06298692804464849,0.7664405508592432,0.5509603866906642,0.10673114969513846,0.3823866123022721,0.8020973597041823,201.0,201.0,201.0
frontalpole,rh,26,0,0.0,0.8885810423869913,0.6071832591652282,0.06025420825671021,2.519880086839187,0.3975283255863831,0.1677375098296847,0.11402285401986714,0.8063501352525704,201.0,201.0,201.0
inferiorparietal,rh,26,0,0.0,0.04195294032460733,0.05966966666565044,1.2640211404732611e-05,0.25422290005929493,0.8734771956286613,0.0997884001021503,0.614680615995548,0.9971668786443922,201.0,201.0,201.0
inferiortemporal,lh,26,0,0.0,1.0835133351035342,0.3476963030580536,0.6123343523018083,1.8583534774499224,0.3115694572706857,0.07736331649628846,0.1743709304860205,0.43484982962012775,201.0,201.0,201.0
