region,hemisphere,n_correlations,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
BrainSegVolNotVent,lh,26,26,1.0,13.399541557935875,0.21780749841399627,13.000617312347385,13.76448030766552,0.00032509103600796897,3.540783251880143e-05,0.00026949071999726433,0.0003945379139441856,201.0,201.0,201.0
BrainSegVolNotVent,rh,26,26,1.0,13.399541557935875,0.21780749841399627,13.000617312347385,13.76448030766552,0.00032509103600796897,3.540783251880143e-05,0.00026949071999726433,0.0003945379139441856,201.0,201.0,201.0
caudalanteriorcingulate,rh,26,26,1.0,20.12292148098825,0.8532341347293371,18.392172418372024,21.695955699878755,1.3366562273456807e-05,5.6772409820828655e-06,5.868594275661943e-06,2.81425681836803e-05,201.0,201.0,201.0
eTIV,rh,26,26,1.0,5.773366262177262,0.003862153873378416,5.764263409348514,5.77983960296019,0.017198614430232045,3.670466304984587e-05,0.017137193216610933,0.017285278423328443,201.0,201.0,201.0
eTIV,lh,26,26,1.0,5.773366262177262,0.003862153873378416,5.764263409348514,5.77983960296019,0.017198614430232045,3.670466304984587e-05,0.017137193216610933,0.017285278423328443,201.0,201.0,201.0
parsopercularis,rh,26,26,1.0,6.157543086472763,0.7514066959090544,4.4940315194642135,7.65301630958605,0.015187634164627381,0.006695491692504179,0.006207237930211151,0.03526504227618748,201.0,201.0,201.0
parsorbitalis,rh,26,26,1.0,10.28935845394643,1.5951964100799596,7.5803953488734335,13.260895895895906,0.002148548386485602,0.001733506317955837,0.00034638082647555626,0.00645245788809251,201.0,201.0,201.0
parstriangularis,lh,26,26,1.0,10.08830505185319,0.8434235331231839,8.163136629253074,11.851551765612255,0.001907258388986068,0.0009026262321419576,0.00070360190079172,0.004734051560512772,201.0,201.0,201.0
parsopercularis,lh,26,26,1.0,7.123634570982596,0.6482749813101022,5.7906647124549435,8.45590753944378,0.008765980312893693,0.003201378200268429,0.004056057049626853,0.017035055330518398,201.0,201.0,201.0
parstriangularis,rh,26,26,1.0,8.59950732576702,0.9146112882687909,6.282162711714945,10.40429207809761,0.004235296334557884,0.0023248548342046844,0.001472060668729302,0.013004912555464898,201.0,201.0,201.0
insula,lh,26,26,1.0,11.128677243874495,1.6831866344727218,8.21429542305285,15.29906309361431,0.001406271585918035,0.001146299627980335,0.00012625033397264802,0.004607680317618999,201.0,201.0,201.0
insula,rh,26,26,1.0,8.562286162461218,1.9758750077742822,5.18024493126484,11.978367890742527,0.006474615201711763,0.006987176152067291,0.0006598760570860474,0.023920691971232817,201.0,201.0,201.0
lateralorbitofrontal,lh,26,26,1.0,5.664241518922765,0.726129461580904,4.37410913685794,6.963402993535299,0.019810136105048073,0.008087060466945298,0.008984709283167391,0.03777090126226682,201.0,201.0,201.0
lateralorbitofrontal,rh,26,26,1.0,7.241817480673642,1.210456891725207,5.389606281817476,9.716722493453437,0.00930471175334687,0.005265797251030432,0.0020991581371992427,0.02127955734817588,201.0,201.0,201.0
rostralmiddlefrontal,lh,26,26,1.0,7.159365618628848,1.2471707021031277,4.159710060615278,8.934311935693154,0.010651440759450183,0.009858674955739418,0.003155027373652585,0.04273167597565227,201.0,201.0,201.0
superiortemporal,rh,26,26,1.0,6.528642458188158,0.6124384026020797,5.182560707446193,7.682350755078634,0.012031983387550625,0.004201189093238708,0.0061109242816676556,0.023889674319559465,201.0,201.0,201.0
superiortemporal,lh,26,26,1.0,6.269632450276116,0.8992810916048097,4.542093360588039,7.9833920505671205,0.014729577881552705,0.007257815713398205,0.005207018113879764,0.03431055096921452,201.0,201.0,201.0
rostralanteriorcingulate,rh,26,26,1.0,10.68349007618063,1.1937832898170524,8.335461840775574,13.029915350522911,0.0015241087213842962,0.0009304565021251292,0.0003887928379761475,0.004322017980901346,201.0,201.0,201.0
posteriorcingulate,lh,26,26,1.0,13.132953457872125,1.028925326076011,11.534314791070903,15.620555301234743,0.0004161764814627671,0.0001953494271713871,0.00010783607972318129,0.0008263934665533129,201.0,201.0,201.0
rostralmiddlefrontal,rh,26,26,1.0,16.421709748763366,0.97909258211205,14.437995231545209,18.79148997514457,8.128925195960613e-05,3.9495434638477465e-05,2.324177107782449e-05,0.00019297116464238572,201.0,201.0,201.0
posteriorcingulate,rh,26,26,1.0,10.785284570215294,1.0749967473588284,8.87116523927008,13.047545200493255,0.0013972934753705393,0.0007547569219982264,0.0003853769097228214,0.0032610931816996532,201.0,201.0,201.0
medialorbitofrontal,rh,26,25,0.9615384615384616,5.622579448827462,1.1185115156907313,3.772137714246034,7.7108397478239885,0.022526692002946137,0.013525539361506564,0.006018858893718167,0.053538782798770494,201.0,201.0,201.0
rostralanteriorcingulate,lh,26,20,0.7692307692307693,4.331170085461834,0.574365449637412,3.220761871360443,5.39392910231885,0.04090409953831787,0.013583536458375034,0.02122835079433204,0.07424291707801234,201.0,201.0,201.0
precuneus,lh,26,20,0.7692307692307693,4.353141814892611,0.550620855099488,3.4928660802807903,5.157733739464631,0.04020138647243439,0.012550782374646886,0.024224413011974352,0.06311801447388932,201.0,201.0,201.0
transversetemporal,rh,26,12,0.46153846153846156,3.7935370292580313,0.8183601855265255,1.9857132148377794,5.389757401925339,0.06013551055266954,0.03347101375556675,0.021277765060936465,0.16036635365521099,201.0,201.0,201.0
frontalpole,rh,26,11,0.4230769230769231,3.733420371133401,1.2113498811321564,1.096791545743619,5.719105659081436,0.07356288664620914,0.06372683015136404,0.017722175169417095,0.2962545163575978,201.0,201.0,201.0
postcentral,lh,26,11,0.4230769230769231,3.6954466875056813,0.43641630738167336,2.803947109848656,4.636653911166241,0.05797578609761754,0.01547905667366638,0.032511202862987115,0.09561933437216275,201.0,201.0,201.0
paracentral,rh,26,7,0.2692307692307692,3.539494968376956,0.44537300131155033,2.7020811875050135,4.306120552972741,0.0636623250560296,0.0170483434299605,0.0392745038153496,0.1018122935082665,201.0,201.0,201.0
fusiform,lh,26,6,0.23076923076923078,3.1108988322892204,0.6706888568817034,1.76073492630054,4.092590003619735,0.08655878255729638,0.036453756139071355,0.04442306263506719,0.18606881980292173,201.0,201.0,201.0
precentral,lh,26,6,0.23076923076923078,3.6175582179443904,0.38924721842816024,3.0229635671769293,4.433136307776796,0.06018198363932804,0.013133047787572117,0.03651479444888411,0.08365560289582392,201.0,201.0,201.0
caudalmiddlefrontal,lh,26,4,0.15384615384615385,3.149539876733291,0.4966920774429371,2.367536479924635,4.168344701601059,0.08099839360416822,0.022657110637778668,0.04251909641183908,0.12548705460448462,201.0,201.0,201.0
