region,hemisphere,n_tests,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
lateraloccipital,rh,26,24,0.9230769230769231,8.197534028989704,2.7283145269978544,2.3526924964586695,13.571855260965211,0.01383605211095268,0.027233365288132232,0.00030051564989409346,0.1267569332617173,192.0,192.0,192.0
inferiorparietal,lh,26,22,0.8461538461538461,5.776623541334907,1.9928489912791372,1.9242801763149977,10.507027307857172,0.030570281054330024,0.03713937055279928,0.0014080013081647872,0.16703667054809973,192.0,192.0,192.0
cuneus,lh,26,16,0.6153846153846154,4.534120022001158,2.1264925658513945,0.912078121926273,9.606302750561587,0.06776580302691762,0.08521585057181538,0.0022386442749419734,0.34079657192258694,192.0,192.0,192.0
fusiform,rh,26,15,0.5769230769230769,4.433915045991557,2.4121739502024284,0.09408562027792021,8.301685388295311,0.10869337307462697,0.18256111189478985,0.004423888178652442,0.7593872820093566,192.0,192.0,192.0
parsopercularis,rh,26,13,0.5,3.825745497483074,2.214750451470901,0.7934031968675443,8.407923916372772,0.10188673204216313,0.09918646103114727,0.004183257495626209,0.3742176279082591,192.0,192.0,192.0
middletemporal,lh,26,9,0.34615384615384615,2.9985232967617685,1.8611352641699503,0.19152546421241964,6.766921628176184,0.17181607213624023,0.2001481389409419,0.01002941938771416,0.6621550454388369,192.0,192.0,192.0
inferiortemporal,lh,26,9,0.34615384615384615,3.0333283092710768,1.8259183079416368,0.404324210043754,7.579747600793052,0.1479776780819913,0.14448257679918908,0.006484842296285066,0.5256418899093591,192.0,192.0,192.0
supramarginal,lh,26,7,0.2692307692307692,2.2957932869954303,2.017225137792773,0.022231408533104416,6.108620091219608,0.2974725123161717,0.2903036378097247,0.014346805107698398,0.8816338165851942,192.0,192.0,192.0
lingual,rh,26,6,0.23076923076923078,2.8500107013662515,1.647009471356671,0.5375057524459982,6.884579627546352,0.1472347690145332,0.12516297280083208,0.009412271149286423,0.4643863267188926,192.0,192.0,192.0
superiortemporal,lh,26,6,0.23076923076923078,2.5082263366203423,2.0835697463806553,0.049461698217314144,8.570942991182168,0.22526992390858452,0.2110996990565891,0.0038398616152727706,0.8242453346828446,192.0,192.0,192.0
pericalcarine,lh,26,5,0.19230769230769232,2.062742705795067,1.8727378964922403,0.07956216674103156,7.150404462458036,0.28269487319676123,0.23582631810288557,0.00815822710720922,0.7782035543236724,192.0,192.0,192.0
lateraloccipital,lh,26,5,0.19230769230769232,2.3680376715236773,1.5383628147433843,0.41794938749816174,5.943242683594555,0.1898669353256297,0.1427726714681424,0.015708882117638042,0.5187546978245708,192.0,192.0,192.0
cuneus,rh,26,5,0.19230769230769232,2.471206346912648,2.5738494877192664,0.01909702501068464,9.795230374677546,0.3061663971781893,0.30245702645003303,0.0020303151388527695,0.89023738265493,192.0,192.0,192.0
transversetemporal,rh,26,4,0.15384615384615385,1.7220447603780609,1.7333057208829021,0.001555749333317668,6.4550389212073345,0.35108448392205344,0.2922533252203092,0.011876386049305878,0.9685792845694936,192.0,192.0,192.0
bankssts,rh,26,3,0.11538461538461539,1.756979406813386,1.8490512212402637,0.015846322508428042,6.1736355175380355,0.37156566406966834,0.3089583034677914,0.013845466685377734,0.8999604276566743,192.0,192.0,192.0
transversetemporal,lh,26,3,0.11538461538461539,2.006043405289303,2.0910873167143693,0.0005054231506789944,7.85693257379284,0.3227420015330243,0.28510786529355575,0.005596387489288853,0.9820877457984026,192.0,192.0,192.0
fusiform,lh,26,3,0.11538461538461539,2.510405453505747,1.5110033328891335,0.1902432160935359,6.560162349053389,0.17944586828724443,0.16444129787882758,0.011217392645048547,0.6632173931044409,192.0,192.0,192.0
parsopercularis,lh,26,3,0.11538461538461539,1.890348902196859,1.5590242455503975,1.6586167511500805e-05,5.861222783229504,0.308261597229996,0.29148009667106706,0.01643363761833529,0.9967548761730708,192.0,192.0,192.0
superiortemporal,rh,26,3,0.11538461538461539,2.14182872684472,1.2672838922907321,0.02047666466188562,5.422570308495185,0.21512331783032718,0.2010413438223258,0.02094698884563793,0.8863678871935029,192.0,192.0,192.0
pericalcarine,rh,26,2,0.07692307692307693,1.3670356011792804,1.5733320761345022,0.0012088628445940455,5.382957365048925,0.43172114580546006,0.31297134810350824,0.0214137739083845,0.9723012602156578,192.0,192.0,192.0
parstriangularis,lh,26,2,0.07692307692307693,1.2511900177737485,1.4229055415975553,0.021263260741567383,4.821026204255315,0.428043997245693,0.2813222610727883,0.029345225344332603,0.8842211240943957,192.0,192.0,192.0
posteriorcingulate,lh,26,2,0.07692307692307693,0.969602314712337,1.4897333423484351,0.0021976252468696228,6.154056928587016,0.5241441672000756,0.29105252742689575,0.013994495051815806,0.9626598224569949,192.0,192.0,192.0
inferiorparietal,rh,26,2,0.07692307692307693,1.15754410125056,1.6146039708559634,0.0021193235173518,8.08276086555902,0.4037742317385089,0.20691979684625952,0.004965666902984421,0.9633305930956491,192.0,192.0,192.0
lingual,lh,26,2,0.07692307692307693,1.780627128832871,1.3788735964424867,0.0766148650022863,5.48381711418366,0.2649075417267469,0.17824573870051158,0.020246080713280892,0.7822440722655802,192.0,192.0,192.0
superiorparietal,rh,26,2,0.07692307692307693,0.5883077428075109,1.3549859292539943,0.0003592965071800845,5.953773011996367,0.6711870683801908,0.2709885976285861,0.015618270231242704,0.9848971186986223,192.0,192.0,192.0
middletemporal,rh,26,2,0.07692307692307693,1.439207333479478,1.3268001141370938,6.824104708826501e-05,5.896002338028928,0.3471830197252869,0.25136539190236445,0.016122156501662457,0.9934177051589904,192.0,192.0,192.0
bankssts,lh,26,2,0.07692307692307693,1.4190962355635552,1.4525213789669598,0.008651150737850352,5.939281840894417,0.39160741981423464,0.29621076668144297,0.015743105895996187,0.9259939490887502,192.0,192.0,192.0
medialorbitofrontal,rh,26,1,0.038461538461538464,0.8942123773253263,1.2252183962138345,0.0014237707447256277,3.9110148358568253,0.5337791885954922,0.296903497814617,0.049439715953292836,0.9699409056098337,192.0,192.0,192.0
parahippocampal,rh,26,1,0.038461538461538464,1.195161142457847,1.7701820904354069,0.0006937434608191702,8.766319539519413,0.44284902557567835,0.26813283143285915,0.003466138077702824,0.9790150264106178,192.0,192.0,192.0
frontalpole,lh,26,1,0.038461538461538464,0.6584631914053163,1.126077401721503,5.613304868274274e-06,4.435530229452633,0.6343873159419225,0.3152376659884474,0.03653278398995694,0.9981121461811564,192.0,192.0,192.0
entorhinal,lh,26,1,0.038461538461538464,1.4302896041501776,1.5771199742297906,0.01986757612608604,7.16492483466583,0.3785331932405977,0.2662308560636335,0.008094912043916849,0.8880592748122574,192.0,192.0,192.0
WhiteSurfArea,lh,26,1,0.038461538461538464,1.7678952462688027,1.028912065013705,0.4545337846040863,5.396261972358518,0.22557429056572564,0.11595398438982038,0.021255797092974513,0.5010223174093609,192.0,192.0,192.0
lateralorbitofrontal,rh,26,1,0.038461538461538464,0.6579501328692301,1.242734335597914,1.4400037411942641e-05,6.121939496209987,0.6041353088741098,0.2792133980147028,0.014242584336825204,0.9969762894239307,192.0,192.0,192.0
temporalpole,lh,26,1,0.038461538461538464,0.4517860484666744,0.9375986037097026,0.0006198440219096711,4.666451965007137,0.6617307822722177,0.24667571905127483,0.032029885073513814,0.9801639332368981,192.0,192.0,192.0
posteriorcingulate,rh,26,1,0.038461538461538464,0.9724804295383453,1.3392584630337787,1.03798315544306e-05,4.992605735505829,0.5114798117454235,0.2916242653293412,0.0266399752584404,0.9974328345786846,192.0,192.0,192.0
superiorparietal,lh,26,1,0.038461538461538464,1.3110393279049646,1.3601666004370188,0.027802536303835737,4.437298359493274,0.4042284445800052,0.2732068048419099,0.03649587511157582,0.8677540608636511,192.0,192.0,192.0
insula,rh,26,1,0.038461538461538464,0.5921567765568162,1.0413739139166556,1.581122830395879e-05,4.569905920921912,0.6154764967854539,0.27201957072472527,0.033836867178212535,0.9968315919275978,192.0,192.0,192.0
dx_group,rh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
entorhinal,rh,26,0,0.0,1.205654457841478,1.0302865466202211,0.00780489841358369,3.881975483125207,0.3904382217363809,0.26898048970413585,0.050283223556002614,0.929696745539642,192.0,192.0,192.0
eTIV,rh,26,0,0.0,2.2198934277065345,0.012948652742146207,2.1952425805139812,2.237147695873618,0.13793231876247294,0.0011446049162717445,0.1364150357667991,0.1401205008836797,192.0,192.0,192.0
eTIV,lh,26,0,0.0,2.2198934277065345,0.012948652742146207,2.1952425805139812,2.237147695873618,0.13793231876247294,0.0011446049162717445,0.1364150357667991,0.1401205008836797,192.0,192.0,192.0
caudalmiddlefrontal,rh,26,0,0.0,0.2697173827957966,0.3575613688000965,0.0008203522524424116,1.6627649655041812,0.6882505004951738,0.20730353258003206,0.19882302048804718,0.9771808243760488,192.0,192.0,192.0
WhiteSurfArea,rh,26,0,0.0,1.4168636880022425,0.6048121161142439,0.47673039248419985,2.581386048325822,0.26074444966130916,0.10480942903317951,0.10981417800250355,0.490763146628561,192.0,192.0,192.0
caudalanteriorcingulate,lh,26,0,0.0,0.3373798078876018,0.4555433108661485,0.0009105639035665372,1.6345370940949184,0.6792028206711329,0.24853017085460136,0.20266113574114414,0.9759592277287346,192.0,192.0,192.0
BrainSegVolNotVent,lh,26,0,0.0,0.9290183023909427,0.38681182861944535,0.20978846963989695,2.0467307389266742,0.35621457132281287,0.10513277616594185,0.15420230210354927,0.6474650343331224,192.0,192.0,192.0
BrainSegVolNotVent,rh,26,0,0.0,0.9290183023909427,0.38681182861944535,0.20978846963989695,2.0467307389266742,0.35621457132281287,0.10513277616594185,0.15420230210354927,0.6474650343331224,192.0,192.0,192.0
dx_group,lh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
caudalanteriorcingulate,rh,26,0,0.0,0.6762117306185226,0.6206243181993434,0.001032898753993112,1.8730465972194916,0.5245542630198492,0.27410417396505327,0.17276845985969602,0.974395684190764,192.0,192.0,192.0
caudalmiddlefrontal,lh,26,0,0.0,0.4801242888725845,0.5816637767681994,0.0009574265405552978,1.9382936726847608,0.6032905049949843,0.2515709700501712,0.16550734087702576,0.9753485470860492,192.0,192.0,192.0
insula,lh,26,0,0.0,0.6724154202744234,0.6802295342306164,0.0010738323696532226,2.7237516257684864,0.5235607572872151,0.26108463861976605,0.10054395343854072,0.9738934450396799,192.0,192.0,192.0
parstriangularis,rh,26,0,0.0,1.1850174327155003,1.0358610797537222,0.013702248143060099,3.417241114874431,0.38803046665026036,0.2498537076543488,0.06609767967265973,0.9069408240747547,192.0,192.0,192.0
parsorbitalis,rh,26,0,0.0,0.8157701131894057,0.7717536812454177,0.037933510780691584,2.7912739178965946,0.4648565271699405,0.23387577872274445,0.09645164597042963,0.8457881488625137,192.0,192.0,192.0
parsorbitalis,lh,26,0,0.0,1.0145723220313734,0.916262154368496,0.012015755815239813,3.80883095884925,0.41919062687580555,0.24797088528624875,0.052476595282772945,0.912831144473979,192.0,192.0,192.0
parahippocampal,lh,26,0,0.0,0.627737125663378,0.8102990459091498,0.0013741959073083026,2.9772869557887627,0.5776571777378361,0.2818023036156872,0.08609266843181727,0.9704686166037568,192.0,192.0,192.0
paracentral,lh,26,0,0.0,0.36127240782390585,0.35963057019202205,0.007902514943022973,1.2895502244731194,0.6150535589245121,0.19546229203976198,0.25758418877087597,0.9292596231027681,192.0,192.0,192.0
medialorbitofrontal,lh,26,0,0.0,0.6563172410291007,0.9016605283661059,0.0005866866244765103,2.7148931375673864,0.5935932367131755,0.2995078718696348,0.10109486691984969,0.9807016642008334,192.0,192.0,192.0
paracentral,rh,26,0,0.0,0.2099732497696206,0.36506190504084157,9.224217888717637e-05,1.546047720601512,0.7603235118131975,0.22123724227798336,0.21527644047090042,0.9923472500923697,192.0,192.0,192.0
lateralorbitofrontal,lh,26,0,0.0,0.3731101252352834,0.4456450395625765,0.0005813004362171909,1.3447271295906535,0.6359551309080957,0.22622377243628813,0.2476805444339638,0.9807904371473684,192.0,192.0,192.0
isthmuscingulate,rh,26,0,0.0,0.362238890606658,0.395250361955788,0.00024627539327624665,1.2079953656984959,0.6545409778046909,0.25288242342435785,0.27314250268343165,0.9874959112862022,192.0,192.0,192.0
isthmuscingulate,lh,26,0,0.0,0.5290991340094207,0.8003891850592088,0.0003669969473042636,3.048731800401749,0.6187545744664112,0.26986098532045644,0.08244241377259617,0.9847361539527725,192.0,192.0,192.0
