region,n_tests,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
BrainSegVol-to-eTIV,26,22,0.8461538461538461,4.366187045384792,0.6193499038664378,3.093399786532933,5.92716452281502,0.04042557684563318,0.01400754353761756,0.015848288203586313,0.08024604651274113,192.0,192.0,192.0
Brain-Stem,26,13,0.5,4.0214377128016086,1.328247265342795,1.5787152921243124,6.454989513347805,0.06451701948750799,0.05664026070882189,0.011876705033216035,0.21051316615056523,192.0,192.0,192.0
CC_Posterior,26,5,0.19230769230769232,2.1407720972612605,1.9111789489201538,0.0058840000117535715,6.081713623878152,0.32130730370759025,0.3125643137515527,0.014559764533865146,0.9389384553432246,192.0,192.0,192.0
4th-Ventricle,26,5,0.19230769230769232,2.558490369003915,1.316300635381881,1.0619775095175028,6.472568443276099,0.1441400706303323,0.07965698591809471,0.011763771518121696,0.3040956055242246,192.0,192.0,192.0
Right-choroid-plexus,26,5,0.19230769230769232,2.4173352743207137,2.6513984695174115,0.051769368371240215,9.917249378454898,0.28525417421107474,0.24593430977785827,0.00190641662411626,0.8202611250642002,192.0,192.0,192.0
Right-Caudate,26,5,0.19230769230769232,2.2228592736455246,1.520039705102208,0.023706870520137344,6.0218804773583345,0.2326561268316812,0.22508617146226526,0.015045187618904759,0.8777991468196281,192.0,192.0,192.0
Left-Cerebellum-White-Matter,26,4,0.15384615384615385,1.9141864723201318,1.5425596381673807,0.24527216792948497,5.273354064858355,0.2802869472468884,0.22010786676536165,0.022762812300560247,0.6210053846667885,192.0,192.0,192.0
Right-Amygdala,26,2,0.07692307692307693,1.641082543654535,1.2190611262464213,0.15009622716503088,5.444190027972496,0.2745408633463946,0.17609232990928636,0.020696723854671358,0.698884007244265,192.0,192.0,192.0
Optic-Chiasm,26,2,0.07692307692307693,1.1926985413565954,1.3568421685180507,0.0007565871081329101,5.48132656098821,0.43917540354467677,0.29455800891730965,0.020274099631721717,0.9780853836780493,192.0,192.0,192.0
Left-choroid-plexus,26,1,0.038461538461538464,1.30976480872003,1.3078696228321223,6.552827249096875e-07,4.99109939288261,0.40855490496821745,0.3032729026876429,0.026662551427798387,0.9993549791342651,192.0,192.0,192.0
Right-vessel,5,1,0.038461538461538464,2.1512836854691866,3.6811487497666526,0.00013463965689590666,8.571579541594705,0.5437800497812642,0.44357872496593176,0.0038409272402537623,0.9907543774988249,191.69230769230768,191.0,192.0
Left-vessel,26,1,0.038461538461538464,1.022454939444811,1.205710632246585,0.012222195140747839,4.966644930082249,0.47462678836687994,0.2912415736628845,0.02703188105612158,0.9120885575110775,192.0,192.0,192.0
5th-Ventricle,0,0,0.0,,,,,,,,,6.461538461538462,3.0,10.0
3rd-Ventricle,26,0,0.0,0.28874577854247924,0.36788600212278416,0.0006719975885229872,1.3829501316688335,0.6859726375189052,0.22374221098710823,0.24109422588660265,0.979346464033457,192.0,192.0,192.0
CortexVol,26,0,0.0,0.8222223989919221,0.25243859089081255,0.4557212489435471,1.3572039409152374,0.37525423113696316,0.07132742831981934,0.24550660782716605,0.5004643020578529,192.0,192.0,192.0
EstimatedTotalIntraCranialVol,26,0,0.0,2.2198934277065345,0.012948652742146207,2.1952425805139812,2.237147695873618,0.13793231876247294,0.0011446049162717445,0.1364150357667991,0.1401205008836797,192.0,192.0,192.0
CSF,26,0,0.0,0.4813568787869438,0.6377554853602204,0.0022029938356579295,2.4121386990886036,0.6134025295420887,0.25607233813385627,0.122088552581656,0.9626142746525308,192.0,192.0,192.0
CerebralWhiteMatterVol,26,0,0.0,0.5021372802603434,0.31192239616302125,0.008098724982202538,1.144274997949723,0.5170302002398578,0.1579828806812451,0.2861296127589556,0.9283891597210107,192.0,192.0,192.0
BrainSegVolNotVent,26,0,0.0,0.9290183023909427,0.38681182861944535,0.20978846963989695,2.0467307389266742,0.35621457132281287,0.10513277616594185,0.15420230210354927,0.6474650343331224,192.0,192.0,192.0
BrainSegVol,26,0,0.0,0.8833464567403037,0.38031094366741985,0.22032454755148964,1.9980841112999737,0.3687242840765795,0.10575685784580456,0.15916066949804486,0.6393395689347916,192.0,192.0,192.0
Left-Cerebellum-Cortex,26,0,0.0,0.1180051015931958,0.14427710095834057,4.7181185778709346e-05,0.5156352126477152,0.784188905257336,0.15031913017056506,0.4736056983054361,0.9945268109540688,192.0,192.0,192.0
