region,hemisphere,n_tests,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
parsopercularis,lh,26,13,0.5,4.136690845598303,1.7362553483781928,1.8910664815057023,8.901929621471586,0.06442030030960512,0.04871845225364162,0.003228868209755625,0.17072693648182227,192.0,192.0,192.0
isthmuscingulate,lh,26,2,0.07692307692307693,1.697048145964684,1.5970820954206761,0.04037823297632643,6.530969830458686,0.3260883165495831,0.2544698167279661,0.011396502807316227,0.8409612554954485,192.0,192.0,192.0
rostralanteriorcingulate,lh,26,2,0.07692307692307693,1.9356507642882437,1.2594633049282138,0.03458180669150079,4.975189321738689,0.23491842492640663,0.18049872371646544,0.026902231056527507,0.8526762514268013,192.0,192.0,192.0
insula,rh,26,2,0.07692307692307693,1.8258278765058316,1.9119696502535741,0.002275682917941757,8.659469666231518,0.32119268027278014,0.2659558339079855,0.0036656493642364175,0.9620029607895271,192.0,192.0,192.0
parahippocampal,rh,26,1,0.038461538461538464,1.0191860071589705,1.2447976402347696,0.001599728842961314,5.332861256241361,0.47345456035663874,0.28752239883248737,0.022019698457353003,0.9681384979766146,192.0,192.0,192.0
parahippocampal,lh,26,1,0.038461538461538464,1.1009794936209558,1.0505833863829825,0.009302956160401098,4.197499350420107,0.4058812337267914,0.24112989845333288,0.04188069225542174,0.9232650164109673,192.0,192.0,192.0
frontalpole,lh,26,1,0.038461538461538464,0.7307965787985462,1.030181485183067,9.115195663054311e-05,3.9943387326622313,0.5626030505036007,0.2904699862810147,0.04710197558804152,0.9923926075472004,192.0,192.0,192.0
isthmuscingulate,rh,26,1,0.038461538461538464,0.8973952023695924,1.0668643411013414,0.00021931833247459273,4.02385923212146,0.49619887120045136,0.2863075277114514,0.04630220384045644,0.9882000283250302,192.0,192.0,192.0
pericalcarine,rh,26,1,0.038461538461538464,1.3392803493792975,1.5704417285316656,0.0009679756934611846,7.184245572363578,0.39436464458909926,0.2633456101680915,0.008011451032547006,0.9752131551568781,192.0,192.0,192.0
caudalmiddlefrontal,lh,26,0,0.0,0.8162518055590583,0.7591267669981763,0.045510292243159056,2.9582118420840997,0.4491806384470364,0.2082778572811734,0.08709679578158333,0.8313008730990481,192.0,192.0,192.0
MeanThickness,lh,26,0,0.0,0.11013621778003498,0.15500353278447832,0.0007872073070235906,0.692611833870746,0.7957597170229344,0.149523130088374,0.4063389574359295,0.9776464381865319,192.0,192.0,192.0
MeanThickness,rh,26,0,0.0,0.10913715878255173,0.1388523180026449,0.00011094062169427238,0.515533725052941,0.7972053443239927,0.15197908339599533,0.47364916843565397,0.9916073969750479,192.0,192.0,192.0
bankssts,lh,26,0,0.0,0.45447777854540256,0.47551391558843936,0.00017980263560714516,1.7846574847384997,0.5843552538723392,0.219683336192144,0.1832019687319166,0.9893157411945463,192.0,192.0,192.0
bankssts,rh,26,0,0.0,0.1525588965859049,0.2560142872379159,0.0008596845895709646,1.0294499723037,0.7790311988542391,0.18413230410293113,0.31159885063653026,0.9766403424148555,192.0,192.0,192.0
