region,hemisphere,n_tests,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
fusiform,rh,26,15,0.5769230769230769,3.850799002396095,1.8842254504676117,0.2941079482797452,8.279442190464723,0.10709681352954707,0.15035822321029735,0.004476044867999646,0.5882456939495126,192.0,192.0,192.0
inferiorparietal,lh,26,9,0.34615384615384615,3.6777344072454805,1.5614482590197545,0.7559600098875354,7.312698419281352,0.08434475449672042,0.07947292718321707,0.007478680276333037,0.38571040478608865,192.0,192.0,192.0
fusiform,lh,26,7,0.2692307692307692,2.6267248728789507,1.6025239022277815,0.03647931172721954,5.052165166714083,0.1989162219452352,0.2254618196847844,0.02576320700133775,0.8487362611659074,192.0,192.0,192.0
middletemporal,lh,26,5,0.19230769230769232,2.6345073732967133,1.730345131939194,0.024982164458862727,6.855125288744378,0.21057604731291032,0.2387244568449278,0.009562985579367132,0.8745820600745462,192.0,192.0,192.0
parstriangularis,rh,26,5,0.19230769230769232,2.3045402199204026,1.4571548332339348,0.2515007052587253,5.504210525339062,0.2003492526234886,0.16554641971795972,0.02001816793223234,0.6166102433093343,192.0,192.0,192.0
medialorbitofrontal,rh,26,4,0.15384615384615385,1.7310171385384154,2.0180331160623024,0.0010695110992044524,6.492156378614075,0.40124294252021675,0.3248653247512368,0.01163924124914906,0.9739460075726551,192.0,192.0,192.0
superiortemporal,lh,26,3,0.11538461538461539,1.788586528087778,1.5223971995768435,0.024991718551232802,5.202693967753594,0.3112127389100874,0.25881709960102195,0.02367939168195587,0.8745582802934349,192.0,192.0,192.0
frontalpole,lh,26,3,0.11538461538461539,1.4929414109343755,1.6310234473952814,0.00035119706144049514,5.643706666015531,0.4033601945041301,0.3035333767216852,0.018529237262226963,0.9850682971873574,192.0,192.0,192.0
bankssts,rh,26,2,0.07692307692307693,0.9839444281404381,1.3052213651293396,0.00015573656291725636,5.209365778293635,0.4905286273770552,0.28411527808773235,0.02359121934036542,0.9900564052414617,192.0,192.0,192.0
bankssts,lh,26,2,0.07692307692307693,1.397201399558971,1.5382496124433902,0.00011938582442705666,6.787600044986512,0.3919694173406433,0.2854292448044501,0.009917997939944724,0.991293829851737,192.0,192.0,192.0
parahippocampal,rh,26,2,0.07692307692307693,1.315846083983718,1.5433441161482122,0.0033851395246194634,5.626360051417872,0.4259686404112854,0.30081597915613284,0.018707924386085924,0.9536658216713716,192.0,192.0,192.0
parsopercularis,lh,26,2,0.07692307692307693,0.8985334404705386,1.2788999549220883,0.0003920550146191872,5.08410536765852,0.5235262814530931,0.2919043937981661,0.025305528265802554,0.9842237262208282,192.0,192.0,192.0
parahippocampal,lh,26,2,0.07692307692307693,2.0825783218067366,2.2359696408408474,0.00671528241940737,10.510342033214137,0.2981554772139607,0.26519565621649016,0.001405613434179096,0.9347766418928387,192.0,192.0,192.0
posteriorcingulate,lh,26,2,0.07692307692307693,0.9487737422431874,1.3456889297085763,0.0012565724294876558,5.360191182449722,0.5060275486639807,0.2862256298869732,0.021686947521514875,0.9717601888749747,192.0,192.0,192.0
lateraloccipital,rh,26,1,0.038461538461538464,1.746991281898754,1.0418765774751695,0.07943588504612135,4.028017547998416,0.24511323773902688,0.16571449810050973,0.04619071166437856,0.7783750042781953,192.0,192.0,192.0
inferiortemporal,lh,26,1,0.038461538461538464,1.9636777202708204,1.099838939339774,0.1110122722787754,4.146684075803494,0.22177891387519744,0.16854260271600072,0.04312628054500003,0.7393678741098544,192.0,192.0,192.0
rostralmiddlefrontal,lh,26,1,0.038461538461538464,1.2063429969538846,1.3143686682055633,0.008259848422164855,5.6381412911775115,0.44275745440320163,0.3139774831854066,0.018586371445314245,0.927682272390427,192.0,192.0,192.0
superiortemporal,rh,26,1,0.038461538461538464,2.0466259367896544,1.1382476910268189,0.24105198557021762,4.735364866265852,0.20880388820227744,0.15365434276931011,0.030802415277446978,0.6240230268255561,192.0,192.0,192.0
parsopercularis,rh,26,1,0.038461538461538464,1.560214735080297,1.215272312860632,0.09258999477802188,5.225017991719588,0.30359587028628604,0.21433757137783654,0.023385710750885785,0.7612483227837954,192.0,192.0,192.0
medialorbitofrontal,lh,26,1,0.038461538461538464,1.1392952137516126,1.6135532367702494,0.00041761196232577454,6.645642746554933,0.4973364341821034,0.3076575258351814,0.010709504776571647,0.9837177082115112,192.0,192.0,192.0
dx_group,rh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
dx_group,lh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
eTIV,rh,26,0,0.0,2.2198934277065345,0.012948652742146207,2.1952425805139812,2.237147695873618,0.13793231876247294,0.0011446049162717445,0.1364150357667991,0.1401205008836797,192.0,192.0,192.0
eTIV,lh,26,0,0.0,2.2198934277065345,0.012948652742146207,2.1952425805139812,2.237147695873618,0.13793231876247294,0.0011446049162717445,0.1364150357667991,0.1401205008836797,192.0,192.0,192.0
caudalmiddlefrontal,rh,26,0,0.0,0.3138274446156323,0.3432579456125663,4.9079928205936356e-05,1.3410519246249197,0.6483990520385104,0.20054083116589952,0.2483254180717045,0.994417768482149,192.0,192.0,192.0
caudalmiddlefrontal,lh,26,0,0.0,0.8446925748740957,0.8545423898414994,0.0006135523175299818,2.5640240443530637,0.48190948000370193,0.26638472178539424,0.11100795300342174,0.9802648418466267,192.0,192.0,192.0
caudalanteriorcingulate,rh,26,0,0.0,0.36140929818518147,0.344624210375924,0.00012809270951638285,1.0402734675560816,0.6272569000658346,0.22084973534319186,0.3090755869713259,0.9909819561731282,192.0,192.0,192.0
caudalanteriorcingulate,lh,26,0,0.0,0.41842783439155345,0.4750523521006398,4.119204661581456e-06,1.3655889901134914,0.6409972204252209,0.2713963221232235,0.2440587819378003,0.9983827921424682,192.0,192.0,192.0
BrainSegVolNotVent,lh,26,0,0.0,0.9290183023909427,0.38681182861944535,0.20978846963989695,2.0467307389266742,0.35621457132281287,0.10513277616594185,0.15420230210354927,0.6474650343331224,192.0,192.0,192.0
BrainSegVolNotVent,rh,26,0,0.0,0.9290183023909427,0.38681182861944535,0.20978846963989695,2.0467307389266742,0.35621457132281287,0.10513277616594185,0.15420230210354927,0.6474650343331224,192.0,192.0,192.0
cuneus,rh,26,0,0.0,0.49357694975220806,0.5870711804675074,0.0021743691573631783,2.00828683455258,0.5823643772055755,0.22799612744134146,0.1581057977807319,0.9628577770897745,192.0,192.0,192.0
cuneus,lh,26,0,0.0,0.49750645769611723,0.5364493986940045,0.00934687488236753,1.7080153763297083,0.5747183479295457,0.22948117871218732,0.1928479225782532,0.9230846642512803,192.0,192.0,192.0
entorhinal,rh,26,0,0.0,1.1447433462093326,0.9335485922776313,0.024332213679808073,3.0961701437466975,0.3887634301489641,0.2501400645846903,0.08011193624623496,0.8762108505357664,192.0,192.0,192.0
entorhinal,lh,26,0,0.0,1.0418816049153816,1.0500468752409722,0.010948587620040303,3.443982680069207,0.43967405335862114,0.26927710430141605,0.06505610199394742,0.9167771889328801,192.0,192.0,192.0
lateraloccipital,lh,26,0,0.0,1.3069186182448642,1.0071042352494255,0.04114344401520818,3.598406015417784,0.33974104991161913,0.2093048804273393,0.0593763238825627,0.8394818181296606,192.0,192.0,192.0
isthmuscingulate,rh,26,0,0.0,1.134068721821567,1.1123165658633714,0.00019407861714776514,3.6049729481799826,0.4404115358161617,0.30640202373659464,0.05914690131151776,0.9888997137490632,192.0,192.0,192.0
lateralorbitofrontal,rh,26,0,0.0,0.4040701730206341,0.8360136969159746,3.0739938434349284e-05,3.1585333393750847,0.7062833645888031,0.26484160882741,0.07715649674814642,0.9955821728842174,192.0,192.0,192.0
lateralorbitofrontal,lh,26,0,0.0,0.1889039534070047,0.24190581222463522,0.0003493250149921876,0.8539503465670097,0.7392070381209646,0.19066868608948553,0.35662808751772557,0.9851081422111074,192.0,192.0,192.0
insula,lh,26,0,0.0,0.5536030472135813,0.6246205064877735,0.0016492370101604192,2.805867141817211,0.5575765019932211,0.2394905761199342,0.09559146565035219,0.9676495003878081,192.0,192.0,192.0
inferiortemporal,rh,26,0,0.0,0.2117393493322779,0.3310123063288823,0.0002939507217535386,1.5718023541721597,0.727673803523881,0.19159444920888247,0.2115105560234465,0.9863392252031112,192.0,192.0,192.0
paracentral,rh,26,0,0.0,0.4479689193617041,0.6192363174400495,0.0012923372790641363,2.4982030705055336,0.6217120552287619,0.24422945079199876,0.11566622298122621,0.9713612961549487,192.0,192.0,192.0
paracentral,lh,26,0,0.0,0.3367927790454403,0.47349545686065625,0.0026733526985507016,1.9590414517286496,0.6701047820142706,0.233418853903026,0.1632725940924383,0.958819360780105,192.0,192.0,192.0
middletemporal,rh,26,0,0.0,0.2729079973156521,0.41496136113943133,9.73634094653054e-06,1.5917453226846097,0.701412501779364,0.21758340894335956,0.208648415398413,0.9975136822222274,192.0,192.0,192.0
lingual,lh,26,0,0.0,0.1992222878480015,0.288715973745841,0.0005040446279212341,1.3890029744453058,0.723177284470543,0.17451712202604558,0.2400710343551502,0.9821121858479723,192.0,192.0,192.0
insula,rh,26,0,0.0,0.7845889060156792,0.8791438044534389,0.007650990560374853,3.473729059099014,0.5023762450456539,0.2662047653357693,0.06391819832537171,0.9303915724259314,192.0,192.0,192.0
isthmuscingulate,lh,26,0,0.0,0.8759957980837959,0.8050882057270395,0.001893808681272725,2.849418977429244,0.455697734057162,0.253645620076789,0.0930739999175481,0.965335118924869,192.0,192.0,192.0
inferiorparietal,rh,26,0,0.0,0.2924500030569719,0.6259051039619784,0.00024739380836154013,3.0625054601842776,0.7256855031646106,0.22835094773172335,0.08175825816597697,0.9874675532693392,192.0,192.0,192.0
frontalpole,rh,26,0,0.0,0.6845705503767393,0.8027862108642898,0.0005853849973260359,3.1673196734326665,0.5276396639239243,0.2558763214378979,0.07674970307948202,0.9807230795970151,192.0,192.0,192.0
