region,hemisphere,n_correlations,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
posteriorcingulate,lh,26,26,1.0,-0.2532179014626107,0.01850683152859083,-0.2860351184500188,-0.21495212020401744,0.008776303990646998,0.005036384882250853,0.0024516359767122547,0.024126265443616204,112.0,112.0,112.0
inferiorparietal,rh,26,26,1.0,-0.21739613154088477,0.010080875476414895,-0.24271840378703008,-0.19679703309146607,0.023251131276201674,0.006169493659682387,0.010621902266679823,0.03933705433855562,112.0,112.0,112.0
lingual,rh,26,16,0.6153846153846154,0.19237033888220495,0.01218164986474412,0.16396814658670875,0.21075122195276147,0.045812021774925486,0.014748129319077397,0.02710433309218124,0.08695704759091237,112.0,112.0,112.0
inferiortemporal,lh,26,11,0.4230769230769231,-0.1843015770591291,0.018032964137262842,-0.22118036166228838,-0.15260121460913195,0.05799943700715154,0.023769117267305052,0.02022769306664421,0.11148625076403407,112.0,112.0,112.0
rostralmiddlefrontal,rh,26,3,0.11538461538461539,-0.16801225640907133,0.021414597253839433,-0.20510524975603206,-0.11273822796470935,0.08721160981546018,0.04932817903179132,0.031595115109537844,0.24093859611377336,112.0,112.0,112.0
insula,rh,26,1,0.038461538461538464,-0.1055224352332566,0.05155059707443833,-0.1889387679350859,-0.016406963118003753,0.3333750765018626,0.24959746067105634,0.048062827072764026,0.8649130968796773,112.0,112.0,112.0
BrainSegVolNotVent,lh,26,0,0.0,-0.059402898898889576,0.003477971143702938,-0.06675557744227989,-0.053566455282051444,0.53785035162153,0.0237487993609475,0.4883636076977429,0.5783536237581912,112.0,112.0,112.0
BrainSegVolNotVent,rh,26,0,0.0,-0.059402898898889576,0.003477971143702938,-0.06675557744227989,-0.053566455282051444,0.53785035162153,0.0237487993609475,0.4883636076977429,0.5783536237581912,112.0,112.0,112.0
caudalmiddlefrontal,lh,26,0,0.0,0.011461871939820751,0.023465125310220755,-0.01466449276991978,0.06345300566849148,0.8618430920816841,0.15126131540738813,0.510176745253724,0.9989269116204396,112.0,112.0,112.0
caudalmiddlefrontal,rh,26,0,0.0,-0.020938424567762997,0.009659847920548146,-0.04266713255825524,-0.005130922222998026,0.8289440097598183,0.07761067936348494,0.6580649727324865,0.9575732153371628,112.0,112.0,112.0
WhiteSurfArea,lh,26,0,0.0,-0.012545721659566775,0.005079982340174286,-0.02242002512923456,-0.0035510115748448776,0.8966412576776557,0.041592744555614916,0.816160352060042,0.9706301322980542,112.0,112.0,112.0
WhiteSurfArea,rh,26,0,0.0,-0.03692564571138504,0.005593674392169872,-0.04657971382974735,-0.02699496609889066,0.7021820508296397,0.04303785218297116,0.6289439116650271,0.7795217502554235,112.0,112.0,112.0
bankssts,lh,26,0,0.0,-0.12550750909994876,0.010185757781117596,-0.15034038293525223,-0.10989107595265031,0.19375238181002713,0.03455329534868244,0.11695231308191005,0.25310242455296006,112.0,112.0,112.0
bankssts,rh,26,0,0.0,-0.08930756031109119,0.018791485848228175,-0.12252459618147468,-0.045712861518394474,0.3620849201839581,0.10499969280791852,0.20224567724662537,0.635348966248539,112.0,112.0,112.0
caudalanteriorcingulate,lh,26,0,0.0,-0.07475365096888886,0.014560250986642093,-0.09991623038339141,-0.04127783901848105,0.4425338814237545,0.09156460779207909,0.29900905200572997,0.6685326901801217,112.0,112.0,112.0
caudalanteriorcingulate,rh,26,0,0.0,0.0053761819596904094,0.012702008677705117,-0.011683859084369025,0.035849280009298934,0.9095645196107133,0.06580512521128874,0.7100307025290653,0.9969010903517176,112.0,112.0,112.0
entorhinal,rh,26,0,0.0,-0.014671537291214313,0.027775769398004392,-0.07614852704306592,0.03575727452096733,0.8097429121178426,0.15585328511717808,0.42913189227892656,0.9939787503747148,112.0,112.0,112.0
entorhinal,lh,26,0,0.0,-0.08678657992431879,0.027649940280715712,-0.15329334030742972,-0.02712012042393071,0.3855252425634909,0.14519776581470137,0.1098532468264609,0.7785258063695878,112.0,112.0,112.0
eTIV,rh,26,0,0.0,-0.0143249672055227,7.786911034219302e-05,-0.0145086026086644,-0.014203056477824053,0.8819222986375757,0.0006372095386182404,0.8804197487290149,0.8829199736035269,112.0,112.0,112.0
eTIV,lh,26,0,0.0,-0.0143249672055227,7.786911034219302e-05,-0.0145086026086644,-0.014203056477824053,0.8819222986375757,0.0006372095386182404,0.8804197487290149,0.8829199736035269,112.0,112.0,112.0
cuneus,rh,26,0,0.0,0.09248633838670647,0.008852503374881039,0.07239658732514025,0.11041375367049383,0.3385033585522692,0.04729686408067378,0.2508383684399444,0.45228263170308924,112.0,112.0,112.0
cuneus,lh,26,0,0.0,0.09083834281449017,0.012980942863311657,0.060876021816879095,0.11619135425199582,0.34942295565007747,0.07137736498195078,0.22673841835143466,0.5275398960987951,112.0,112.0,112.0
fusiform,rh,26,0,0.0,-0.12361117399828303,0.01526669837360119,-0.16184999862664937,-0.0915805401028283,0.20355045623251466,0.05335413772298142,0.09116910252820962,0.34133338536069247,112.0,112.0,112.0
fusiform,lh,26,0,0.0,-0.0757191905417593,0.015998069117182226,-0.10483483997806226,-0.047027573407659465,0.43776845998171104,0.09639633508232524,0.27572927275559966,0.6256454535872822,112.0,112.0,112.0
inferiortemporal,rh,26,0,0.0,-0.0820052197247059,0.01630260873017974,-0.11329223849358123,-0.05636942072899524,0.4008536408001882,0.09090845917011266,0.23861970607905666,0.5586020525888233,112.0,112.0,112.0
insula,lh,26,0,0.0,0.005240923821689317,0.0335609927885077,-0.07349684459146447,0.07039544685113948,0.7875223297195052,0.15626275603988485,0.44542252321797116,0.999212392374073,112.0,112.0,112.0
isthmuscingulate,lh,26,0,0.0,0.032907536983203194,0.012702089023551659,0.008553241178182873,0.05804323029540841,0.7349156106698657,0.09925160165756457,0.5469634985891305,0.9293330526238667,112.0,112.0,112.0
isthmuscingulate,rh,26,0,0.0,-0.06780975515862239,0.017621689181327636,-0.10588187950090092,-0.028630018507741595,0.48834047722299806,0.11405310206518682,0.2709355036554416,0.7665391467822475,112.0,112.0,112.0
lateraloccipital,lh,26,0,0.0,0.09277482076194538,0.009504753854728716,0.07332615468099536,0.11048120637407545,0.3372917026301186,0.050249763807498286,0.25054720575381395,0.4464829273199641,112.0,112.0,112.0
lateraloccipital,rh,26,0,0.0,0.021123264076978728,0.008231939932469805,0.004144361221669618,0.03400325010645338,0.8271906379486809,0.06649309923860393,0.7243454809881815,0.9657253934868768,112.0,112.0,112.0
inferiorparietal,lh,26,0,0.0,-0.11549249882999989,0.00855977839386449,-0.12993544875743915,-0.09604120584809568,0.2313346528124279,0.03495266358005301,0.17607158723944388,0.3182350450322475,112.0,112.0,112.0
frontalpole,lh,26,0,0.0,0.008229027490677084,0.034453733130168925,-0.06760500207962879,0.06517915534250142,0.7762459805864258,0.1601123530706077,0.4828345290852154,0.9840241497179443,112.0,112.0,112.0
lateralorbitofrontal,rh,26,0,0.0,0.051818242011029955,0.03712612871633835,-0.031453570830751815,0.12434248082656109,0.5788099336773157,0.19874478133958662,0.19558029074758887,0.9130615176819866,112.0,112.0,112.0
lingual,lh,26,0,0.0,0.15492433498509964,0.010284154235066543,0.13060755338692398,0.1772514649097725,0.10803915699313336,0.02417824772704756,0.06395554178025861,0.1738271493713207,112.0,112.0,112.0
medialorbitofrontal,lh,26,0,0.0,0.0013636369750939165,0.03210207958915296,-0.058401481798719186,0.08371428815783341,0.7972811248422877,0.1449458014533841,0.38457338067880253,0.9837299195861293,112.0,112.0,112.0
medialorbitofrontal,rh,26,0,0.0,-0.07728099076891976,0.025718144039191492,-0.13719387571691663,-0.020768658901598153,0.4375267984787785,0.15328931257022374,0.15293758761174445,0.8294878642533458,112.0,112.0,112.0
middletemporal,lh,26,0,0.0,-0.06188624036846162,0.016376591012226882,-0.10600804472967718,-0.02603067976279629,0.5264687085160287,0.10666676008793385,0.2703616936682,0.7872071338648613,112.0,112.0,112.0
middletemporal,rh,26,0,0.0,-0.11362571018844347,0.013920159155924691,-0.13765435222723166,-0.08925606297095941,0.24192553881720316,0.0579317129865365,0.15155082864597497,0.35377902547704443,112.0,112.0,112.0
