region,n_correlations,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
3rd-Ventricle,26,26,1.0,-0.2071824882879345,0.004282908207413602,-0.21265185945074006,-0.1972331823062204,0.030040914606648445,0.0035818094579059103,0.025720288810967887,0.03889441065167461,112.0,112.0,112.0
Right-Putamen,26,26,1.0,-0.2605904679359878,0.014320697186414972,-0.28811124127117493,-0.23656078230415178,0.006562100699759966,0.0030836311225754796,0.0022716125221350337,0.012840929635559604,112.0,112.0,112.0
Left-Putamen,26,26,1.0,-0.22933429888310083,0.011553519758948102,-0.2499063557429392,-0.21052698192282931,0.01672817458825338,0.005547018164708307,0.00846304449001256,0.027271729602430437,112.0,112.0,112.0
WM-hypointensities,26,23,0.8846153846153846,0.20503439787329958,0.013255711198428655,0.1743552504603119,0.22809005465180618,0.033385894827539606,0.013132514391330823,0.016548766662006165,0.06849380080684339,112.0,112.0,112.0
Right-Amygdala,26,19,0.7307692307692307,-0.2044964887838692,0.025756965856972586,-0.2500107616109791,-0.16497251600861554,0.03834705703755188,0.024256019668003895,0.008434772393122722,0.08501468643583196,112.0,112.0,112.0
SurfaceHoles,26,9,0.34615384615384615,0.1662317275988487,0.03543865180056943,0.07907142771281313,0.22945328627837772,0.1033093153814731,0.08308196055641802,0.01589577920255901,0.41157719992456965,112.0,112.0,112.0
lhSurfaceHoles,26,9,0.34615384615384615,0.17589792533507975,0.038656943404156506,0.0977459256547407,0.26978945187788494,0.08603639056586877,0.0666321278228088,0.00436773707688405,0.3096808112333077,112.0,112.0,112.0
Right-Hippocampus,26,8,0.3076923076923077,-0.18181101695498902,0.01518854955423795,-0.21729175476104684,-0.1394972324223904,0.06046129822924759,0.023770908525421068,0.0225923608769448,0.14609527813748918,112.0,112.0,112.0
Left-Caudate,26,7,0.2692307692307692,-0.1791343089329604,0.008425431507986202,-0.19322812132763356,-0.16434089323127687,0.06212025527057814,0.012401240293283038,0.043119953244941236,0.08623210747932175,112.0,112.0,112.0
rhSurfaceHoles,26,3,0.11538461538461539,0.13539841936190775,0.034813067429592504,0.05426931608276086,0.191959354854155,0.1843728036429263,0.12207801154517153,0.04453582457888223,0.5733704907735713,112.0,112.0,112.0
5th-Ventricle,26,1,0.038461538461538464,-0.06431135001847309,0.08227085412687375,-0.20065743846562392,0.14086873341577644,0.380178981194858,0.2388255547935741,0.03556205399063131,0.9921742373793733,112.0,112.0,112.0
Left-Amygdala,26,1,0.038461538461538464,-0.1499404317800786,0.01896353100367105,-0.189638037905823,-0.11000972603288235,0.1248803728959515,0.04909892072092331,0.04722638957666761,0.25258724680710926,112.0,112.0,112.0
non-WM-hypointensities,26,1,0.038461538461538464,0.045842276496457994,0.08228504374537306,-0.08825889917527217,0.21227223450011812,0.5160869771119827,0.31567950643249615,0.025991810005503855,0.9894827667160315,112.0,112.0,112.0
CC_Posterior,26,1,0.038461538461538464,0.1604794153374579,0.01715811848516643,0.11713757146139771,0.19113458352323004,0.09928224024872626,0.04035410444875009,0.045476803902458285,0.22295222025372907,112.0,112.0,112.0
4th-Ventricle,26,0,0.0,-0.11725305168734897,0.005837799465017266,-0.13148635531085104,-0.10543042285362134,0.22330994581058838,0.022935014104983435,0.17092435063903386,0.27299550323308874,112.0,112.0,112.0
CC_Anterior,26,0,0.0,0.04990698724558407,0.016825410679042908,0.02068498033478772,0.09953849568245217,0.6100377389874201,0.11651869276810219,0.3008488276138059,0.830164524012298,112.0,112.0,112.0
BrainSegVol,26,0,0.0,-0.07331902400768991,0.003401335839381115,-0.0804098498549385,-0.06770434055215047,0.44679796983272746,0.021041403242998646,0.403681107145618,0.4821901119033051,112.0,112.0,112.0
BrainSegVol-to-eTIV,26,0,0.0,-0.09454622222390018,0.005603965171664358,-0.10544865931544362,-0.08559539121282876,0.32664538690779676,0.028547179557262273,0.272912085969293,0.37394396789381534,112.0,112.0,112.0
Brain-Stem,26,0,0.0,0.06825229418510115,0.007039722919805668,0.05149012749249771,0.08133926326534377,0.4797508404174721,0.04590391541819646,0.3982509873110217,0.5931903538483045,112.0,112.0,112.0
EstimatedTotalIntraCranialVol,26,0,0.0,-0.0143249672055227,7.786911034219302e-05,-0.0145086026086644,-0.014203056477824053,0.8819222986375757,0.0006372095386182404,0.8804197487290149,0.8829199736035269,112.0,112.0,112.0
Left-Cerebellum-Cortex,26,0,0.0,0.01548165646663712,0.006554630215098353,-0.003088009571986206,0.026879510574731213,0.8707574483531341,0.048387718167567165,0.7804408303420471,0.9744581634680047,112.0,112.0,112.0
Left-Hippocampus,26,0,0.0,-0.1380215560808234,0.025291975635630678,-0.17936674762121335,-0.09330710545768263,0.16415444604637625,0.08105962290466973,0.06079817528772957,0.3322702497226039,112.0,112.0,112.0
Left-Cerebellum-White-Matter,26,0,0.0,0.04547896224623124,0.016352619672092686,0.014478580914394107,0.07755074961474256,0.641578228837102,0.12076440429927561,0.42065727267577246,0.8806653587913129,112.0,112.0,112.0
Left-Inf-Lat-Vent,26,0,0.0,-0.04367736773852072,0.010077262675039014,-0.0668405690685798,-0.025844682452669052,0.6521914299714886,0.07484298163765121,0.48780886857648775,0.7886919156499705,112.0,112.0,112.0
Left-Lateral-Ventricle,26,0,0.0,-0.1195671436057756,0.001333364489684728,-0.12198927792970342,-0.11792043395162698,0.21347782871449808,0.005126423514614449,0.20423920987934951,0.21985356966910463,112.0,112.0,112.0
Left-Pallidum,26,0,0.0,-0.10556859624951381,0.01951562093427532,-0.15328703175854846,-0.07543232078833752,0.281571007196822,0.08186527115004379,0.10986804660387904,0.4334979118883512,112.0,112.0,112.0
Left-Thalamus,26,0,0.0,-0.004401271967490654,0.014158786132452836,-0.024720109663884906,0.029694799780355906,0.8983162519742458,0.0641662993582576,0.7581189643844234,0.9941905993759039,112.0,112.0,112.0
CC_Mid_Posterior,26,0,0.0,0.05706489336454525,0.023182956117052258,0.015111770950150353,0.0971756206296533,0.564405299229059,0.15973812885920688,0.31252575543179795,0.8754876106617825,112.0,112.0,112.0
CC_Mid_Anterior,26,0,0.0,0.09315169808050494,0.021459378829419413,0.05663549411716097,0.1324090031533618,0.34437576303160583,0.11397158298059376,0.16791541029599932,0.5567440509566532,112.0,112.0,112.0
