region,hemisphere,n_correlations,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
MeanThickness,lh,26,26,1.0,-0.21309622194234648,0.010237409019415056,-0.23556422406836758,-0.1910181480395426,0.026243700747168395,0.007354480638479083,0.013235720806482094,0.04561096606220852,112.0,112.0,112.0
pericalcarine,rh,26,26,1.0,-0.2860535005594502,0.02074679075396143,-0.3300899179202574,-0.2385753367229945,0.0031309530561797936,0.0025875402818075774,0.0004287706395872176,0.012074119338961433,112.0,112.0,112.0
postcentral,lh,26,26,1.0,-0.2682241871155476,0.027922725091042,-0.30548689325162093,-0.20718933500372708,0.006851575307602891,0.007150177224052341,0.0011731929824311791,0.029869164979115844,112.0,112.0,112.0
postcentral,rh,26,26,1.0,-0.24372022693182874,0.01865494432513254,-0.2688665445478739,-0.19254685398071328,0.012082442156689634,0.009062280112906315,0.0045088356334694775,0.04387547306526102,112.0,112.0,112.0
precentral,lh,26,26,1.0,-0.261483303785968,0.02456113605130851,-0.31420056894902887,-0.22947850236086081,0.007417345637580181,0.005000878214738821,0.0008293888090224314,0.01588391422471915,112.0,112.0,112.0
precuneus,rh,26,26,1.0,-0.22027481399304147,0.011266559150787047,-0.24131199376331208,-0.1982817713310628,0.02165217970139519,0.0069502864084283284,0.0110967050513838,0.037847255122987596,112.0,112.0,112.0
supramarginal,lh,26,26,1.0,-0.23522425794418705,0.010930306675494769,-0.2618636610971413,-0.2127022386865268,0.013978801786609152,0.004497176323560015,0.005719020519840534,0.02568443825141151,112.0,112.0,112.0
superiorparietal,lh,26,26,1.0,-0.22524725733337586,0.010426880775393763,-0.24508405322712865,-0.20644057247482323,0.018678387204893277,0.005624154948422111,0.009863367595827446,0.030479826405773926,112.0,112.0,112.0
pericalcarine,lh,26,26,1.0,-0.2851478657568033,0.013929813586693603,-0.30633938581331654,-0.25177760779281094,0.00284465201557234,0.0016114871751348862,0.001134579205066083,0.007968798092911601,112.0,112.0,112.0
fusiform,rh,26,25,0.9615384615384616,-0.220076576851933,0.016908239992747733,-0.2549022742908084,-0.17499164429516656,0.023014281597635924,0.012366188382536959,0.007200130748250615,0.06747485329691198,112.0,112.0,112.0
superiortemporal,lh,26,25,0.9615384615384616,-0.20587364259154456,0.012128553789990379,-0.23319101664172695,-0.1832740468079136,0.03228586186380789,0.010305617208442823,0.014218737583759954,0.05530113731987755,112.0,112.0,112.0
MeanThickness,rh,26,24,0.9230769230769231,-0.20759214172111412,0.009899189537301263,-0.22723164006378765,-0.18108600572833258,0.030458598486450925,0.00900179531224331,0.016971759416987756,0.05832677587058963,112.0,112.0,112.0
lateraloccipital,lh,26,20,0.7692307692307693,-0.19864327722672448,0.01226931185985435,-0.2218097617210054,-0.16922499811190125,0.03907369573195862,0.012843274738555755,0.0198657080977192,0.07717101803206196,112.0,112.0,112.0
inferiorparietal,lh,26,16,0.6153846153846154,-0.19186856979818387,0.012104548258957223,-0.21349122306662138,-0.16876833964580562,0.04633951357594807,0.014251137958748161,0.025128521927433707,0.07798438968540179,112.0,112.0,112.0
supramarginal,rh,26,16,0.6153846153846154,-0.18870371647900733,0.016183802721718005,-0.21663593875162396,-0.15319480956349743,0.051621543250956324,0.02199775809904717,0.02301365484774126,0.11008457614238211,112.0,112.0,112.0
