region,hemisphere,n_correlations,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
inferiorparietal,rh,26,26,1.0,-0.2784953504538485,0.011700108476795515,-0.3068374617547606,-0.25905639632844324,0.0034465299379324785,0.0012727876250145389,0.0011125584746077043,0.006280126922830066,112.0,112.0,112.0
fusiform,rh,26,26,1.0,-0.23136904130050248,0.01617817338813536,-0.26213581108482936,-0.20369776429560282,0.016472932817599453,0.007634785448838951,0.0056670697027733355,0.03280784031853879,112.0,112.0,112.0
posteriorcingulate,lh,26,26,1.0,-0.32926345994755474,0.013346857368720887,-0.3571541784902262,-0.3056674378525998,0.0005088861378069088,0.0002778601446590923,0.00012803967282690136,0.0011649166414210742,112.0,112.0,112.0
postcentral,lh,26,23,0.8846153846153846,-0.2098974976777575,0.014306469728408086,-0.22879773018691688,-0.17687459782167536,0.02964742186483773,0.01327737863098612,0.016206947759648118,0.06453184229990226,112.0,112.0,112.0
inferiortemporal,lh,26,19,0.7307692307692307,-0.19929093889973776,0.016801017118647826,-0.23796473212909922,-0.1743105891101175,0.03960033625579213,0.015333169817219163,0.012302195610041639,0.06856577509196446,112.0,112.0,112.0
insula,rh,26,12,0.46153846153846156,-0.18242458639331904,0.04068874393126418,-0.24090139349509307,-0.10771883863000549,0.0795563631151792,0.07292504039624499,0.011238783844519717,0.26266194219764827,112.0,112.0,112.0
superiortemporal,lh,26,8,0.3076923076923077,-0.18204008703408267,0.00973701384631944,-0.20337722297589142,-0.16325109998718842,0.05822868042571994,0.013177863303205152,0.033089454347206684,0.08836523832520994,112.0,112.0,112.0
fusiform,lh,26,6,0.23076923076923078,-0.17570983740323703,0.014192570864557238,-0.20423804413817598,-0.14893750329898153,0.06924395733114201,0.0226080539031608,0.032337753215793075,0.12044700076373557,112.0,112.0,112.0
rostralmiddlefrontal,rh,26,4,0.15384615384615385,-0.1747485900145557,0.016108968935596202,-0.209768782840551,-0.13531272151461865,0.07186330467966341,0.030335726154501818,0.027844260043965972,0.1587018049572483,112.0,112.0,112.0
temporalpole,rh,26,2,0.07692307692307693,-0.1440819795060422,0.030636541951280922,-0.2007841430756339,-0.08493329332522163,0.15206796743858994,0.08927075512516618,0.03544350764990733,0.37766462126015243,112.0,112.0,112.0
precentral,lh,26,1,0.038461538461538464,-0.1562518743937794,0.01108117725009499,-0.18841255841505958,-0.13342283577975553,0.10528736876736192,0.024658842025346663,0.0487003183662378,0.1646545218759397,112.0,112.0,112.0
bankssts,lh,26,0,0.0,-0.11972295988414504,0.010177816146570182,-0.14054845884934114,-0.10423055192583407,0.2152889427178226,0.03883625309290751,0.14305039878637077,0.2785217597196468,112.0,112.0,112.0
BrainSegVolNotVent,lh,26,0,0.0,-0.059402898898889576,0.003477971143702938,-0.06675557744227989,-0.053566455282051444,0.53785035162153,0.0237487993609475,0.4883636076977429,0.5783536237581912,112.0,112.0,112.0
BrainSegVolNotVent,rh,26,0,0.0,-0.059402898898889576,0.003477971143702938,-0.06675557744227989,-0.053566455282051444,0.53785035162153,0.0237487993609475,0.4883636076977429,0.5783536237581912,112.0,112.0,112.0
entorhinal,rh,26,0,0.0,-0.014315433399913417,0.029853334624565776,-0.07415623347261815,0.047648846666596016,0.7852889540152742,0.14393049950795792,0.44133941800893217,0.9902534266338591,112.0,112.0,112.0
entorhinal,lh,26,0,0.0,-0.09255820794051951,0.031755358911999036,-0.17072557028068658,-0.037613664007865845,0.3600953137630671,0.15520291136371625,0.07454618563172707,0.6964426172200552,112.0,112.0,112.0
eTIV,rh,26,0,0.0,-0.0143249672055227,7.786911034219302e-05,-0.0145086026086644,-0.014203056477824053,0.8819222986375757,0.0006372095386182404,0.8804197487290149,0.8829199736035269,112.0,112.0,112.0
