region,hemisphere,n_tests,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
caudalmiddlefrontal,lh,26,7,0.2692307692307692,-0.13863460759498145,0.07159011495822111,-0.253730480266523,-0.02813308705872276,0.26355785605286786,0.253996011382923,0.010858041551768345,0.7811283978705769,103.0,103,103
cuneus,rh,26,6,0.23076923076923078,-0.14017485320168685,0.05630694903210034,-0.2220490751566676,-0.020205554032265493,0.22504635241311913,0.21881525856813666,0.026393616949415135,0.8418438318147206,103.0,103,103
isthmuscingulate,lh,26,6,0.23076923076923078,-0.13763463643326107,0.07734828106413742,-0.27674242863763493,0.03160102144805134,0.2583370690423765,0.2556287327836756,0.005315127055694529,0.9868756973898238,103.0,103,103
temporalpole,lh,26,6,0.23076923076923078,0.1096432673440034,0.07012473292375163,-0.012543030274381623,0.2250158343548219,0.36723863646370336,0.29222315069212423,0.024397189814766657,0.9014275571359649,103.0,103,103
pericalcarine,rh,26,5,0.19230769230769232,-0.14938636559026344,0.05549143153847602,-0.2859444444760084,-0.0720137434128229,0.18992106401038514,0.1493495626534035,0.0039269931238722165,0.47645937530811855,103.0,103,103
posteriorcingulate,lh,26,5,0.19230769230769232,-0.15489315709694151,0.05794666806614597,-0.28643320507028097,-0.051122546305673075,0.17938019281612716,0.16238454251351453,0.003863288298028546,0.61346852113826,103.0,103,103
caudalanteriorcingulate,lh,26,5,0.19230769230769232,-0.1347189473899414,0.06773197303943622,-0.2510799869359749,0.024663539092865616,0.2518927448495598,0.247132524807176,0.011744332525425146,0.8251023751107434,103.0,103,103
precuneus,lh,26,4,0.15384615384615385,-0.15136906089399343,0.051198258405069086,-0.28249502971123375,-0.07378398250874396,0.17483167520329962,0.12496800486434001,0.0044039385885093875,0.46566002651711924,103.0,103,103
rostralanteriorcingulate,lh,26,4,0.15384615384615385,-0.13222375974486458,0.06201611984764323,-0.23357427754294996,-0.03593686908477259,0.263749525311445,0.22522936487241926,0.019344398961433803,0.7226156398423031,103.0,103,103
lateralorbitofrontal,rh,26,3,0.11538461538461539,-0.09392833533658371,0.08562807834611687,-0.2606412965743924,0.05000834019716872,0.43737571653777113,0.3347188154179627,0.00881677435548695,0.9559541739863776,103.0,103,103
superiortemporal,rh,26,3,0.11538461538461539,-0.13396800554898128,0.045971215147515,-0.22325804793811715,-0.055288534513343306,0.22490703195847453,0.152527589510849,0.025563885343417372,0.584823736909154,103.0,103,103
parsorbitalis,lh,26,2,0.07692307692307693,-0.032396230551677785,0.0800952334125719,-0.20418279067666534,0.08726830694163891,0.5928261435130534,0.2862530122042738,0.04158221624766445,0.9907566418535678,103.0,103,103
parsopercularis,lh,26,2,0.07692307692307693,-0.0773053738499777,0.06775814156318546,-0.2008720758163408,0.03154514267472446,0.4967254145707451,0.31709028815603946,0.04507637573935563,0.9807095378842088,103.0,103,103
frontalpole,lh,26,2,0.07692307692307693,0.07455627435104414,0.09684924027634731,-0.17382917857122904,0.30455798343550816,0.43083942258502445,0.29567273990923976,0.0020642622989207925,0.9278161175896293,103.0,103,103
insula,rh,26,2,0.07692307692307693,-2.1630636835823172e-05,0.10487218484067448,-0.19968564073947537,0.23804237850416157,0.4891641429516269,0.2992976931691511,0.017084449307215244,0.9896399024377308,103.0,103,103
parahippocampal,rh,26,2,0.07692307692307693,0.01198831804703217,0.09767514639291305,-0.13557801985683546,0.21144384680185951,0.5125516416851521,0.29620749417639586,0.034704122015138214,0.9591062368745066,103.0,103,103
caudalmiddlefrontal,rh,26,2,0.07692307692307693,-0.1046089371583092,0.06369497835009236,-0.2702025546991762,-0.004793437227200497,0.37983965878216375,0.28560503460890335,0.006551480030970995,0.962248637510771,103.0,103,103
bankssts,rh,26,2,0.07692307692307693,-0.050112456194696425,0.1042495467850316,-0.2315890310642044,0.20250996247601377,0.43345905935770734,0.3087827214691268,0.02042829942673832,0.9862031113547423,103.0,103,103
temporalpole,rh,26,2,0.07692307692307693,0.07372371521594258,0.057259205199470274,-0.005501485593686579,0.20897724300886306,0.5248649243540562,0.2792669521585341,0.03692461942557947,0.9779393051040239,103.0,103,103
superiorparietal,rh,26,2,0.07692307692307693,-0.1382650537158748,0.0442664593546635,-0.20942050136575882,-0.007170414721335673,0.20893067354278047,0.19129288026760605,0.0365170289927951,0.9435541074631668,103.0,103,103
rostralmiddlefrontal,rh,26,1,0.038461538461538464,-0.07607765808068638,0.04495686337431642,-0.20453228059901843,0.00034564698024884403,0.4914121475444395,0.23976151999799022,0.041226909707150115,0.9972768149053097,103.0,103,103
