region,n_tests,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
Brain-Stem,26,14,0.5384615384615384,-0.20794377347185528,0.049522255209594766,-0.2820990060142252,-0.09535072691812269,0.0645412387975677,0.07989905959623941,0.00446187757552808,0.3453374698614755,103.0,103,103
4th-Ventricle,26,8,0.3076923076923077,-0.15476109545112243,0.05776041069546208,-0.24795747961048917,-0.046455391998612296,0.18232232048016794,0.1747172081612792,0.012868962020264454,0.6462619954481084,103.0,103,103
Right-Inf-Lat-Vent,26,7,0.2692307692307692,-0.16043662540670653,0.06562656601597389,-0.3248787332487812,-0.06148433798022925,0.17326752718344898,0.14891009869824606,0.0009741799941403987,0.5433940087880835,103.0,103,103
Left-vessel,26,6,0.23076923076923078,0.14079786291656954,0.07099603564684641,-0.014609943897809697,0.27126576650852535,0.24363086530117592,0.2433935474636631,0.006334596645811414,0.8852870370933114,103.0,103,103
Right-Thalamus,26,4,0.15384615384615385,-0.15955802101215605,0.04336766800719802,-0.2436600656812683,-0.05629214104567786,0.14499147484522673,0.12427342937287207,0.014569561231699911,0.5780157080033078,103.0,103,103
Right-Caudate,26,2,0.07692307692307693,-0.1393066618596216,0.04505410201713691,-0.21098710454403305,-0.0443383864530072,0.2067492404836602,0.15917405802830525,0.03510660520225007,0.6613681968704055,103.0,103,103
SubCortGrayVol,26,2,0.07692307692307693,-0.11387529122960983,0.04703936394876877,-0.2144124057897537,-0.00938981721979952,0.3048639998434271,0.2057761004847163,0.032181683840464693,0.9261262689900871,103.0,103,103
Left-Amygdala,26,1,0.038461538461538464,-0.03157099741454282,0.07660627892480888,-0.23929725988869407,0.12033610952375261,0.5824192916736707,0.25690362761620406,0.01649229568730043,0.9202344198468793,103.0,103,103
Right-Putamen,26,1,0.038461538461538464,0.08209743417907157,0.06708670001609483,-0.03331334617479168,0.21310262793888893,0.4362704976160166,0.2854437388365769,0.03327488193870954,0.9098443233670043,103.0,103,103
Right-Amygdala,26,1,0.038461538461538464,-0.09276300368584348,0.05164314726158538,-0.22783235940799743,-0.00026576860200136607,0.41199294163968925,0.25995418307785984,0.022622545669826546,0.9979061363110144,103.0,103,103
CC_Posterior,26,1,0.038461538461538464,0.08452679909584972,0.08418043691640677,-0.1295297654958295,0.22820600471654282,0.379861076694835,0.2841251736392658,0.022395629473660587,0.9991143112726633,103.0,103,103
CC_Mid_Posterior,26,0,0.0,0.055805263838381976,0.06207860556244034,-0.08355347192519641,0.17082306482012544,0.5319931175002177,0.2550156138555523,0.08926870962718368,0.9736999647467137,103.0,103,103
CC_Mid_Anterior,26,0,0.0,-0.026379597255502728,0.06211953136508097,-0.15443595401852683,0.06961208039886295,0.6106786217058301,0.22885112238388924,0.1249895981506044,0.9538171113190723,103.0,103,103
CerebralWhiteMatterVol,26,0,0.0,-0.008260589678018525,0.01973142987492978,-0.044523525597523976,0.029211509453845333,0.8606172831651107,0.0865885438174259,0.660041565708677,0.9906914994220051,103.0,103,103
CSF,26,0,0.0,0.05370819905285861,0.04966073700106423,-0.031168138787053504,0.1660463431393014,0.6204006038644689,0.2675625744992829,0.09872421875239483,0.9696886457957239,103.0,103,103
CortexVol,26,0,0.0,-0.12695959868146914,0.013344330185000974,-0.15507683089640373,-0.09974003405190648,0.2119350174881124,0.04859639207160684,0.1234123873462753,0.3234832591358141,103.0,103,103
EstimatedTotalIntraCranialVol,26,0,0.0,-0.05989302069864448,0.00029697050347747783,-0.06046119694851589,-0.059381769020435196,0.5538977923536079,0.001968191448522179,0.5501351884039245,0.5572909033202833,103.0,103,103
Left-Accumbens-area,26,0,0.0,-0.018767331278496942,0.04948773245143926,-0.11728873716534208,0.06802111845012745,0.6807554376537838,0.19795942747830425,0.24517148250812207,0.9668639252320921,103.0,103,103
Left-Caudate,26,0,0.0,-0.03801664548501385,0.04206462896900451,-0.12162426806018847,0.029700111240216667,0.6564783718955429,0.20660765585044327,0.2280364368762102,0.9855629426509713,103.0,103,103
Left-Cerebellum-Cortex,26,0,0.0,-0.09192766915237212,0.028822610077038752,-0.1429650372504951,-0.041538864374035464,0.3812342799222307,0.14756572975717383,0.15590587869973163,0.6815540831799605,103.0,103,103
BrainSegVol,26,0,0.0,-0.09983995882696704,0.01858683596279436,-0.1331432161304323,-0.060298928604199956,0.3307251701467455,0.09235134333949327,0.18664122504378167,0.5512080415643621,103.0,103,103
5th-Ventricle,0,0,0.0,,,,,,,,,3.0,3,3
BrainSegVolNotVent,26,0,0.0,-0.09395835120422111,0.01828950756524504,-0.12585575372101607,-0.055356326393012356,0.3598838548049469,0.09586273834356566,0.2121401266178275,0.584362712438488,103.0,103,103
CC_Anterior,26,0,0.0,0.04711223680005782,0.05645560202809765,-0.06067969762270893,0.15264667757405045,0.5873058568260268,0.25360666275775934,0.12947496545038184,0.9811653167946961,103.0,103,103
CC_Central,26,0,0.0,0.0020185522608284568,0.07419368738874507,-0.1374092221892673,0.14591787101296327,0.5708087003715133,0.24017724418301123,0.14744960918477892,0.9750831834644802,103.0,103,103
BrainSegVol-to-eTIV,26,0,0.0,0.004697825160829806,0.010746782445890423,-0.018964001987021865,0.026306139405996284,0.9255597506169176,0.05234467522247818,0.7950188106243158,0.9886587389014401,103.0,103,103
3rd-Ventricle,26,0,0.0,-0.02587068497130932,0.028815299583166015,-0.06921535726877857,0.036358113107091784,0.7469246557764383,0.14163605512760763,0.49380293072400483,0.9992353673379752,103.0,103,103
Left-Thalamus,26,0,0.0,-0.04440481018433034,0.05628384479882064,-0.16290769720262305,0.05557145188576985,0.5951102759789813,0.24338262152577061,0.10535406364749904,0.993339444173298,103.0,103,103
Left-Putamen,26,0,0.0,-0.025109971768534082,0.04761354071927937,-0.12193501339598947,0.06626622418610531,0.7071096930479174,0.23475404979082404,0.2268414021274994,0.9937414509690421,103.0,103,103
Left-Pallidum,26,0,0.0,-0.007508871013658385,0.055387365476489446,-0.11766762364107325,0.13447264220881028,0.6932004699623099,0.2178303838843211,0.1822408575503329,0.9812066310694312,103.0,103,103
Left-Lateral-Ventricle,26,0,0.0,-0.07915058439809054,0.024396830756144735,-0.1324495450197161,-0.025494610947229178,0.4461773217904121,0.1392184534254912,0.188967710138399,0.8012097850864494,103.0,103,103
Left-Inf-Lat-Vent,26,0,0.0,-0.03138237315643969,0.0652712862053701,-0.14799749482355823,0.07982617578128894,0.581438923825325,0.2413233948852175,0.1417044660357554,0.9976712287155913,103.0,103,103
Left-Hippocampus,26,0,0.0,-0.00821417326725756,0.06105367345520453,-0.132845805587653,0.11368554166980942,0.6701233384570439,0.24843511922828215,0.18763613787016,0.9815581281279107,103.0,103,103
Left-Cerebellum-White-Matter,26,0,0.0,0.07642013008599774,0.05875448542695134,-0.03214126144920366,0.17421160210853354,0.480364273617567,0.29534060279904384,0.083007637534218,0.9837930946761728,103.0,103,103
MaskVol,26,0,0.0,-0.05375451943071545,0.01343560074445604,-0.07858027243346621,-0.031036750962190832,0.5983850670228107,0.09130311679786882,0.4370844496010906,0.7591940773605541,103.0,103,103
Right-Accumbens-area,26,0,0.0,-0.0267965957127458,0.07055688630752631,-0.18597496952446535,0.09301322121556274,0.5833063932050926,0.2386219328970443,0.06394476961837728,0.9207613375777969,103.0,103,103
Optic-Chiasm,26,0,0.0,-0.09116874275278536,0.04757041958737723,-0.17381005807402147,-0.01511592701558596,0.41431963133177585,0.2524986100011663,0.08373075501900729,0.8813426888374776,103.0,103,103
MaskVol-to-eTIV,26,0,0.0,0.025482934076542695,0.007534017516967425,0.010801792790457312,0.03773077467701767,0.8017956968187359,0.05757108575640175,0.709374110847275,0.9150563582170175,103.0,103,103
Right-Cerebellum-Cortex,26,0,0.0,-0.0513717291676979,0.033241036896550176,-0.12710994136552559,-0.0016057049932791027,0.6314461142234694,0.2060615526883152,0.2075837648857887,0.9873499259758347,103.0,103,103
Right-Hippocampus,26,0,0.0,-0.0020070497588306237,0.07312279836829327,-0.18977456428066464,0.12195441044375745,0.587825259960938,0.23104035747240503,0.058609680694591854,0.9467582180388048,103.0,103,103
Right-Cerebellum-White-Matter,26,0,0.0,0.07852820820473316,0.060157486457250345,-0.07591968127981964,0.18633514420545416,0.4509000084440447,0.2733337748547717,0.06342267478980657,0.9701001556872519,103.0,103,103
Left-choroid-plexus,26,0,0.0,0.01232014253451056,0.07004444446497612,-0.09982055775031771,0.17513124180779768,0.6424796298670269,0.26952319343175307,0.08137027950284165,0.9898386716379448,103.0,103,103
