region,hemisphere,n_tests,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
isthmuscingulate,rh,26,16,0.6153846153846154,-0.2285677434327442,0.06545101026582922,-0.39882824692443214,-0.1167904402039935,0.05278358552608174,0.06757483018917883,3.956087706515526e-05,0.24719638376746264,103.0,103,103
superiortemporal,rh,26,14,0.5384615384615384,-0.20814154194896403,0.03096071771298513,-0.2720718605425206,-0.15908095979845954,0.04631164182348614,0.029201207211478935,0.006174427320156361,0.11390222747303946,103.0,103,103
lingual,lh,26,9,0.34615384615384615,-0.17696837470090174,0.04982734387200699,-0.2690732342130564,-0.10317584909199182,0.1119250557550995,0.09168706688670963,0.006789025549489245,0.3070100461122061,103.0,103,103
middletemporal,rh,26,6,0.23076923076923078,-0.16039363838720574,0.039794819441846235,-0.22702562714593286,-0.06879443406703874,0.13902185932895184,0.11727931042516074,0.023119194220788578,0.49644016253107903,103.0,103,103
pericalcarine,rh,26,4,0.15384615384615385,-0.1291454879576353,0.055466271795482094,-0.2412645704778861,-0.05012416497559765,0.2605878517141089,0.19307903606668994,0.015599687652138055,0.6204227486351863,103.0,103,103
rostralanteriorcingulate,lh,26,3,0.11538461538461539,0.11368179839472549,0.07420871149069776,0.0007996878689614609,0.2918840811337101,0.3641509715135722,0.3084039525511854,0.003212960056699745,0.9936996991430429,103.0,103,103
lateralorbitofrontal,lh,26,2,0.07692307692307693,0.11885953921853715,0.05876850965530944,-0.03810050216243527,0.20568445712666883,0.28365488248682746,0.21734434088932136,0.04007344296651567,0.7694284037048152,103.0,103,103
isthmuscingulate,lh,26,2,0.07692307692307693,0.07630129898186568,0.07087508225395169,-0.028334875885081295,0.23184363956383905,0.4954863456800303,0.3144393569471037,0.020286436452833487,0.9649196928364163,103.0,103,103
posteriorcingulate,rh,26,2,0.07692307692307693,-0.1090627642422019,0.0523250811445111,-0.2169638689570959,-0.037802903009150755,0.3366546530310677,0.20832306194627012,0.030138990055785447,0.7088434753151833,103.0,103,103
pericalcarine,lh,26,2,0.07692307692307693,-0.14020995163144695,0.049887032678400195,-0.21915635677014753,-0.035223506146457376,0.2133871679915968,0.19293219394550556,0.028472375904963064,0.7279043298174899,103.0,103,103
rostralmiddlefrontal,rh,26,2,0.07692307692307693,0.13347327151183389,0.034486727188551385,0.06466250891196366,0.2095474465508479,0.20926921495558062,0.11931977954325304,0.03640099645027857,0.5227157105106811,103.0,103,103
caudalanteriorcingulate,rh,26,1,0.038461538461538464,-0.08387138536970365,0.06069446777441931,-0.2028535361473754,0.045804208218338124,0.433932600832529,0.2610790944126219,0.04295699367948099,0.9972710147436771,103.0,103,103
parsorbitalis,lh,26,1,0.038461538461538464,-0.04804285024922014,0.07594855521207482,-0.2089896369776519,0.08138732035542656,0.5159454021322528,0.27161184649395675,0.0369131711478695,0.973335383115282,103.0,103,103
superiorfrontal,lh,26,1,0.038461538461538464,-0.11797375903092311,0.051918148028320225,-0.2082536391317166,0.012855019952693777,0.28916575276155093,0.22937036319274728,0.03759819036292524,0.898988492799016,103.0,103,103
parahippocampal,rh,26,1,0.038461538461538464,-0.13077850622615453,0.04280617729130419,-0.23058189876179422,-0.051485385550288,0.2311581756544796,0.156128348206958,0.02099783509638783,0.6109495805704984,103.0,103,103
middletemporal,lh,26,1,0.038461538461538464,-0.1257910617318888,0.04089823656966733,-0.2060757243772134,-0.02363492799218251,0.24665131351777864,0.17384603959444106,0.03968792054224696,0.8154427549033243,103.0,103,103
temporalpole,lh,26,1,0.038461538461538464,0.026550843800311644,0.07055826470351438,-0.09657723386112244,0.22528567285699902,0.6206972062065543,0.26072396268457326,0.024222175525377004,0.9946475471089113,103.0,103,103
caudalmiddlefrontal,rh,26,0,0.0,-0.024290790925442857,0.028014034616819918,-0.067438822096485,0.01834635184264503,0.7711121247432438,0.15649157776614567,0.5049835532208959,0.97205178759483,103.0,103,103
BrainSegVolNotVent,lh,26,0,0.0,-0.09395835120422111,0.01828950756524504,-0.12585575372101607,-0.055356326393012356,0.3598838548049469,0.09586273834356566,0.2121401266178275,0.584362712438488,103.0,103,103
caudalmiddlefrontal,lh,26,0,0.0,-0.08484837281099206,0.03305173434056985,-0.15799697665718027,-0.026987162860536,0.42444406589830896,0.1782669204292022,0.11641882726944876,0.7898332034986856,103.0,103,103
caudalanteriorcingulate,lh,26,0,0.0,-0.017127425696338103,0.07418725652417299,-0.1608603761704131,0.1447209891861494,0.5850276695525847,0.2644512874731405,0.1098627880553021,0.9902220899457891,103.0,103,103
bankssts,rh,26,0,0.0,-0.11531168515941209,0.033185582404408026,-0.17766784043681014,-0.05709274019531274,0.2771706229399569,0.14162195680867642,0.07698750897307431,0.5726112579656352,103.0,103,103
MeanThickness,rh,26,0,0.0,-0.07630812770341804,0.026037898206868606,-0.12011785468565257,-0.03671744532597745,0.46435928616280264,0.15648730803558014,0.23389223556648828,0.7168435697396542,103.0,103,103
bankssts,lh,26,0,0.0,0.02598033044522678,0.0356411212522809,-0.05112996078161248,0.10564985291877675,0.7494658106681237,0.19562099949561815,0.29549322553058593,0.9621727939385218,103.0,103,103
MeanThickness,lh,26,0,0.0,-0.10799417155188863,0.044057556469065784,-0.17398754473738454,0.014076559197548553,0.3159986105473212,0.2053567436545423,0.08341051263574098,0.8894480225790156,103.0,103,103
BrainSegVolNotVent,rh,26,0,0.0,-0.09395835120422111,0.01828950756524504,-0.12585575372101607,-0.055356326393012356,0.3598838548049469,0.09586273834356566,0.2121401266178275,0.584362712438488,103.0,103,103
insula,rh,26,0,0.0,0.025131318761915225,0.08370616490593091,-0.11064407077045181,0.18287623860276522,0.5323846997006138,0.26750905628458854,0.0685823851555076,0.9962751033301321,103.0,103,103
insula,lh,26,0,0.0,-0.04626012067338218,0.060031083927531016,-0.14928246472623843,0.0761960723475183,0.6053701359898086,0.2952776034739808,0.1382402407485016,0.9967724629713159,103.0,103,103
inferiortemporal,rh,26,0,0.0,-0.05012413191081393,0.03482304917546001,-0.1160357913625734,0.012162933958370332,0.6278506275730407,0.21593462909399333,0.25028491202034964,0.9683250268060373,103.0,103,103
inferiortemporal,lh,26,0,0.0,-0.053786252225738955,0.06000680051317777,-0.13027517412864253,0.08387023837746772,0.531667936801406,0.26708984442257694,0.19639656817233975,0.9725117921623265,103.0,103,103
inferiorparietal,rh,26,0,0.0,0.03271490184030317,0.03020496514772395,-0.03152186992515572,0.10120233076202932,0.715297918250707,0.16112754141016447,0.31640411372316013,0.9979143436565572,103.0,103,103
inferiorparietal,lh,26,0,0.0,-0.04106181079699264,0.047273305375905406,-0.15500808754070233,0.0490292542389737,0.6250900701808029,0.20367308568864015,0.12358082999321617,0.9007046248136678,103.0,103,103
fusiform,rh,26,0,0.0,-0.004268624658171344,0.04571988071382571,-0.12429626349587154,0.063068169758908,0.7376422381208958,0.19339105822034716,0.21790427415646496,0.9827624890177697,103.0,103,103
cuneus,lh,26,0,0.0,-0.06681091445306757,0.04765148721019847,-0.15767016724850547,0.007097343204986318,0.5403345466631361,0.27768932473584373,0.11718593269874496,0.977994506479992,103.0,103,103
fusiform,lh,26,0,0.0,-0.024962349076752637,0.04599570639756655,-0.09124954847925082,0.0771149171105814,0.6518213395585821,0.15422286069276692,0.3665743378762273,0.9229124791748301,103.0,103,103
cuneus,rh,26,0,0.0,-0.041862309306918,0.04726134499058924,-0.12001933547041943,0.048814528549453784,0.6418601600596072,0.24744790576817832,0.2342788261072602,0.9750731850724093,103.0,103,103
eTIV,lh,26,0,0.0,-0.05989302069864448,0.00029697050347747783,-0.06046119694851589,-0.059381769020435196,0.5538977923536079,0.001968191448522179,0.5501351884039245,0.5572909033202833,103.0,103,103
eTIV,rh,26,0,0.0,-0.05989302069864448,0.00029697050347747783,-0.06046119694851589,-0.059381769020435196,0.5538977923536079,0.001968191448522179,0.5501351884039245,0.5572909033202833,103.0,103,103
entorhinal,lh,26,0,0.0,-0.08530933727051158,0.062295530955771436,-0.19594374625992014,0.03959429606071813,0.41562633941420624,0.27026491801718805,0.05072650668038367,0.9999839851647633,103.0,103,103
entorhinal,rh,26,0,0.0,0.03745193126724802,0.044863182117595456,-0.029948621150704954,0.14729303679658676,0.6771994452302177,0.22584089318655096,0.14363131456502232,0.9449714005108811,103.0,103,103
frontalpole,lh,26,0,0.0,-0.06240203423526087,0.05239182848287674,-0.18297965947033748,0.033098494193472064,0.5580865101837384,0.27459850002147795,0.06842332970566448,0.9635569687208845,103.0,103,103
frontalpole,rh,26,0,0.0,-0.02830776263774354,0.059884190109202574,-0.12255700141170824,0.10366419835650124,0.6227016573317594,0.2491006052475908,0.22446264612946237,0.9733905215016382,103.0,103,103
parahippocampal,lh,26,0,0.0,-0.095712333613895,0.03505349949746473,-0.17006758198340113,-0.025294710251820725,0.3700042729345555,0.1681230666083757,0.09071443805233925,0.8027366889314517,103.0,103,103
paracentral,rh,26,0,0.0,-0.08450209935656144,0.03943757559149567,-0.17004753637392991,-0.0028748812641411652,0.434996037685325,0.21599731849369316,0.09075304932451381,0.9773531549212784,103.0,103,103
paracentral,lh,26,0,0.0,-0.03656409661752067,0.03575075637106565,-0.10663732904390288,0.0415227668677867,0.6980530247252564,0.20704091119902343,0.29097698869966293,0.9891217933860733,103.0,103,103
medialorbitofrontal,lh,26,0,0.0,0.06574838053731703,0.05891068831049238,-0.08878801064079762,0.1964029931530489,0.5055102865393747,0.2573913722927468,0.05017645253536507,0.9942078690620715,103.0,103,103
medialorbitofrontal,rh,26,0,0.0,-0.0474920055629472,0.05749974173068327,-0.1629415886870752,0.05363769201021605,0.6073954089929614,0.2710698789549514,0.10528066127899023,0.9375392128805278,103.0,103,103
lateraloccipital,lh,26,0,0.0,-0.049298539715272885,0.037321773092139646,-0.11065964048698204,0.061772104981622125,0.6061141907585199,0.1917177807441774,0.27305515654712254,0.9725309711843476,103.0,103,103
lateralorbitofrontal,rh,26,0,0.0,0.07327297089872775,0.04165081941831838,-0.012032309911803696,0.1710849932456429,0.49508565079413114,0.22257528580897779,0.08877175804240331,0.9235102042733849,103.0,103,103
lingual,rh,26,0,0.0,-0.06387964328086872,0.048242689450593755,-0.15645007029057567,-0.0072292468658039805,0.5723552032689619,0.27845426809368057,0.12008437385498227,0.9430917485261465,103.0,103,103
lateraloccipital,rh,26,0,0.0,-0.037707995560160676,0.023989657732245456,-0.08063536100754047,0.01564798678140922,0.7039919119895213,0.1514664868026927,0.42515165881635786,0.960943480698141,103.0,103,103
parstriangularis,lh,26,0,0.0,-0.038833597395125916,0.04008636008101698,-0.13927907980565854,0.021881768158837522,0.6856634288112076,0.2205758925345361,0.16696365582427752,0.986544279290315,103.0,103,103
postcentral,rh,26,0,0.0,-0.01196491605115768,0.03341373208607829,-0.10094360540539594,0.0563168588577871,0.7964053722141459,0.16044845587542497,0.31764928812870413,0.9832774815207628,103.0,103,103
postcentral,lh,26,0,0.0,-0.1085613762133803,0.05080167998690498,-0.19138827561716942,0.011480534527938168,0.3283725887197324,0.23479573612731824,0.05645674046370945,0.9097406480792505,103.0,103,103
parsorbitalis,rh,26,0,0.0,0.044544761282644556,0.0548244007952617,-0.07163054269749661,0.1697624292855797,0.6286397791633752,0.2697443018655769,0.09130362445022819,0.991194012761711,103.0,103,103
parsopercularis,rh,26,0,0.0,-0.05718608083979101,0.05276486497143096,-0.15813802703203408,0.039630930671151386,0.5575395335208684,0.2575565613634337,0.11608894831110861,0.9609599686676902,103.0,103,103
parstriangularis,rh,26,0,0.0,0.10118336637644307,0.028546987217528907,0.049148367773497494,0.15381703185839976,0.3345217311909776,0.1372189196116199,0.12652742038081435,0.62725211316713,103.0,103,103
parsopercularis,lh,26,0,0.0,-0.09085401325914964,0.04238195093270149,-0.16754650110581212,0.012049168124617702,0.3979228570096831,0.20707502990909285,0.09567346376964897,0.9052903240180477,103.0,103,103
precuneus,rh,26,0,0.0,-0.11812220972751007,0.03194784811051306,-0.1751873909567189,-0.04384613297336477,0.263814182930184,0.13749737844849,0.08127115161744176,0.6649005709267504,103.0,103,103
precuneus,lh,26,0,0.0,0.010762628732918052,0.0486044568854384,-0.06033468312309321,0.1330672776147368,0.7038270397677154,0.1863524214370101,0.18689489283871982,0.9907604906434903,103.0,103,103
precentral,rh,26,0,0.0,-0.10044861741906888,0.024421930964495974,-0.15121819869005604,-0.05681221771008541,0.33326891749106263,0.117929621566732,0.13314340666068908,0.5745022369470847,103.0,103,103
precentral,lh,26,0,0.0,-0.12751129388999294,0.029819233930960583,-0.16595102935326972,-0.05961008827327956,0.22511400390047892,0.12166572988907864,0.09892060504574003,0.5557736211353659,103.0,103,103
posteriorcingulate,lh,26,0,0.0,-0.02426559963780761,0.06291955005473122,-0.10057476117415096,0.19520628734874354,0.6373585469119323,0.23725375498029327,0.051620182585659646,0.9920445545072427,103.0,103,103
superiorfrontal,rh,26,0,0.0,-0.08917808764607718,0.04558410261375863,-0.19013739206828648,0.000798366258061233,0.41898371465573087,0.24392540259042975,0.058119853208699813,0.9937101111758364,103.0,103,103
rostralmiddlefrontal,lh,26,0,0.0,-0.023897684045700134,0.03045649175822394,-0.07652593568833996,0.03574354382620661,0.7644716659587139,0.1658671037135866,0.44920036884906944,0.996651252542336,103.0,103,103
rostralanteriorcingulate,rh,26,0,0.0,-0.05189335425703388,0.07006536209870247,-0.1669864552827939,0.09771703844841197,0.5371587278736241,0.2864228941987594,0.09680357366498679,0.9454065105094444,103.0,103,103
superiorparietal,rh,26,0,0.0,-0.020741320687075182,0.02877914649097904,-0.08136599123327894,0.03348104637732826,0.7741409430700835,0.13910148364658928,0.42095486084651523,0.9776213736302601,103.0,103,103
