region,hemisphere,n_tests,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
superiortemporal,rh,26,23,0.8846153846153846,-0.24693496223461628,0.04403673150704688,-0.33408800844215736,-0.13974162375502774,0.024223330953018787,0.0340466164694088,0.0006812032208512592,0.16554503296527692,103.0,103,103
pericalcarine,rh,26,14,0.5384615384615384,-0.20879650962735494,0.04395119958038906,-0.30637192610158626,-0.10154661300154084,0.05622197423996754,0.0646485499430684,0.0019344924488525835,0.31475207502634883,103.0,103,103
isthmuscingulate,rh,26,12,0.46153846153846156,-0.20577405848360567,0.07834086749995624,-0.33586457517600377,-0.07547360470016222,0.10128089274479511,0.12474553403710986,0.0006349644112025116,0.4554786546286371,103.0,103,103
posteriorcingulate,lh,26,11,0.4230769230769231,-0.17545881934056298,0.05874038381615442,-0.30859001755995247,-0.08608338216068588,0.12736088959519945,0.11479649607258342,0.001785855047677153,0.39443985654538516,103.0,103,103
lingual,rh,26,8,0.3076923076923077,-0.16072089552334795,0.04573212241660164,-0.23896705468058108,-0.07102660154753172,0.14433175987903502,0.11235369422435923,0.016646366095305523,0.4825395977826673,103.0,103,103
caudalmiddlefrontal,lh,26,7,0.2692307692307692,-0.17230138827445426,0.04421021565438841,-0.2634793959982271,-0.09963853766338196,0.11570746698853546,0.0945655153991451,0.008081569307353232,0.3239783576268218,103.0,103,103
posteriorcingulate,rh,26,5,0.19230769230769232,-0.15350033488165116,0.05464494271411683,-0.27950882640653013,-0.04013006172146645,0.17857912285028515,0.1660788608574429,0.004857884122133496,0.6917988836145446,103.0,103,103
bankssts,rh,26,5,0.19230769230769232,-0.1084601467949389,0.0973818355148552,-0.2843837948724138,0.07238239911189905,0.32437281780851435,0.27319527500780477,0.004136742771786039,0.8912662077526724,103.0,103,103
parsopercularis,lh,26,5,0.19230769230769232,-0.1406454229893769,0.062462825693137644,-0.2667564847634738,-0.026741160987776135,0.23184850943385665,0.19971145850370609,0.007300316455559866,0.7917053240166858,103.0,103,103
rostralmiddlefrontal,lh,26,5,0.19230769230769232,-0.14143335561051462,0.05500102488679534,-0.24468673810833327,-0.0458944309611249,0.21790116441955115,0.18665524251674143,0.014146469247128266,0.6502511744232544,103.0,103,103
caudalanteriorcingulate,rh,26,4,0.15384615384615385,-0.09436742916160533,0.08737080741165601,-0.24806261757104084,0.09049153856778425,0.3711068426332233,0.2728441456266555,0.012829620547606715,0.8718367238861864,103.0,103,103
parstriangularis,rh,26,3,0.11538461538461539,0.11880093795578867,0.0530194281910757,0.014130191965065902,0.21759492377453926,0.29640005142492465,0.22751494826828472,0.029651042944873952,0.8890294906355694,103.0,103,103
caudalanteriorcingulate,lh,26,3,0.11538461538461539,-0.12771848770453303,0.07235589773515252,-0.2498498770888138,0.0046085551335207815,0.2985631371636563,0.31466563630988775,0.012176697686975357,0.9776499190224575,103.0,103,103
precuneus,rh,26,2,0.07692307692307693,-0.16252353081573367,0.02686458071604158,-0.2265827297132868,-0.09932194912189309,0.11820283333148811,0.0649153531215474,0.023395797684329922,0.3255257940533729,103.0,103,103
insula,lh,26,2,0.07692307692307693,-0.07085699124697045,0.07057002996813344,-0.24869735504317692,0.041084858386912684,0.5136411156182927,0.2979893071713302,0.012594327213507806,0.9638505782236744,103.0,103,103
lingual,lh,26,2,0.07692307692307693,-0.1450170286134061,0.038202808594875036,-0.22039514204297012,-0.06836970566713634,0.17763152511315278,0.12121045442797619,0.027565756690345854,0.49910871185058003,103.0,103,103
parahippocampal,lh,26,2,0.07692307692307693,-0.10095406690032381,0.07394587411845212,-0.2232841166938327,0.040389373815809086,0.39754430156405945,0.317752469755092,0.025546241615862154,0.9753196801602486,103.0,103,103
parahippocampal,rh,26,2,0.07692307692307693,-0.08632515841999214,0.08839406495242083,-0.20409305180405724,0.121756126993012,0.3341205624019221,0.2509497972997463,0.04167385940941514,0.9454038602732219,103.0,103,103
pericalcarine,lh,26,2,0.07692307692307693,-0.1168095448490368,0.05387447491909601,-0.22582566804327747,-0.007686487459532426,0.30613377817844556,0.24018746615985948,0.023875156592815926,0.9394989724229579,103.0,103,103
caudalmiddlefrontal,rh,26,1,0.038461538461538464,-0.0863044236391045,0.05009891716456372,-0.20219857768538513,-0.010933488666074716,0.44483377866921947,0.2563399208995192,0.043648170557575555,0.9140246540662023,103.0,103,103
parsorbitalis,lh,26,1,0.038461538461538464,0.0028960182900082763,0.0783328489684659,-0.19656729593544564,0.1501742636424696,0.591536593906274,0.25594712202317876,0.04998086152107148,0.9186645048473442,103.0,103,103
supramarginal,lh,26,1,0.038461538461538464,-0.04719821953681979,0.06218860845083599,-0.20147603759452287,0.06544803409697172,0.5659931151822464,0.23993786577233267,0.04442136917141507,0.9695509028261609,103.0,103,103
superiortemporal,lh,26,1,0.038461538461538464,-0.09260650936016014,0.049495606585007165,-0.22218737905056662,-0.026872827057678166,0.41036097015478,0.21785766432364054,0.02629755155505182,0.7907031726113205,103.0,103,103
inferiorparietal,lh,26,1,0.038461538461538464,-0.0787936337749391,0.04861686716483906,-0.1988834684622754,0.03657706568935126,0.45806054394962686,0.2290204939532321,0.04728995762437732,0.9458919426563572,103.0,103,103
isthmuscingulate,lh,26,1,0.038461538461538464,-0.044569111657129026,0.08128360249866899,-0.2092777758905166,0.10260975594517359,0.5146587104585015,0.2769717351347206,0.03664785568165388,0.9870608167625243,103.0,103,103
lateraloccipital,rh,26,1,0.038461538461538464,-0.10064848210218767,0.04339995454767771,-0.21344306373672622,-0.009460261241299988,0.3576637743521915,0.20640798300745403,0.032987772912642585,0.925573635138638,103.0,103,103
lateraloccipital,lh,26,1,0.038461538461538464,-0.089225962453637,0.04213405774437835,-0.21858460129688254,-0.015371104786398259,0.41379575757913095,0.19246508295894893,0.028899276787384715,0.8793545647707388,103.0,103,103
rostralanteriorcingulate,lh,26,1,0.038461538461538464,-0.061328806148933365,0.05731414575856644,-0.22208577013913683,0.05000714313066261,0.5585969409307533,0.25907056618389174,0.02636809969432408,0.9767543244567063,103.0,103,103
temporalpole,lh,26,1,0.038461538461538464,0.10679176694488238,0.06695553042078181,-0.038440451471483006,0.23675778932655525,0.3526989032136504,0.29890313844765837,0.017709556398742065,0.9889471673447343,103.0,103,103
postcentral,lh,26,1,0.038461538461538464,-0.10781348585836209,0.05572799166522332,-0.1999139953505979,-0.0008925856149034218,0.34955832973977247,0.2547772745413682,0.04613186488053115,0.9929678265886408,103.0,103,103
postcentral,rh,26,1,0.038461538461538464,-0.13706209431882133,0.03029846866436027,-0.20216700788804026,-0.08192265665708634,0.19204443693633017,0.09855891990712007,0.043681718394981355,0.41777346287491657,103.0,103,103
