region,hemisphere,r,p-val,n
bankssts,lh,-0.14979537066406085,0.11830053917395515,112
caudalanteriorcingulate,lh,-0.07919764575080228,0.4108287336308025,112
caudalmiddlefrontal,lh,-0.011792136241799913,0.9026864684535311,112
cuneus,lh,0.09919231999817653,0.30254141009049546,112
entorhinal,lh,-0.060143583225470955,0.5325285693047631,112
fusiform,lh,-0.07890095334128194,0.4125893693687065,112
inferiorparietal,lh,-0.11818772427772847,0.21880261843599086,112
inferiortemporal,lh,-0.21692614974597577,0.02282640160696896,112
isthmuscingulate,lh,0.0415224504337228,0.6666849628370881,112
lateraloccipital,lh,0.10089430773194123,0.2942797520432507,112
lateralorbitofrontal,lh,0.04229366175716569,0.6608725281954418,112
lingual,lh,0.14629375280810125,0.12725120849824373,112
medialorbitofrontal,lh,0.017306656451749558,0.8575815062370129,112
middletemporal,lh,-0.05611241105972297,0.5603995778620764,112
parahippocampal,lh,0.0007478062806000334,0.9938136931185749,112
paracentral,lh,-0.01461440267089818,0.879554279893198,112
parsopercularis,lh,0.0887781159175105,0.35637265164331,112
parsorbitalis,lh,0.05797608736345521,0.5474280772906884,112
parstriangularis,lh,0.011862346338763229,0.9021099327677904,112
pericalcarine,lh,0.0023504500952861015,0.9805573574972385,112
postcentral,lh,-0.08701340770597918,0.36605100797944146,112
posteriorcingulate,lh,-0.22685403762181447,0.017160769835734196,112
precentral,lh,0.014597665808346325,0.8796911818569286,112
precuneus,lh,0.07713309289591982,0.4231712794129667,112
rostralanteriorcingulate,lh,-0.023947866164875597,0.8038761938675298,112
rostralmiddlefrontal,lh,-0.05536367454690016,0.5656519336420589,112
superiorfrontal,lh,0.017520916280949657,0.855837265623365,112
superiorparietal,lh,0.14318771066765196,0.13561759999803377,112
superiortemporal,lh,-0.07875795280463364,0.41343953730062477,112
supramarginal,lh,-0.03503541544631185,0.7163296168638116,112
frontalpole,lh,0.007106911856961755,0.9412591565845028,112
temporalpole,lh,-0.039880373045153295,0.6791264780729551,112
transversetemporal,lh,-0.04812119735033038,0.6176220693704625,112
insula,lh,-0.05698499153734298,0.5543080176975402,112
WhiteSurfArea,lh,-0.01653522623425532,0.8638671660974487,112
BrainSegVolNotVent,lh,-0.060127885639114066,0.5326357434246185,112
eTIV,lh,-0.014459337426059819,0.8808227973785347,112
bankssts,rh,-0.1068822968866667,0.2664080989664322,112
caudalanteriorcingulate,rh,-0.009281030222712176,0.923337615903767,112
caudalmiddlefrontal,rh,-0.02130264404305786,0.8251727949132239,112
cuneus,rh,0.10078487272306345,0.2948064327371084,112
entorhinal,rh,-0.002642990075081285,0.9781380658721115,112
fusiform,rh,-0.12852828866388935,0.180839548136321,112
inferiorparietal,rh,-0.21241804611748333,0.025887232741596114,112
inferiortemporal,rh,-0.10322442323382491,0.283213165874907,112
isthmuscingulate,rh,-0.04581837646929605,0.6345678784097424,112
lateraloccipital,rh,0.007000222427584108,0.9421394405552387,112
lateralorbitofrontal,rh,0.013982412729360117,0.8847261755584669,112
lingual,rh,0.1956468686997723,0.0405246103310033,112
medialorbitofrontal,rh,-0.08661706540449299,0.36824673770088245,112
middletemporal,rh,-0.11718136789931138,0.22277805984131652,112
parahippocampal,rh,0.04772493836515738,0.6205241002677322,112
paracentral,rh,-0.04215556366937428,0.6619118717924815,112
parsopercularis,rh,-0.01954848674970564,0.839366784821586,112
parsorbitalis,rh,-0.10602634830004487,0.2702785157960405,112
parstriangularis,rh,0.020457578735766053,0.832004014157389,112
pericalcarine,rh,0.10672524999422027,0.2671153996379251,112
postcentral,rh,0.08654052527306455,0.36867169816686063,112
posteriorcingulate,rh,-0.06650315351890876,0.49001315037947935,112
precentral,rh,0.057108715880897394,0.5534468803456154,112
precuneus,rh,0.0634731915333301,0.5100419104818663,112
rostralanteriorcingulate,rh,-0.051741074781969765,0.5913880649588379,112
rostralmiddlefrontal,rh,-0.16935418052347478,0.07694216740021859,112
superiorfrontal,rh,-0.09083366361943053,0.3453017999082759,112
superiorparietal,rh,0.11426478022137952,0.23458664826965098,112
superiortemporal,rh,-0.011235296013349846,0.9072607733844908,112
supramarginal,rh,0.08552674215077,0.37432869831163007,112
frontalpole,rh,-0.0349773175928567,0.7167800004951439,112
temporalpole,rh,-0.10258759016061923,0.28620973452735315,112
transversetemporal,rh,0.06950111416282112,0.4706142704676589,112
insula,rh,-0.119128212181049,0.2151330394218764,112
WhiteSurfArea,rh,-0.03795113629513405,0.6938543850148067,112
BrainSegVolNotVent,rh,-0.060127885639114066,0.5326357434246185,112
eTIV,rh,-0.014459337426059819,0.8808227973785347,112
