region,r,p-val,n
Left-Lateral-Ventricle,-0.11991473559367208,0.21209794407756943,112
Left-Inf-Lat-Vent,-0.04059885530438069,0.6736719028162022,112
Left-Cerebellum-White-Matter,0.05267427515080092,0.5847077498754301,112
Left-Cerebellum-Cortex,0.028358265854851853,0.7686925449891704,112
Left-Thalamus,0.014374484115673599,0.8815170711741035,112
Left-Caudate,-0.19469869447250038,0.04152601105551121,112
Left-Putamen,-0.2420008072897497,0.010861888444380062,112
Left-Pallidum,-0.11709928921760321,0.22310453165840774,112
3rd-Ventricle,-0.21274844179882751,0.025651596952182325,112
4th-Ventricle,-0.11942020296081908,0.2140027021455767,112
Brain-Stem,0.07152600982047372,0.4577521450601342,112
Left-Hippocampus,-0.17397658656440634,0.06910598428983494,112
Left-Amygdala,-0.13587217734731288,0.15697083881768975,112
CSF,-0.052739235054747244,0.5842440253468795,112
Left-Accumbens-area,0.13900119747221712,0.1475489159042115,112
Left-VentralDC,-0.03998073110360515,0.6783635753126287,112
Left-vessel,-0.14099726282108813,0.14176516065016329,112
Left-choroid-plexus,-0.016668063006040283,0.8627841870384365,112
Right-Lateral-Ventricle,-0.08325544004174681,0.38719353862921035,112
Right-Inf-Lat-Vent,-0.013543044535350489,0.8883246187767574,112
Right-Cerebellum-White-Matter,0.03600217501195136,0.7088495313284442,112
Right-Cerebellum-Cortex,0.037633096889522495,0.6962934824494735,112
Right-Thalamus,-0.008724862419501205,0.9279188889313525,112
Right-Caudate,-0.16083119500138918,0.09325185604835105,112
Right-Putamen,-0.23654005241155043,0.012849036068403702,112
Right-Pallidum,0.04595013099281077,0.6335931118846483,112
Right-Hippocampus,-0.19956968442898887,0.036593558484764255,112
Right-Amygdala,-0.180033367822103,0.05982995491556547,112
Right-Accumbens-area,0.009079526122016821,0.9249971665294843,112
Right-VentralDC,-0.09441700884804004,0.3265258324955974,112
Right-vessel,0.07571455341436119,0.4317743953036516,112
Right-choroid-plexus,0.04345391672799942,0.6521659206788498,112
5th-Ventricle,-0.05866171418602939,0.5426931275145831,112
WM-hypointensities,0.2123644450046338,0.025925634116766273,112
Left-WM-hypointensities,,,112
Right-WM-hypointensities,,,112
non-WM-hypointensities,0.16641118690021775,0.08229286873248991,112
Left-non-WM-hypointensities,,,112
Right-non-WM-hypointensities,,,112
Optic-Chiasm,0.06934752813251945,0.4715978088775691,112
CC_Posterior,0.17021306942495967,0.07543445395139046,112
CC_Mid_Posterior,0.06957290900210629,0.470154891973806,112
CC_Central,0.08274065312272959,0.39014586597805256,112
CC_Mid_Anterior,0.11432540598556896,0.23433682371795134,112
CC_Anterior,0.04541611522348793,0.6375478119992264,112
BrainSegVol,-0.0741768804173371,0.44121190911568664,112
BrainSegVolNotVent,-0.060127885639114066,0.5326357434246185,112
lhCortexVol,-0.14745395692116608,0.12422975186686006,112
rhCortexVol,-0.16796686072007255,0.07942856308934976,112
CortexVol,-0.15829924670763534,0.09859111016767799,112
lhCerebralWhiteMatterVol,0.02973743474993123,0.7577823923922807,112
rhCerebralWhiteMatterVol,0.02094571092113443,0.8280565594731015,112
CerebralWhiteMatterVol,0.02537240683993789,0.7924653945068827,112
SubCortGrayVol,-0.1423981758187742,0.13780961543544556,112
TotalGrayVol,-0.13651063102996283,0.15501273863938025,112
SupraTentorialVol,-0.08675280709128104,0.36749382251073415,112
SupraTentorialVolNotVent,-0.07190907152849328,0.45534101381619396,112
MaskVol,-0.05717955822409861,0.5529540996758359,112
BrainSegVol-to-eTIV,-0.09518007885782229,0.3226136232158021,112
MaskVol-to-eTIV,-0.07222511934623224,0.45335701202741197,112
lhSurfaceHoles,0.16999702129662678,0.07581145285450004,112
rhSurfaceHoles,0.18355857354173294,0.05491734393439071,112
SurfaceHoles,0.1883648543246454,0.04875845527623307,112
EstimatedTotalIntraCranialVol,-0.014459337426059819,0.8808227973785347,112
