region,hemisphere,r,p-val,n
bankssts,lh,-0.06017118780554336,0.5323401271669266,112
caudalanteriorcingulate,lh,0.021482043039927703,0.8237242546185282,112
caudalmiddlefrontal,lh,-0.15464045196272294,0.10672836826999227,112
cuneus,lh,-0.16783987537444142,0.07965933135571877,112
entorhinal,lh,-0.07486407403543756,0.4369799114290107,112
fusiform,lh,-0.2060742919353561,0.030782381300630265,112
inferiorparietal,lh,-0.19742900013216136,0.03869703832240891,112
inferiortemporal,lh,-0.13817962459570968,0.14998048697532543,112
isthmuscingulate,lh,0.013666523428755285,0.8873130891306658,112
lateraloccipital,lh,-0.1909043538681371,0.04574240235799567,112
lateralorbitofrontal,lh,-0.06341213131465226,0.5104498284493323,112
lingual,lh,-0.0943680998447273,0.32677761787424997,112
medialorbitofrontal,lh,0.060767550321654804,0.5282772153493788,112
middletemporal,lh,-0.18231798202715968,0.05660693556522896,112
parahippocampal,lh,-0.032550355760121906,0.7356792542608972,112
paracentral,lh,-0.17360094734531972,0.06971764916996255,112
parsopercularis,lh,-0.10505643805739431,0.2747099777889949,112
parsorbitalis,lh,-0.040051627479560974,0.6778248304306906,112
parstriangularis,lh,0.043203073356915374,0.6540443560590667,112
pericalcarine,lh,-0.2665800990570509,0.004876089697170022,112
postcentral,lh,-0.30051722579288054,0.001423129468148687,112
posteriorcingulate,lh,-0.1405052898714112,0.14317448488105836,112
precentral,lh,-0.24149528398402292,0.011033791228359452,112
precuneus,lh,-0.1864979687096184,0.051079147246258526,112
rostralanteriorcingulate,lh,0.004444417214435085,0.9632455499212631,112
rostralmiddlefrontal,lh,-0.022549603148503437,0.8151167424576494,112
superiorfrontal,lh,-0.07888009186321691,0.4127133315046957,112
superiorparietal,lh,-0.23404046471946124,0.013859820471505784,112
superiortemporal,lh,-0.2151726166643586,0.02397800138606495,112
supramarginal,lh,-0.2543797004092729,0.007323925341345107,112
frontalpole,lh,0.14147174838723703,0.1404159101444024,112
temporalpole,lh,-0.09587935206356543,0.31905508085047257,112
transversetemporal,lh,-0.12677350637870988,0.1869169592101448,112
insula,lh,0.024817998159752056,0.7969012334139556,112
MeanThickness,lh,-0.21822131166143088,0.022006549541197056,112
BrainSegVolNotVent,lh,-0.060127885639114066,0.5326357434246185,112
eTIV,lh,-0.014459337426059819,0.8808227973785347,112
bankssts,rh,-0.13060983847456648,0.173819554629529,112
caudalanteriorcingulate,rh,0.08387742441395073,0.3836444073910702,112
caudalmiddlefrontal,rh,-0.06273399475796944,0.5149914584557718,112
cuneus,rh,-0.18273457339659502,0.056034875441485325,112
entorhinal,rh,-0.17305433481782065,0.07061553601848379,112
fusiform,rh,-0.23126664319449933,0.015061879712515396,112
inferiorparietal,rh,-0.14726739730534455,0.12471183984532709,112
inferiortemporal,rh,-0.14738392222160968,0.12441055991586575,112
isthmuscingulate,rh,0.09768483881670557,0.3099847312997295,112
lateraloccipital,rh,-0.17348535936497844,0.06990674389297531,112
lateralorbitofrontal,rh,-0.117682951782123,0.22079031126096507,112
lingual,rh,-0.13329408129324236,0.165066021138847,112
medialorbitofrontal,rh,0.0547848086250871,0.569728567648203,112
middletemporal,rh,-0.14608062216631013,0.12781233160553873,112
parahippocampal,rh,-0.03034464660530313,0.752993839385027,112
paracentral,rh,-0.16925312304526294,0.07712114732743533,112
parsopercularis,rh,-0.0636516417702176,0.5088507231313069,112
parsorbitalis,rh,-0.17054711592322314,0.07485452225468187,112
parstriangularis,rh,0.032226702225082046,0.7382118640849504,112
pericalcarine,rh,-0.30686655971755966,0.0011112841346927068,112
postcentral,rh,-0.26320903218560787,0.005466269594680038,112
posteriorcingulate,rh,0.05040097557098987,0.6010411689102698,112
precentral,rh,-0.12803795733864246,0.18252297626592665,112
precuneus,rh,-0.2403592487715482,0.011428819106912349,112
rostralanteriorcingulate,rh,0.07970880666947874,0.4078057372489783,112
rostralmiddlefrontal,rh,-0.04783834489877327,0.6196929616576168,112
superiorfrontal,rh,-0.11216717880463585,0.24334513340922048,112
superiorparietal,rh,-0.16258728509169193,0.08968498971872953,112
superiortemporal,rh,-0.14811401396752152,0.12253560366831519,112
supramarginal,rh,-0.17836302687211697,0.06228012398281734,112
frontalpole,rh,0.04996129758235624,0.6042235067625308,112
temporalpole,rh,-0.16726823016492373,0.08070483504176226,112
transversetemporal,rh,-0.19410257918994847,0.04216610472239212,112
insula,rh,-0.1277495682333633,0.18351842236933663,112
MeanThickness,rh,-0.21166974458530693,0.026427747343346086,112
BrainSegVolNotVent,rh,-0.060127885639114066,0.5326357434246185,112
eTIV,rh,-0.014459337426059819,0.8808227973785347,112
