region,hemisphere,r,p-val,n
bankssts,lh,-0.14120905004538878,0.14116171257164245,112
caudalanteriorcingulate,lh,-0.06696266287360575,0.48701255119023357,112
caudalmiddlefrontal,lh,-0.09298197466895966,0.3339651135500309,112
cuneus,lh,-0.03100882891991787,0.7477667252181817,112
entorhinal,lh,-0.05323005989590864,0.5807456776813396,112
fusiform,lh,-0.18786252559083808,0.049374137556874614,112
inferiorparietal,lh,-0.1829397903212376,0.05575482323414461,112
inferiortemporal,lh,-0.22863959722135027,0.01628279311636744,112
isthmuscingulate,lh,-0.004848332081161429,0.9599079118502996,112
lateraloccipital,lh,-0.044468593683223145,0.6445898123478081,112
lateralorbitofrontal,lh,0.0024459415390873126,0.9797676273774072,112
lingual,lh,0.09512044268007824,0.32291828346688556,112
medialorbitofrontal,lh,0.0835210819721557,0.3856753390186106,112
middletemporal,lh,-0.10046360489966726,0.29635620267206253,112
parahippocampal,lh,-0.002611905252636641,0.9783951268346065,112
paracentral,lh,-0.13668399156623437,0.1544842227360806,112
parsopercularis,lh,0.04168102305730408,0.6654882123172718,112
parsorbitalis,lh,0.04091035675372579,0.6713122725501324,112
parstriangularis,lh,0.0034513623155688756,0.9714539640745548,112
pericalcarine,lh,-0.1220142007676197,0.20414608515944735,112
postcentral,lh,-0.2166805488532938,0.022984785728350745,112
posteriorcingulate,lh,-0.3106250705116285,0.0009574354267565624,112
precentral,lh,-0.15660279070824604,0.10230116947152547,112
precuneus,lh,0.0010656195018191104,0.9911846392468585,112
rostralanteriorcingulate,lh,-0.07699981645560036,0.4239753337003197,112
rostralmiddlefrontal,lh,-0.055814204300567646,0.5624886922994394,112
superiorfrontal,lh,-0.07396640927310283,0.4425126861020483,112
superiorparietal,lh,0.025308737659839937,0.792974479754537,112
superiortemporal,lh,-0.190848682141721,0.0458068197019238,112
supramarginal,lh,-0.10844156715715401,0.259454468952847,112
frontalpole,lh,0.10760674026548572,0.26316184333720793,112
temporalpole,lh,-0.09537959741990759,0.32159569739126515,112
transversetemporal,lh,-0.16032143843816804,0.09430799541750032,112
insula,lh,-0.06365137315007835,0.5088525151379595,112
BrainSegVolNotVent,lh,-0.060127885639114066,0.5326357434246185,112
eTIV,lh,-0.014459337426059819,0.8808227973785347,112
bankssts,rh,-0.1753944394782089,0.06683630669145213,112
caudalanteriorcingulate,rh,-0.03363054954310275,0.727247290205955,112
caudalmiddlefrontal,rh,-0.06229873675881893,0.5179173438477684,112
cuneus,rh,-0.0037757891754117076,0.9687719399534919,112
entorhinal,rh,-0.051553789883851155,0.5927328994325187,112
fusiform,rh,-0.2296298125073916,0.015812879094391958,112
inferiorparietal,rh,-0.2711065732877443,0.004173203349408133,112
inferiortemporal,rh,-0.11810331727998434,0.2191341108087084,112
isthmuscingulate,rh,-0.020894380390412675,0.8284714624682841,112
lateraloccipital,rh,-0.11249361069475772,0.24196744040199372,112
lateralorbitofrontal,rh,-0.02478583960885922,0.7971587349442171,112
lingual,rh,0.06525860436523896,0.4981890685227265,112
medialorbitofrontal,rh,-0.045335063229487174,0.6381489435364757,112
middletemporal,rh,-0.16718461298938547,0.08085868262678661,112
parahippocampal,rh,0.01572664128484634,0.8704646897008826,112
paracentral,rh,-0.16424063698487124,0.08642661696481183,112
parsopercularis,rh,-0.04361075618353897,0.6509925352248567,112
parsorbitalis,rh,-0.15023630750031092,0.11720884684032676,112
parstriangularis,rh,0.025331390945338036,0.7927933389096532,112
pericalcarine,rh,-0.05930589159408686,0.5382628422551007,112
postcentral,rh,-0.07237581458656292,0.452412713499726,112
posteriorcingulate,rh,-0.06227502283033234,0.5180769964808314,112
precentral,rh,-0.0699649022708825,0.467651039654597,112
precuneus,rh,-0.035276133205909395,0.7144645733574184,112
rostralanteriorcingulate,rh,0.001276368353108677,0.9894413068098415,112
rostralmiddlefrontal,rh,-0.17984396368546224,0.06010376031061847,112
superiorfrontal,rh,-0.16751151404509015,0.0802585487281002,112
superiorparietal,rh,0.02332889406888756,0.808847285951435,112
superiortemporal,rh,-0.0973004255429341,0.31190172460538934,112
supramarginal,rh,0.008336362879537635,0.9311204499277533,112
frontalpole,rh,0.013620067084144422,0.8876936348034897,112
temporalpole,rh,-0.15120441246166835,0.11483933585823972,112
transversetemporal,rh,-0.0561666292378177,0.560020146121808,112
insula,rh,-0.20021177781289332,0.035981672393076994,112
BrainSegVolNotVent,rh,-0.060127885639114066,0.5326357434246185,112
eTIV,rh,-0.014459337426059819,0.8808227973785347,112
