region,hemisphere,r,p-val,n
bankssts,lh,-0.0066711075893628735,0.947478876212714,103
caudalanteriorcingulate,lh,-0.06289754557585488,0.5341498844378857,103
caudalmiddlefrontal,lh,-0.14315451013980343,0.15535262161278995,103
cuneus,lh,-0.03568588836533037,0.7244748740598843,103
entorhinal,lh,-0.08934175350644215,0.3767207829613982,103
fusiform,lh,0.04729424409738112,0.6403153080071904,103
inferiorparietal,lh,-0.04307241063998071,0.6704675553220419,103
inferiortemporal,lh,0.039267551538070704,0.6980987164828456,103
isthmuscingulate,lh,-0.0066383488819385245,0.9477364186372257,103
lateraloccipital,lh,-0.04735227742132982,0.6399047395500828,103
lateralorbitofrontal,lh,0.06291001834925443,0.5340686465065891,103
lingual,lh,0.013486776038396882,0.894052466891501,103
medialorbitofrontal,lh,0.02583569113356905,0.7986062367010692,103
middletemporal,lh,-0.03963174685734027,0.6954360804721866,103
parahippocampal,lh,-0.009870915727174802,0.9223527599687296,103
paracentral,lh,-0.13099307890098869,0.19392087290593746,103
parsopercularis,lh,-0.16041958164806797,0.1108528915868947,103
parsorbitalis,lh,0.026195446030452398,0.7958625274818194,103
parstriangularis,lh,0.020608965422190317,0.8387284606405502,103
pericalcarine,lh,-0.014146650543865269,0.8889010595654212,103
postcentral,lh,-0.05879004877505357,0.5612323625383202,103
posteriorcingulate,lh,-0.11018032823565868,0.27515087821487283,103
precentral,lh,-0.0022421986125441555,0.9823361905654426,103
precuneus,lh,-0.0926543224154999,0.359211517000676,103
rostralanteriorcingulate,lh,-0.04516997370826393,0.6554176522767886,103
rostralmiddlefrontal,lh,-0.17018030667495684,0.0904975532367785,103
superiorfrontal,lh,-0.2074961452297971,0.038314305628548644,103
superiorparietal,lh,-0.09445113504220111,0.3499283485539585,103
superiortemporal,lh,-0.024555164760855973,0.8083919737794422,103
supramarginal,lh,-0.0032121472436613375,0.9746971769763801,103
frontalpole,lh,0.08344957866945105,0.4091188771065605,103
temporalpole,lh,0.1379035498057528,0.17123554059421509,103
transversetemporal,lh,0.03018396831928237,0.7656171163910069,103
insula,lh,0.018820177143880287,0.852560782425263,103
WhiteSurfArea,lh,-0.08329597490535492,0.40998472023451493,103
BrainSegVolNotVent,lh,-0.10889863064556027,0.280807899361531,103
eTIV,lh,-0.059885133202385483,0.5539484668408874,103
bankssts,rh,-0.014659734518494219,0.8848987727683953,103
caudalanteriorcingulate,rh,-0.040181980837052884,0.6914203269847943,103
caudalmiddlefrontal,rh,-0.07270091153057831,0.4722513394620109,103
cuneus,rh,-0.1470638150917224,0.14426253380532195,103
entorhinal,rh,-0.04006096493217542,0.6923028050403637,103
fusiform,rh,-0.05909622588917286,0.5591912537937322,103
inferiorparietal,rh,-0.06376665876011917,0.5285038997379508,103
inferiortemporal,rh,-0.11482725172072951,0.25528614054002075,103
isthmuscingulate,rh,0.051457471817269805,0.6111432058352557,103
lateraloccipital,rh,-0.07434045693696241,0.46229312866143846,103
lateralorbitofrontal,rh,-0.041457396614421445,0.6821449655334724,103
lingual,rh,-0.1216020495132481,0.2281220516851726,103
medialorbitofrontal,rh,0.04167420927727467,0.6805728572720171,103
middletemporal,rh,-0.10611702820621337,0.2933508638627807,103
parahippocampal,rh,0.054358380856299,0.5911660709272212,103
paracentral,rh,0.11328239907457653,0.2617781182942094,103
parsopercularis,rh,0.05039939952451474,0.6185022280823216,103
parsorbitalis,rh,0.029262417379242622,0.7725759776762062,103
parstriangularis,rh,0.013053005899371166,0.8974411693309857,103
pericalcarine,rh,-0.15175453090735236,0.13175688792718412,103
postcentral,rh,-0.07355680334421691,0.46703839950900417,103
posteriorcingulate,rh,-0.10548997560747779,0.29622875043701113,103
precentral,rh,0.0887786561321961,0.3797478612554954,103
precuneus,rh,-0.11195715947120666,0.2674359920816916,103
rostralanteriorcingulate,rh,-0.10857917967416009,0.28222987709961267,103
rostralmiddlefrontal,rh,-0.13456479294984805,0.18193867273191916,103
superiorfrontal,rh,-0.09910702628626764,0.32657899666756796,103
superiorparietal,rh,-0.1433684815218623,0.15472959527383168,103
superiortemporal,rh,-0.19259722508478852,0.054886645032984474,103
supramarginal,rh,-0.1129220021421001,0.2633086419835275,103
frontalpole,rh,-0.015276774891472644,0.880089414993972,103
temporalpole,rh,0.15241453030773996,0.1300658198124949,103
transversetemporal,rh,-0.16259767130689093,0.10602737659221793,103
insula,rh,-0.13737450894134326,0.17289982094597756,103
WhiteSurfArea,rh,-0.1482643211946622,0.14097976470793272,103
BrainSegVolNotVent,rh,-0.10889863064556027,0.280807899361531,103
eTIV,rh,-0.059885133202385483,0.5539484668408874,103
