region,hemisphere,r,p-val,n
bankssts,lh,0.02067870600061277,0.8381901351893086,103
caudalanteriorcingulate,lh,0.0183227881626138,0.8564151213152712,103
caudalmiddlefrontal,lh,-0.06040773265000011,0.5504885609988402,103
cuneus,lh,0.013823311883739524,0.891424686772614,103
entorhinal,lh,0.11103787407474398,0.27140899338398494,103
fusiform,lh,0.03632420374937086,0.719749477980963,103
inferiorparietal,lh,-0.07613149792017379,0.4515479321856736,103
inferiortemporal,lh,-0.06746233994661607,0.5048346907360136,103
isthmuscingulate,lh,0.027465727307207637,0.7861946669128252,103
lateraloccipital,lh,-0.02766662294812786,0.7846686167914105,103
lateralorbitofrontal,lh,0.10219513372026663,0.3116553381480321,103
lingual,lh,-0.22220679324286566,0.026284090366009004,103
medialorbitofrontal,lh,0.008246980093663975,0.9350965524576202,103
middletemporal,lh,-0.07531682936586964,0.45641813190700176,103
parahippocampal,lh,-0.05308254934507617,0.599915705018095,103
paracentral,lh,0.00797066048714117,0.9372666839738415,103
parsopercularis,lh,-0.06763509541650345,0.5037418874754005,103
parsorbitalis,lh,-0.028810406760067755,0.7759958545452084,103
parstriangularis,lh,-0.032298681497994856,0.749719447563054,103
pericalcarine,lh,-0.138420759684788,0.1696199247193671,103
postcentral,lh,-0.08645893155682526,0.39237266760422573,103
posteriorcingulate,lh,-0.10749017974470831,0.2871134400581987,103
precentral,lh,-0.10720311395100805,0.28841006864783014,103
precuneus,lh,0.012382909260704318,0.902679704146958,103
rostralanteriorcingulate,lh,0.0682309682300742,0.4999820158628161,103
rostralmiddlefrontal,lh,-0.030210386492937016,0.7654178975603854,103
superiorfrontal,lh,-0.11497170547638906,0.2546847828061861,103
superiorparietal,lh,-0.007757382386224772,0.9389420210006758,103
superiortemporal,lh,-0.04593895186560722,0.6499342089117341,103
supramarginal,lh,-0.027719219767162788,0.7842692134359145,103
frontalpole,lh,-0.08131958997568693,0.4212206792575157,103
temporalpole,lh,0.10585866687970308,0.2945343796303883,103
transversetemporal,lh,0.008098141339326194,0.9362654295230621,103
insula,lh,-0.028476848406154533,0.7785222799624688,103
MeanThickness,lh,-0.0824901356581586,0.4145446659674077,103
BrainSegVolNotVent,lh,-0.10889863064556027,0.280807899361531,103
eTIV,lh,-0.059885133202385483,0.5539484668408874,103
bankssts,rh,-0.05615837734236068,0.578920979061905,103
caudalanteriorcingulate,rh,-0.008419368965645553,0.9337429013040583,103
caudalmiddlefrontal,rh,-0.031491671343079945,0.7557743281854078,103
cuneus,rh,-0.021584487138114054,0.8312052973561949,103
entorhinal,rh,0.13581965550284084,0.17786003472464557,103
fusiform,rh,0.007023699604003328,0.944707215617625,103
inferiorparietal,rh,0.02771817795969887,0.7842771240445622,103
inferiortemporal,rh,-0.017296244616950996,0.8643805255778652,103
isthmuscingulate,rh,-0.1615385494174554,0.10835294303392484,103
lateraloccipital,rh,-0.0756434558260922,0.45446203120146167,103
lateralorbitofrontal,rh,0.04854115825443528,0.6315177997069248,103
lingual,rh,-0.032491505077139944,0.748274949354349,103
medialorbitofrontal,rh,-0.10412225430103103,0.302570300742479,103
middletemporal,rh,-0.16225803317801488,0.1067688528205133,103
parahippocampal,rh,-0.09273612844751947,0.3587855870769947,103
paracentral,rh,-0.08414736953421711,0.40519903634386567,103
parsopercularis,rh,-0.10871462544803595,0.2816263789635136,103
parsorbitalis,rh,-0.005877894074300896,0.9537164188249526,103
parstriangularis,rh,0.045592103408888536,0.6524052339604058,103
pericalcarine,rh,-0.10187029686064329,0.313203978643113,103
postcentral,rh,-0.015377468950942677,0.8793049902336141,103
posteriorcingulate,rh,-0.04942227678489786,0.6253318812358348,103
precentral,rh,-0.12167798695367858,0.22782953479296053,103
precuneus,rh,-0.07788559898975742,0.4411605699884432,103
rostralanteriorcingulate,rh,-0.12481291355055706,0.21598249560599084,103
rostralmiddlefrontal,rh,0.12661184174200993,0.2093848803737457,103
superiorfrontal,rh,-0.03334800028376579,0.7418692640639744,103
superiorparietal,rh,-0.014194143177933917,0.888530476857315,103
superiortemporal,rh,-0.2181919325748152,0.029195594716998927,103
supramarginal,rh,-0.008560883592946853,0.9326318251381718,103
frontalpole,rh,-0.05013995155936962,0.6203125245646799,103
temporalpole,rh,-0.010317395373497273,0.9188523220089448,103
transversetemporal,rh,0.023602253135090092,0.815693381358906,103
insula,rh,0.12578599488630404,0.2123956269232942,103
MeanThickness,rh,-0.07223764986213164,0.4750860142896842,103
BrainSegVolNotVent,rh,-0.10889863064556027,0.280807899361531,103
eTIV,rh,-0.059885133202385483,0.5539484668408874,103
