region,hemisphere,r,p-val,n
bankssts,lh,-0.02413166724708635,0.8116349119908717,103
caudalanteriorcingulate,lh,-0.05738839921882931,0.57062139983671,103
caudalmiddlefrontal,lh,-0.17259041174813752,0.08595797716646027,103
cuneus,lh,-0.007220172085750994,0.9431630655497832,103
entorhinal,lh,-0.0837596273149013,0.4073744431211772,103
fusiform,lh,0.04224627403386697,0.6764313865258975,103
inferiorparietal,lh,-0.07772399899982263,0.44211185167404954,103
inferiortemporal,lh,0.029516789847517853,0.7706533215314092,103
isthmuscingulate,lh,0.017647950650204684,0.8616499130690223,103
lateraloccipital,lh,-0.05525601102642074,0.5850449747439533,103
lateralorbitofrontal,lh,0.17746362159165183,0.07733319857235114,103
lingual,lh,-0.18621078494820376,0.06360254761754038,103
medialorbitofrontal,lh,0.047453526082298525,0.639188695410391,103
middletemporal,lh,-0.09479525217428238,0.34816773515333777,103
parahippocampal,lh,-0.06938314777820043,0.49275372600407163,103
paracentral,lh,-0.0373451642890307,0.7122133288398236,103
parsopercularis,lh,-0.20675142484995035,0.0390294391953138,103
parsorbitalis,lh,0.07521547046513391,0.45702609627186097,103
parstriangularis,lh,0.03626920647011834,0.720156206439386,103
pericalcarine,lh,-0.1265075373596728,0.20976344919603002,103
postcentral,lh,-0.14997781990064607,0.13639258567953536,103
posteriorcingulate,lh,-0.21672125957391192,0.030328381209034656,103
precentral,lh,-0.08101114306197647,0.4229901391478086,103
precuneus,lh,-0.038781120584286316,0.7016607280285343,103
rostralanteriorcingulate,lh,-0.009265367752376763,0.9271026615569153,103
rostralmiddlefrontal,lh,-0.16647684979775676,0.09784101041355288,103
superiorfrontal,lh,-0.1364707756662273,0.17577031943441024,103
superiorparietal,lh,-0.007134297506476256,0.943837960169125,103
superiortemporal,lh,-0.11337361517276608,0.26139170618747815,103
supramarginal,lh,-0.03098773832211011,0.7595627956710914,103
frontalpole,lh,0.025202728306874443,0.8034395252503976,103
temporalpole,lh,0.12796952853587104,0.2045015957819223,103
transversetemporal,lh,0.03799041061793746,0.7074646659204796,103
insula,lh,-0.07735427974468675,0.4442925987798281,103
BrainSegVolNotVent,lh,-0.10889863064556027,0.280807899361531,103
eTIV,lh,-0.059885133202385483,0.5539484668408874,103
bankssts,rh,-0.048777924053714505,0.6298530569472629,103
caudalanteriorcingulate,rh,-0.053187603068080805,0.5991930720577734,103
caudalmiddlefrontal,rh,-0.051905190979756884,0.6080408117669683,103
cuneus,rh,-0.1062789315804164,0.2926108116047497,103
entorhinal,rh,0.13701000944273758,0.17405338807732867,103
fusiform,rh,-0.020309970342702675,0.8410372340375962,103
inferiorparietal,rh,-0.04522130730084507,0.6550510272913381,103
inferiortemporal,rh,-0.10539952540692002,0.29664540568178827,103
isthmuscingulate,rh,-0.17323472869507267,0.08477557526101645,103
lateraloccipital,rh,-0.11685904116171918,0.2469169315246969,103
lateralorbitofrontal,rh,0.03709844219654948,0.714031989217347,103
lingual,rh,-0.14035509113562078,0.16367732978717403,103
medialorbitofrontal,rh,0.019182151223194735,0.8497579654403584,103
middletemporal,rh,-0.1653667399527277,0.10013120369494888,103
parahippocampal,rh,-0.03496424820539735,0.7298295822403671,103
paracentral,rh,0.003982121216470162,0.9686346944033477,103
parsopercularis,rh,-0.033361729307183084,0.741766727288957,103
parsorbitalis,rh,0.09212584883303347,0.36197059203145265,103
parstriangularis,rh,0.03259675489945309,0.7474868584569725,103
pericalcarine,rh,-0.15948008102113911,0.1129863158096535,103
postcentral,rh,-0.13111674635079576,0.193496693348723,103
posteriorcingulate,rh,-0.2478674298522417,0.012902741162501112,103
precentral,rh,-0.09327473676042525,0.3559890892325913,103
precuneus,rh,-0.15436629670974938,0.1251619542036927,103
rostralanteriorcingulate,rh,-0.15791294049222,0.11661570970161463,103
rostralmiddlefrontal,rh,-0.014526852821643638,0.8859350367564921,103
superiorfrontal,rh,-0.09053434433758617,0.3703582635953312,103
superiorparietal,rh,-0.09891564149012111,0.32751868667885853,103
superiortemporal,rh,-0.29321651128376514,0.003069747543660778,103
supramarginal,rh,-0.12554720648142023,0.2132718753820107,103
frontalpole,rh,0.02223586671526875,0.8261903203482543,103
temporalpole,rh,0.03580866431670617,0.7235651642654937,103
transversetemporal,rh,-0.10939273669252747,0.27861792521775036,103
insula,rh,-0.09960234445038876,0.324155025288532,103
BrainSegVolNotVent,rh,-0.10889863064556027,0.280807899361531,103
eTIV,rh,-0.059885133202385483,0.5539484668408874,103
