region,NAVR,num,anat,n,timepoint,hemisphere,NAVR_CI_low,NAVR_CI_high
BrainSegVolNotVent,0.024757255942150405,2720.2866665586675,109878.35941572387,109,hc,,0.023851661477097295,0.025697776761841064
WhiteSurfArea,0.04294105576167441,361.3578177278409,8415.205712067253,109,hc,,0.04137031696444357,0.04457237375013498
bankssts,0.16346217518949857,25.796847060795088,157.81539081374206,109,hc,,0.15748290020671976,0.16967205480446415
caudalanteriorcingulate,0.1456537622096327,22.850514649785385,156.88241967205556,109,hc,,0.14032590030201983,0.15118710549067052
caudalmiddlefrontal,0.1418810223127825,51.72559792397573,364.5702369549082,109,hc,,0.13669116327498104,0.1472710403226935
cuneus,0.11845021401623264,30.726997064858995,259.4085398667841,109,hc,,0.11411742937935258,0.12295010255959131
eTIV,0.0008089278669474552,137.4863824601061,169961.23891604872,109,hc,,0.0007793381337134252,0.0008396587969935721
entoinalarea,0.3009769137742123,24.635542711987995,81.85193476490079,109,hc,,0.2899674938344749,0.3124109375736326
frontalpole,0.3857627099463087,14.876899960499877,38.564899034876845,109,hc,,0.3716519144782015,0.4004177210272047
fusiform,0.13738754879293963,49.85529356448367,362.8807268380767,109,hc,,0.13236205630520903,0.14260686107488077
inferiorparietal,0.09009041080961355,66.29623149557729,735.88554985813,109,hc,,0.08679499803954786,0.09351291882984474
inferiortemporal,0.1337711022808293,61.13600639023216,457.01953073458037,109,hc,,0.12887789561476573,0.13885302683103293
insula,0.37786270851759884,93.06286539764268,246.28750945744176,109,hc,,0.36404088681881686,0.39221760088434293
isthmuscingulate,0.1390474804095958,24.336768318052197,175.02487816652803,109,hc,,0.13396126936372116,0.14432985300195164
lateraloccipital,0.08334122041184337,56.490489641188276,677.82172329649,109,hc,,0.08029268595018521,0.0865073286880968
lateralorbitofrontal,0.2872815089444417,94.72864253382947,329.7415238519558,109,hc,,0.2767730525541171,0.2981952483712082
lingual,0.10924774179737032,44.48086605841872,407.15593134108525,109,hc,,0.10525157394571395,0.11339803114707485
medialorbitofrontal,0.2615400792513853,67.96056943465712,259.8476288191962,109,hc,,0.25197321737004247,0.2714759093891944
middletemporal,0.11118423395320122,49.476443715266676,444.9951396534504,109,hc,,0.10711723124884402,0.1154080900662814
paracentral,0.1404293363314731,25.44261466104461,181.17734745245247,109,hc,,0.1352925784448146,0.14576420522097006
parahippocampal,0.2571286771311306,20.897690255381814,81.27327721102226,109,hc,,0.2477231797141113,0.2668969194091292
parsopercularis,0.1472212812557344,37.12812516399618,252.19265073166866,109,hc,,0.1418360811449163,0.15281417412100584
parsorbitalis,0.19150754687128846,21.198046873453173,110.69039951569275,109,hc,,0.18450240159720063,0.19878286184889363
parstriangularis,0.1611042790287761,39.592416387825565,245.7564543071736,109,hc,,0.15521125341536643,0.16722458286704778
pericalcarine,0.13080726017973773,38.74678004697253,296.212763677887,109,hc,,0.1260224677502241,0.13577658924646507
postcentral,0.163450168547738,83.51854868587104,510.9725455038502,109,hc,,0.15747133275532615,0.16965959203393968
posteriorcingulate,0.147632706268029,26.42533215026711,178.9937529309501,109,hc,,0.14223245666162912,0.15324122904764592
precentral,0.15095635457333242,85.01806636846764,563.196339821303,109,hc,,0.14543452939667956,0.15669114176754245
precuneus,0.09611961065513851,51.89456814779649,539.8957381754878,109,hc,,0.09260365607617588,0.09977116619154201
rostralanteriorcingulate,0.2068835225544597,31.720231350402806,153.32410700834245,109,hc,,0.19931594021117452,0.21474296629362355
rostralmiddlefrontal,0.17607561734300523,145.99215311808246,829.1446329771005,109,hc,,0.16963495587110283,0.18276467788905046
superiorfrontal,0.1416905133095043,130.03872388891057,917.7659170791349,109,hc,,0.13650762289129925,0.14707329393881302
superiorparietal,0.15360463344037303,107.95060512796908,702.7822189353022,109,hc,,0.14798593699941232,0.15944002796427334
superiortemporal,0.09857689235557922,42.978841440571045,435.9930650434888,109,hc,,0.09497105298840762,0.10232179929589072
supramarginal,0.11543393787164821,73.52460881652583,636.9410086163598,109,hc,,0.1112114854536534,0.11981923897775024
temporalpole,0.3598363401438047,23.8391019235673,66.24984545485388,109,hc,,0.3466739040999782,0.3735064161157681
transversetemporal,0.191389236395202,11.782098306673381,61.560924368517675,109,hc,,0.18438841879428408,0.19866005679286639
