region,hemisphere,NAVR,num,anat,n,timepoint,NAVR_CI_low,NAVR_CI_high
BrainSegVolNotVent,lh,0.02367518438897832,2726.6544707731664,115169.30242125275,103,hc,0.022784653743980907,0.024601061450734856
BrainSegVolNotVent,rh,0.02367518438897832,2726.6544707731664,115169.30242125275,103,hc,0.022784653743980907,0.024601061450734856
WhiteSurfArea,lh,0.0515476973997363,457.75725798629725,8880.265871752381,103,hc,0.04960875561751774,0.053563598514787446
WhiteSurfArea,rh,0.0388142818104954,340.8151486491876,8780.66352774898,103,hc,0.03735430131581747,0.04033221098926968
bankssts,lh,0.15410547508842795,29.40187411786904,190.79058742720088,103,hc,0.14830887195016396,0.16013215357722962
bankssts,rh,0.1808326718921139,21.291496582823164,117.7414255955131,103,hc,0.17403073813350467,0.18790458399088508
caudalanteriorcingulate,lh,0.16468067214454818,24.51319133984656,148.8528739931918,103,hc,0.15848628806820853,0.1711209200576444
caudalanteriorcingulate,rh,0.13127916066352918,22.88955460972354,174.35786833212526,103,hc,0.12634115833587523,0.1364131592651028
caudalmiddlefrontal,lh,0.10367405259024734,35.57014234071758,343.0958996201493,103,hc,0.09977440309202973,0.10772848467472722
caudalmiddlefrontal,rh,0.1306426647336679,49.916959721239024,382.0877339190934,103,hc,0.12572860389350754,0.13575177157635687
cuneus,lh,0.12312844757840852,30.987655399442417,251.6693421291566,103,hc,0.1184970303933083,0.12794369224090046
cuneus,rh,0.11729817363882862,32.027719277074866,273.04533637233794,103,hc,0.11288605939670117,0.12188541091537061
eTIV,lh,0.00046160702733961083,75.91044004576817,164448.18980175487,103,hc,0.0004442439015857327,0.00047965932003298195
eTIV,rh,0.00046160702733961083,75.91044004576817,164448.18980175487,103,hc,0.0004442439015857327,0.00047965932003298195
entorhinal,lh,0.34387366158766497,29.25772068304093,85.08276134891521,103,hc,0.33093901961740657,0.35732169773282246
entorhinal,rh,0.3145735249517986,22.711532899865823,72.19785232513087,103,hc,0.30274099349304257,0.32687570626551027
frontalpole,lh,0.372240250975698,13.171296898428686,35.38385992354326,103,hc,0.358238613423523,0.38679763326165567
frontalpole,rh,0.401843649531299,16.754502476907305,41.69408300081229,103,hc,0.38672849441673873,0.4175587464615163
fusiform,lh,0.14213393997719032,53.90977068819224,379.2885126300143,103,hc,0.13678764035965338,0.14769244176369486
fusiform,rh,0.13062062531161522,48.19108235164006,368.93930217125325,103,hc,0.1257073934736883,0.1357288702478034
inferiorparietal,lh,0.08524285285165299,57.55706575021401,675.2128046486174,103,hc,0.08203648404437384,0.08857648695719243
inferiorparietal,rh,0.06811981008792886,54.430747499352904,799.0443224826059,103,hc,0.06555751627775075,0.0707838049517233
inferiortemporal,lh,0.13713689243318639,68.21142624699867,497.3966161602468,103,hc,0.13197855434952102,0.14249997222755414
inferiortemporal,rh,0.11806860296769248,54.657005588446246,462.9258262961088,103,hc,0.11362750939784848,0.1226859698023228
insula,lh,0.29266721040047594,77.97018914827497,266.4124520187389,103,hc,0.2816586744006946,0.3041126907137876
insula,rh,0.388923803492741,98.96319326954871,254.4539377142952,103,hc,0.3742946221571787,0.4041336376595521
isthmuscingulate,lh,0.1366164599269529,26.764393990168006,195.90899957793218,103,hc,0.13147769766106532,0.14195918691173753
isthmuscingulate,rh,0.17444329841536507,25.73733031551597,147.53980548013422,103,hc,0.16788169785923038,0.1812653381480367
lateraloccipital,lh,0.0964152171130844,65.87760257693459,683.2697633161728,103,hc,0.09278860521124628,0.10018577435405943
lateraloccipital,rh,0.07908334312170742,55.828995547463364,705.9513842446423,103,hc,0.07610866130290343,0.08217609425556967
lateralorbitofrontal,lh,0.13822373375904723,44.50576671733489,321.98353717544427,103,hc,0.13302451466296705,0.1436293171908461
lateralorbitofrontal,rh,0.31311286349920203,114.33495600994199,365.15572925426414,103,hc,0.30133527411667793,0.3253579220082195
