region,NAVR,num,anat,n,timepoint,hemisphere,NAVR_CI_low,NAVR_CI_high
BrainSegVolNotVent,0.23339041300281702,0.003694697517864012,0.015830545352432352,178,pd,,0.22668892757278308,0.24029348444092957
WhiteSurfArea,0.28804488567996556,0.006948020806715023,0.0241213128652271,178,pd,,0.27977407206879645,0.2965644919382045
bankssts,0.6796526564736266,0.04127447207608906,0.06072877326815934,178,pd,,0.6601373631235656,0.6997549853584201
caudalanteriorcingulate,0.6989484125348041,0.05269725586588322,0.0753950576620834,178,pd,,0.6788790680288205,0.7196214588746505
caudalmiddlefrontal,0.5791466297206024,0.029911178689348665,0.0516469874024454,178,pd,,0.5625172290053339,0.5962762560264403
cuneus,0.6644028382539775,0.027378429886247606,0.04120757514853031,178,pd,,0.6453254225069199,0.684054117829444
eTIV,0.0056665979577228305,9.328435324726913e-05,0.016462144295967703,178,pd,,0.005503889373582825,0.005834200945394614
entoinalarea,0.7419730378775092,0.0988046957461113,0.13316480613467083,178,pd,,0.7206683002970752,0.7639186388973764
frontalpole,0.7715928352600446,0.07142814606312764,0.09257232934136136,178,pd,,0.7494376058447243,0.7944145115851626
fusiform,0.6680757781547082,0.02533248149595248,0.0379185749944764,178,pd,,0.64889289897874,0.6878356935828494
inferiorparietal,0.5849502812461096,0.018904847865195102,0.032318726003383445,178,pd,,0.5681542366415794,0.6022515642218469
inferiortemporal,0.5513283640648229,0.03067674286109214,0.055641510324118376,178,pd,,0.5354977266731308,0.5676351996114538
insula,0.8607327736344569,0.05242930839579284,0.060912410915189515,178,pd,,0.836018013214566,0.8861909736910792
isthmuscingulate,0.6630872189845788,0.034793238219701234,0.052471586276360435,178,pd,,0.6440475794394307,0.6826995860199577
lateraloccipital,0.6172342340745672,0.01632353473190847,0.026446256268307444,178,pd,,0.5995112000675151,0.6354903910308257
lateralorbitofrontal,0.6331470989372616,0.05220191075351806,0.08244831389283634,178,pd,,0.6149671488527434,0.6518739163697536
lingual,0.616683454929141,0.02162280998383105,0.03506306162586376,178,pd,,0.598976235789421,0.6349233212942883
medialorbitofrontal,0.776590229870799,0.04714419932163926,0.060706660357396754,178,pd,,0.7542915071271058,0.7995597159176558
middletemporal,0.5414863286956285,0.02812412759104916,0.051938758377882956,178,pd,,0.5259382918434357,0.557502062853921
paracentral,0.5084636109148292,0.026600190855783457,0.05231483686300445,178,pd,,0.4938637760869648,0.52350262037827
parahippocampal,0.7643848747373957,0.045049993161418625,0.058936269738324616,178,pd,,0.7424366120170708,0.7869933586448357
parsopercularis,0.8055413548265064,0.03657687168037631,0.0454065721905166,178,pd,,0.7824113402590508,0.8293671386158955
parsorbitalis,0.6144223251146451,0.04003937435024742,0.06516588462630564,178,pd,,0.5967800312146224,0.6325953132372825
parstriangularis,0.7184121284290288,0.03307456981500481,0.046038434634072596,178,pd,,0.6977839100310061,0.7396608600317799
pericalcarine,0.6568108660925225,0.04514234034180302,0.06872958818474234,178,pd,,0.6379514434076932,0.6762375952011879
postcentral,0.699855929595048,0.029831099598715032,0.04262462935189527,178,pd,,0.6797605269820561,0.7205558178904725
posteriorcingulate,0.6129163321768529,0.03404899965353535,0.05555244307588582,178,pd,,0.5953172807973799,0.6310447770095534
precentral,0.3660181931766219,0.01773801109110474,0.04846210221726676,178,pd,,0.35550848304268046,0.3768440437445139
precuneus,0.6896740198044714,0.023666145548416426,0.03431497326102843,178,pd,,0.6698709767585824,0.710072754124647
rostralanteriorcingulate,0.5950423420420575,0.060837213059061264,0.10224014118101414,178,pd,,0.5779565177610062,0.6126421214973026
rostralmiddlefrontal,0.5684839630937265,0.03727401001875148,0.06556739053095519,178,pd,,0.5521607262183773,0.5852982159080011
superiorfrontal,0.5608080670472925,0.025536013311543475,0.04553431880178365,178,pd,,0.5447052329933608,0.5773952871481051
superiorparietal,0.772725819425551,0.026161527139587304,0.033856157620093426,178,pd,,0.7505380579247011,0.7955810064271879
superiortemporal,0.5293825126675191,0.01972687237080108,0.037263929009288266,178,pd,,0.514182020282627,0.545040247944706
supramarginal,0.7868003286601489,0.0315122453771214,0.04005113397802458,178,pd,,0.7642084369409365,0.8100718024383194
temporalpole,0.726422427213567,0.07158497229171681,0.09854455150332377,178,pd,,0.7055642040783997,0.7479080822787639
transversetemporal,0.6543568235079945,0.04232023370700145,0.0646745509279226,178,pd,,0.6355678652883217,0.6737109685243863
