region,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,0.2259511761218401,0.003516392266622408,0.015562619885307686,390,hc & pd,,0.22155070553007325,0.23044070590105326
WhiteSurfArea,0.28972629434666936,0.006410996580259203,0.022127769226869633,390,hc & pd,,0.28408378316431276,0.2954830018293029
bankssts,0.7181859918523683,0.03918834900736455,0.05456573847435914,390,hc & pd,,0.7041990925991372,0.7324559658032731
caudalanteriorcingulate,0.6924478440626495,0.048233525927173636,0.06965654719088084,390,hc & pd,,0.6789622033750039,0.706206414696488
caudalmiddlefrontal,0.6138120644254118,0.02828205342128531,0.04607607940674819,390,hc & pd,,0.6018578804077139,0.6260081839118279
cuneus,0.6611568829012067,0.026636914577047557,0.04028834194414305,390,hc & pd,,0.6482806435751403,0.6742937187675362
eTIV,0.00437936508195586,9.560383873559793e-05,0.021830524961143564,390,hc & pd,,0.004294075562403345,0.0044663807385545455
entoinalarea,0.757567245143924,0.09147726111059873,0.12075134147757366,390,hc & pd,,0.7428133835320506,0.7726197036670703
frontalpole,0.7827629784504464,0.06870043689317552,0.08776658935655664,390,hc & pd,,0.7675184219665375,0.7983160628031647
fusiform,0.6013122727257455,0.023484894198574868,0.03905606997195976,390,hc & pd,,0.5896015261033367,0.6132600279945779
inferiorparietal,0.49665644961022376,0.018065995428948458,0.03637523572507044,390,hc & pd,,0.4869839082310073,0.5065247492970598
inferiortemporal,0.4989002165092373,0.028068182343819782,0.056260112573633426,390,hc & pd,,0.4891839770602725,0.5088130986518217
insula,0.8618794151934877,0.05159441407729807,0.05986268283912475,390,hc & pd,,0.8450940410905309,0.8790045010948572
isthmuscingulate,0.6867108629368684,0.034294398764517495,0.04994008485296131,390,hc & pd,,0.6733369517704533,0.700355442804874
lateraloccipital,0.5010071115113519,0.01601813722449682,0.03197187596035526,390,hc & pd,,0.49124983961610436,0.510961856537839
lateralorbitofrontal,0.6833326249000364,0.049749730859620846,0.07280455966360255,390,hc & pd,,0.6700245059874533,0.696910080973743
lingual,0.5713181961972655,0.021272310640571387,0.03723373556480679,390,hc & pd,,0.5601915936981854,0.5826699851069673
medialorbitofrontal,0.7780119967565008,0.04637376082582831,0.059605457266929764,390,hc & pd,,0.7628599671431534,0.7934706816280499
middletemporal,0.5318774296998857,0.024345468460943955,0.04577270457721998,390,hc & pd,,0.5215189485979471,0.5424455515415768
paracentral,0.5217120494129192,0.024472855164828566,0.04690874054445894,390,hc & pd,,0.511551542305959,0.5320781905510853
parahippocampal,0.7947081871297006,0.044973215371793725,0.05659085447983922,390,hc & pd,,0.7792309939301624,0.8104986164301411
parsopercularis,0.7481033647322933,0.03132155140159735,0.04186794616651093,390,hc & pd,,0.7335338151835398,0.762967780981599
parsorbitalis,0.670831210932277,0.038744710735858036,0.05775627326882002,390,hc & pd,,0.657766561009167,0.6841602705547951
parstriangularis,0.6822568498563111,0.030511809759892223,0.04472188116003271,390,hc & pd,,0.6689696820028218,0.6958129308516603
pericalcarine,0.658210204915787,0.040324748996951314,0.06126424156871066,390,hc & pd,,0.6453913530751092,0.67128849185667
postcentral,0.5966668984524597,0.02449279705590651,0.04104936459426869,390,hc & pd,,0.5850466219627061,0.6085223526034423
posteriorcingulate,0.6355800760915824,0.031970254136433944,0.05030090674495477,390,hc & pd,,0.6232019531645046,0.6482087144003693
precentral,0.38713903974923125,0.01583986638551306,0.04091518746281261,390,hc & pd,,0.37959938455211595,0.3948312867093132
precuneus,0.5900667160026439,0.01933016839614714,0.03275929292724338,390,hc & pd,,0.5785749801528163,0.6017910280362662
rostralanteriorcingulate,0.6142665820877105,0.057215743314433326,0.0931448087570936,390,hc & pd,,0.602303546194839,0.6264717325985057
rostralmiddlefrontal,0.5292843398360397,0.03077039224352733,0.05813584481464027,390,hc & pd,,0.5189763599790316,0.5398009383603322
superiorfrontal,0.5623099143848841,0.021310098303984153,0.037897425883545846,390,hc & pd,,0.5513587510221613,0.5734827135227671
superiorparietal,0.6002863046577274,0.02169598002880388,0.03614272033271614,390,hc & pd,,0.5885955390878136,0.6122136744863379
superiortemporal,0.5460575692446079,0.01755719130623982,0.03215263791788047,390,hc & pd,,0.5354229254418384,0.5569074429224793
supramarginal,0.6495287451600279,0.02552141868039335,0.039292208190271086,390,hc & pd,,0.6368789674928266,0.6624345361096553
temporalpole,0.7130603436185762,0.07107378760470938,0.09967429578825032,390,hc & pd,,0.6991732679852247,0.7272284736632958
transversetemporal,0.6918765548675053,0.040645410378511715,0.05874662191190353,390,hc & pd,,0.6784020402175541,0.7056237742886696
