region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.2259511761218401,0.003516392266622408,0.015562619885307686,390,hc & pd,0.22155070553007325,0.23044070590105326
BrainSegVolNotVent,rh,0.2259511761218401,0.003516392266622408,0.015562619885307686,390,hc & pd,0.22155070553007325,0.23044070590105326
WhiteSurfArea,lh,0.30373486850150727,0.006687378222102868,0.022017156789062176,390,hc & pd,0.29781953590853005,0.30976991890720906
WhiteSurfArea,rh,0.2753033951230814,0.006122150506050523,0.022237831477935316,390,hc & pd,0.26994177446305245,0.28077352726373944
bankssts,lh,0.6955203002699123,0.04330774642734568,0.06226668928360414,390,hc & pd,0.6819748225262416,0.7093399189756157
bankssts,rh,0.758673214213216,0.034581678606319104,0.0455817840388396,390,hc & pd,0.7438978135040546,0.7737476477539599
caudalanteriorcingulate,lh,0.7356941591805468,0.054696822546447456,0.07434722957073837,390,hc & pd,0.7213662828332118,0.7503120111108825
caudalanteriorcingulate,rh,0.6306699659754583,0.04075786611265487,0.0646262995093077,390,hc & pd,0.618387468995274,0.6432010430059022
caudalmiddlefrontal,lh,0.6390621296022266,0.026273508634708183,0.04111260457736978,390,hc & pd,0.6266161925821419,0.6517599544636006
caudalmiddlefrontal,rh,0.5965261456119033,0.03015711915072106,0.050554563907314665,390,hc & pd,0.5849086103282201,0.6083788030787526
cuneus,lh,0.6381353063689204,0.026781946432503312,0.041969071708155996,390,hc & pd,0.625707419524329,0.6508147157452439
cuneus,rh,0.6874664272966741,0.02649108872161317,0.03853437443597667,390,hc & pd,0.6740778012754721,0.7011260198269357
eTIV,lh,0.00437936508195586,9.560383873559793e-05,0.021830524961143564,390,hc & pd,0.004294075562403345,0.0044663807385545455
eTIV,rh,0.00437936508195586,9.560383873559793e-05,0.021830524961143564,390,hc & pd,0.004294075562403345,0.0044663807385545455
entorhinal,lh,0.7701913518379035,0.09417773112850925,0.1222783544683713,390,hc & pd,0.7551916317569234,0.7854946446514987
entorhinal,rh,0.7440525165807369,0.08869460840479279,0.11920476905633659,390,hc & pd,0.7295618585804523,0.7588364446302481
frontalpole,lh,0.7915072343379755,0.06605616524011747,0.08345617370808682,390,hc & pd,0.7760923807060705,0.8072340624077123
frontalpole,rh,0.7754735918295115,0.07124663565668683,0.09187499923575794,390,hc & pd,0.76037099845466,0.790881839944293
fusiform,lh,0.6207349628618035,0.02386901383487858,0.03845282650881166,390,hc & pd,0.6086459532083113,0.6330686366607136
fusiform,rh,0.5824541473627107,0.02309438653844015,0.03965013665540718,390,hc & pd,0.5711106686939378,0.594027201703446
inferiorparietal,lh,0.5441458354057082,0.01966899944711761,0.03614655882177736,390,hc & pd,0.5335484232238656,0.554957723948264
inferiorparietal,rh,0.4454932527539186,0.016306159646797908,0.03660248397926937,390,hc & pd,0.4368171308092509,0.45434496691184256
inferiortemporal,lh,0.49692512149183715,0.0301485760335058,0.06067025942056552,390,hc & pd,0.4872473476427829,0.5067987595461649
inferiortemporal,rh,0.5016312366072558,0.0258207103566837,0.051473489831534575,390,hc & pd,0.49186180967844195,0.5115983826676835
insula,lh,0.8120331808027869,0.04368083285287875,0.053791931026384035,390,hc & pd,0.79621857787399,0.8281678485194862
insula,rh,0.894053542292942,0.05844614588865766,0.0653720869320234,390,hc & pd,0.8766415668925414,0.9118179109996168
isthmuscingulate,lh,0.6918526473669648,0.03318576109695158,0.04796651602512342,390,hc & pd,0.6783785983231453,0.7055993917587999
isthmuscingulate,rh,0.6822777263109878,0.03536830266856939,0.051838571456527704,390,hc & pd,0.6689901518819434,0.6958342221103959
lateraloccipital,lh,0.5245849830665008,0.016396340411383978,0.0312558325927249,390,hc & pd,0.5143685246683295,0.535008207869434
lateraloccipital,rh,0.4784119584952982,0.015630785693612398,0.03267223031542598,390,hc & pd,0.4690947343487289,0.48791774984040787
lateralorbitofrontal,lh,0.4729793707379882,0.026932678033077657,0.05694260616706113,390,hc & pd,0.4637679479555611,0.482377219451715
lateralorbitofrontal,rh,0.7577082377921127,0.06499770992255033,0.08578197607029754,390,hc & pd,0.7429516303038395,0.7727634977642427
lingual,lh,0.603464965454846,0.021410060603988562,0.03547854776929973,390,hc & pd,0.591712294460942,0.6154554935840754
lingual,rh,0.5431445856932705,0.021133662837082224,0.038909828789156,390,hc & pd,0.5325666731661332,0.5539365799361925
medialorbitofrontal,lh,0.8320127512025716,0.0507050978860937,0.06094269326137821,390,hc & pd,0.8158090398234916,0.8485444023642137
medialorbitofrontal,rh,0.7142096698285639,0.041593802839172,0.05823752407210619,390,hc & pd,0.7003002107039016,0.7284006363742229
middletemporal,lh,0.5481240145684629,0.029042771121120713,0.05298576663163725,390,hc & pd,0.5374491260896834,0.5590149474166285
middletemporal,rh,0.49726160033901273,0.018491109073601568,0.037185877737181156,390,hc & pd,0.4875772734580284,0.5071419240491994
paracentral,lh,0.5266117352473596,0.024414422156903436,0.04636133326089954,390,hc & pd,0.5163558052096875,0.5370752305389321
paracentral,rh,0.5169912601447377,0.024531148986173784,0.047449833057731004,390,hc & pd,0.5069226919013016,0.5272636017091877
parahippocampal,lh,0.760495727021465,0.04207772042026417,0.05532933180974536,390,hc & pd,0.7456848322991566,0.7756063729230652
parahippocampal,rh,0.8247878793613079,0.04769324528682831,0.05782486197998035,390,hc & pd,0.8087248746455543,0.8411759761593965
parsopercularis,lh,0.8169424984118208,0.03408470064060676,0.04172227630080356,390,hc & pd,0.8010322849704565,0.8331747116601684
parsopercularis,rh,0.6733562838317181,0.02828979226940401,0.04201311096173576,390,hc & pd,0.6602424573155635,0.6867355153107022
parsorbitalis,lh,0.7058233002063043,0.038526452056576684,0.054583706779467084,390,hc & pd,0.6920771682814728,0.7198476340448235
parsorbitalis,rh,0.6412039850971721,0.03896174677735746,0.06076341957146905,390,hc & pd,0.6287163347641537,0.6539443674888602
parstriangularis,lh,0.7425350722244377,0.030675617596218903,0.04131201170649476,390,hc & pd,0.7280739669327477,0.7572888494610927
parstriangularis,rh,0.6336894898979787,0.03034711773362099,0.04788957086617729,390,hc & pd,0.6213481867347496,0.6462805632639225
pericalcarine,lh,0.6638991880671439,0.03902674086680881,0.058784137062179706,390,hc & pd,0.6509695414809628,0.6770905120796183
pericalcarine,rh,0.6533182991007876,0.04158225896520302,0.06364777937865186,390,hc & pd,0.6405947186724834,0.6662993864731157
postcentral,lh,0.7160327197128848,0.028269875013003595,0.03948126144897298,390,hc & pd,0.7020877561153493,0.7302599092908163
postcentral,rh,0.4702850212711304,0.02001520377095372,0.04255973051587897,390,hc & pd,0.46112607179641674,0.4796293346929651
posteriorcingulate,lh,0.6190755995987346,0.031116706462182692,0.05026317703742736,390,hc & pd,0.6070189065694154,0.631376302731539
posteriorcingulate,rh,0.6516191031485984,0.032801598711689355,0.05033860817338426,390,hc & pd,0.6389286150986814,0.6645664284004585
precentral,lh,0.37520832936125403,0.014455554824409283,0.03852674286047456,390,hc & pd,0.3679010285209617,0.3826635194469557
precentral,rh,0.3963837640685029,0.017112558807504816,0.04317169460186929,390,hc & pd,0.38866406494245487,0.4042596987873492
precuneus,lh,0.7216976920720009,0.023119642480215273,0.03203507886222909,390,hc & pd,0.7076424013467322,0.7360374416398434
