region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,0.024741189945977675,0.02614665932859913
BrainSegVolNotVent,rh,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,0.024741189945977675,0.02614665932859913
WhiteSurfArea,lh,0.04624440834505628,384.4918641193472,8314.342812009421,198,hc & pd,0.04498464358789454,0.04754008006402908
WhiteSurfArea,rh,0.046405131487687,387.437263774902,8349.017691668507,198,hc & pd,0.04514098839900384,0.04770530633337161
bankssts,lh,0.1625170271542639,29.33760021414135,180.52016288910826,198,hc & pd,0.15808982761653803,0.16707041476307788
bankssts,rh,0.17616855248516716,22.129180670341977,125.61368279509014,198,hc & pd,0.17136946559697397,0.18110442731622242
caudalanteriorcingulate,lh,0.16078114688896147,22.427887894319326,139.49326975387515,198,hc & pd,0.15640123524741895,0.16528589875893124
caudalanteriorcingulate,rh,0.13532538062649332,22.158536637619957,163.7426514895896,198,hc & pd,0.13163892097950816,0.13911691510194132
caudalmiddlefrontal,lh,0.11995349457675379,43.10170810591202,359.32015368116544,198,hc & pd,0.11668578740146368,0.12331434091638853
caudalmiddlefrontal,rh,0.14011229409937498,51.32327074201448,366.3009807377312,198,hc & pd,0.1362954319863506,0.14403794789064822
cuneus,lh,0.1279474329970771,29.708415792835016,232.19235507064602,198,hc & pd,0.12446195934464442,0.1315322527922081
cuneus,rh,0.12718358626105503,31.520840653342287,247.83733168714954,198,hc & pd,0.12371892090161064,0.13074700466629022
eTIV,lh,0.0006775018545617861,114.82821427547877,169487.675203119,198,hc & pd,0.000659045721380878,0.0006964840412503345
eTIV,rh,0.0006775018545617861,114.82821427547877,169487.675203119,198,hc & pd,0.000659045721380878,0.0006964840412503345
entorhinal,lh,0.32137996242585765,28.616420159053835,89.0423284110491,198,hc & pd,0.31262510611326,0.33038435762219576
entorhinal,rh,0.3186988986766939,23.43320517759158,73.52772562092706,198,hc & pd,0.31001707842929355,0.3276281760674233
frontalpole,lh,0.3773811419886781,13.101480073212343,34.71683827170517,198,hc & pd,0.3671007323195249,0.3879545732519772
frontalpole,rh,0.3955354638838704,16.524254030090777,41.77692151251023,198,hc & pd,0.3847605041548897,0.4066175413229669
fusiform,lh,0.1458844731994507,53.13683147650845,364.2391154530935,198,hc & pd,0.14191036855565278,0.14997185139123978
fusiform,rh,0.1441965272391274,53.58353346201665,371.60072082149895,198,hc & pd,0.1402684046915203,0.1482366127111648
inferiorparietal,lh,0.09004987822348304,57.65579279561111,640.2650834521145,198,hc & pd,0.08759678893047713,0.09257288770044576
inferiorparietal,rh,0.09139529202978262,68.60637241294963,750.6554319077304,198,hc & pd,0.08890555171327723,0.09395599719107826
inferiortemporal,lh,0.15422950875324368,69.64737584379588,451.5826861332144,198,hc & pd,0.150028073237149,0.15855069740877997
inferiortemporal,rh,0.13430413106731318,60.68253378658399,451.82924236462935,198,hc & pd,0.13064549173956147,0.13806705226346544
