region,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,,0.024741189945977675,0.02614665932859913
WhiteSurfArea,0.04632517406618043,385.96737357926617,8331.698290606977,198,hc & pd,,0.045063209133631,0.04762310867194253
bankssts,0.167093257999427,25.9845667990196,155.5093671050971,198,hc & pd,,0.1625413952960194,0.17177486203694578
caudalanteriorcingulate,0.1465702037127784,22.293619057040754,152.10198589017267,198,hc & pd,,0.1425774187751998,0.1506767946410853
caudalmiddlefrontal,0.13061615417239206,47.39111394188451,362.8273565560349,198,hc & pd,,0.12705798068437565,0.13427574595999572
cuneus,0.12754121040567623,30.628037518043534,240.14228358523113,198,hc & pd,,0.12406680284582694,0.13111464869238013
eTIV,0.0006775018545617861,114.82821427547876,169487.675203119,198,hc & pd,,0.000659045721380878,0.0006964840412503345
entoinalarea,0.3202956890795297,26.153533294897343,81.65434061900034,198,hc & pd,,0.31157036994553844,0.32926970520171056
frontalpole,0.3882223014683648,14.91140086242321,38.40943914356322,198,hc & pd,,0.3776465628907439,0.3990994793735042
fusiform,0.14502606986317157,53.36064991001289,367.93832971104655,198,hc & pd,,0.14107534937129979,0.1490893973866509
inferiorparietal,0.09083112459876055,63.3680707397455,697.6471008111926,198,hc & pd,,0.08835675302135626,0.09337602296716382
inferiortemporal,0.14460498421266116,65.31893626157299,451.7059810712518,198,hc & pd,,0.1406657347046606,0.1486565137958455
insula,0.3436668874498444,91.10165497103517,265.08708955654265,198,hc & pd,,0.33430490297417825,0.353295715728794
isthmuscingulate,0.13483299654968053,24.15849423749013,179.17345794943228,198,hc & pd,,0.13115995015911175,0.13861073545186833
lateraloccipital,0.08765605546172127,57.85630073359802,660.0376942453613,198,hc & pd,,0.0852681773727956,0.09011199502550649
lateralorbitofrontal,0.28373754766492104,93.52774742120404,329.62767244205315,198,hc & pd,,0.27600812532774505,0.2916872810332675
lingual,0.11703017010956487,46.96632077872704,401.3180595632449,198,hc & pd,,0.113842098532811,0.12030911100434548
medialorbitofrontal,0.2599153388401163,65.45612168146586,251.83631706218918,198,hc & pd,,0.2528348680235503,0.2671976236809034
middletemporal,0.12136456515858153,54.775734692572684,451.3321876200004,198,hc & pd,,0.1180584183739966,0.12476494674824491
paracentral,0.14197810653686543,26.614160137293826,187.4525642471736,198,hc & pd,,0.13811041698683102,0.14595603649502412
parahippocampal,0.26011381360183355,21.13389704968311,81.24865326081297,198,hc & pd,,0.25302793604488655,0.2674016592908375
parsopercularis,0.14581382065457943,34.73891034556053,238.2415479521249,198,hc & pd,,0.14184164068857974,0.14989921930965178
parsorbitalis,0.18424691138366692,20.615781121156463,111.89213955520346,198,hc & pd,,0.17922775828206045,0.1894091249556657
parstriangularis,0.15205418079378066,36.178414890134476,237.93107628655383,198,hc & pd,,0.14791200436644225,0.1563144213040723
pericalcarine,0.15308243308839206,42.52852226336116,277.81451735095277,198,hc & pd,,0.1489122455771501,0.15737148307999776
postcentral,0.15000154565312485,75.17698203967507,501.1747159827281,198,hc & pd,,0.14591528598420217,0.15420427561465408
posteriorcingulate,0.15012401607281878,27.317351558902924,181.96523296880386,198,hc & pd,,0.14603442013203002,0.15433017739967167
precentral,0.13616626347298655,75.95764922326438,557.8301650197907,198,hc & pd,,0.1324568969576291,0.13998135772922018
precuneus,0.10193534897240629,50.85765442866995,498.92068788067843,198,hc & pd,,0.09915848221726813,0.1047913645114458
rostralanteriorcingulate,0.19287839250930228,30.54225911871275,158.34982198557952,198,hc & pd,,0.18762410534255547,0.1982824421515971
rostralmiddlefrontal,0.1694708683087456,137.60927043352243,811.9936588914087,198,hc & pd,,0.16485423605197722,0.17421908802039163
superiorfrontal,0.128137965420571,119.35672572550311,931.4704298117555,198,hc & pd,,0.12464730138857019,0.13172812353619312
superiorparietal,0.14199835586036805,93.57354334833653,658.9762450513911,198,hc & pd,,0.1381301146893914,0.1459768531622712
superiortemporal,0.11194948891791633,48.34194746805185,431.81927792003734,198,hc & pd,,0.10889982246594762,0.11508607973906171
supramarginal,0.11500764241883786,71.4542688229509,621.3001790152941,198,hc & pd,,0.11187466742989523,0.1182299163127097
temporalpole,0.37687652164227103,25.21576594850635,66.90723486468866,198,hc & pd,,0.36660985856326567,0.387435814497597
transversetemporal,0.19786750688774726,12.008402264319969,60.68910683315218,198,hc & pd,,0.19247730900901736,0.20341134109285103
