region,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
3rd-Ventricle,0.04269858605135309,27.810826380155696,651.3289771869246,198,hc & pd,0.04153541463640552,0.04389491123674772
4th-Ventricle,0.0689969367538333,43.07544017365169,624.309457785581,198,hc & pd,0.06711736012208061,0.07093008678963116
5th-Ventricle,0.8326280869813893,0.3187449894482552,0.3828179645054175,198,hc & pd,0.8099460902310884,0.8559565866493829
Accumbensarea,0.20956013522283,35.37244426728401,168.79376523436432,198,hc & pd,0.20385141318902347,0.2154315724484154
Amygdala,0.16722063888057276,71.46079917823423,427.3443736168882,198,hc & pd,0.1626653061372069,0.1719058118642873
Brain-Stem,0.08237897394945275,213.08390010964297,2586.6296931592033,198,hc & pd,0.08013485121490899,0.08468706071289196
BrainSegVol,0.024332179404274956,2747.264181017734,112906.62194176749,198,hc & pd,0.023669335545408305,0.02501391624216147
BrainSegVol-to-eTIV,0.05223422473088308,0.0017622622575734158,0.0337376933735075,198,hc & pd,0.050811288687618354,0.05369771859248223
BrainSegVolNotVent,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,0.024741189945977675,0.02614665932859913
CC_Anterior,0.2098065334018322,33.43131650346159,159.3435436037267,198,hc & pd,0.20409109912424864,0.21568487418967655
CC_Central,0.2595298037301629,31.208986336108836,120.25203228126084,198,hc & pd,0.2524598354491801,0.2668012866825376
CC_Mid_Anterior,0.25217952684372796,31.08619810817194,123.27011037432713,198,hc & pd,0.2453097907661247,0.25924507039220085
CC_Mid_Posterior,0.27343850938979136,29.514418674819087,107.93804698790896,198,hc & pd,0.26598964779316714,0.2810996852199781
CC_Posterior,0.283278922690593,48.563619311069885,171.433931087463,198,hc & pd,0.2755619939629168,0.2912158063452094
CSF,0.14106665985892908,43.32776606517941,307.1439141502924,198,hc & pd,0.1372237994383827,0.14501905298515033
Caudate,0.09442912379017503,80.2582783197474,849.931409912097,198,hc & pd,0.09185673749618446,0.09707483057983472
CerebellumCortex,0.044901017656395155,530.6876541450034,11819.056267412208,198,hc & pd,0.04367784881007407,0.04615905037456504
CerebellumWhiteMatter,0.16587341173632925,666.2989403950464,4016.9122550767133,198,hc & pd,0.1613547794144186,0.17052083822976966
CerebralWhiteMatterVol,0.03412366986512027,3714.0690624547833,108841.43109856841,198,hc & pd,0.03319409160432074,0.03507974381165887
CortexVol,0.027475267443125628,2460.196809333233,89542.23337137268,198,hc & pd,0.02672680130728105,0.028245067042066273
EstimatedTotalIntraCranialVol,0.0006775018545617861,114.82821427547877,169487.675203119,198,hc & pd,0.000659045721380878,0.0006964840412503345
Hippocampus,0.11011794306654002,93.78883201119051,851.712531122358,198,hc & pd,0.10711817058007463,0.11320321779896127
InfLatVent,0.07217343281204047,45.796021277831166,634.5274084038185,198,hc & pd,0.07020732382040691,0.07419558163180671
LateralVentricle,0.00751753149922829,115.35959108274683,15345.408408942356,198,hc & pd,0.007312743037606778,0.007728157027991889
MaskVol,0.015748548843840502,2388.8593065283153,151687.58278719976,198,hc & pd,0.015319535531314654,0.01618979028430986
MaskVol-to-eTIV,0.035282529172200185,0.0015248774972922417,0.04321905297236241,198,hc & pd,0.03432138190304239,0.036271071935709005
Optic-Chiasm,0.41533421424477346,14.393034383768377,34.654102383402424,198,hc & pd,0.4040199078394464,0.42697101131012655
Pallidum,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,0.15546101154184627,0.16429226389432044
Putamen,0.1261276039195501,136.13779021331558,1079.3655471339202,198,hc & pd,0.12269170505070685,0.12966143590548432
SubCortGrayVol,0.06564287214922464,349.7809343958331,5328.544028370408,198,hc & pd,0.06385466510210588,0.06748204830131806
SupraTentorialVol,0.025871062674084545,2662.8859605577395,102929.12951060162,198,hc & pd,0.025166297402920288,0.026595915806520987
SupraTentorialVolNotVent,0.02716622342050397,2661.2648954716,97962.26933269585,198,hc & pd,0.026426176092079423,0.027927364251512272
SurfaceHoles,0.3396417826253236,14.940759475551895,43.98975697296295,198,hc & pd,0.3303894478431723,0.3491578358753849
Thalamus,0.12321992848181335,210.87775498988185,1711.3932590945008,198,hc & pd,0.1198632389092464,0.12667229347600845
TotalGrayVol,0.023753862810053063,1360.4454667609493,57272.59930899257,198,hc & pd,0.023106773134015317,0.024419396425051417
VentralDC,0.126108959739657,109.40729707875639,867.5616491058207,198,hc & pd,0.12267356876531593,0.12964226935461762
WM-hypointensities,0.09672887020512017,178.07119606970963,1840.9312100110083,198,hc & pd,0.09409383548318692,0.09943901108524157
WMhypointensities,,0.0,0.0,198,hc & pd,,
choroidplexus,0.15550185762077554,68.65012191148344,441.47460976898043,198,hc & pd,0.15126576147608828,0.15985869483369042
non-WM-hypointensities,0.8894595964481599,0.6506782069365232,0.7315432983519972,198,hc & pd,0.8652294269503922,0.9143803962924947
nonWMhypointensities,,0.0,0.0,198,hc & pd,,
vessel,0.2120475970582302,12.378478274724419,58.37594222454299,198,hc & pd,0.20627111295616146,0.2179887277682279
