region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,0.024741189945977675,0.02614665932859913
BrainSegVolNotVent,rh,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,0.024741189945977675,0.02614665932859913
MeanThickness,lh,0.10331137975613143,0.00858279795859018,0.0830769851186776,198,hc & pd,0.1004970279266212,0.1062059488032536
MeanThickness,rh,0.0932746888094485,0.007751874149158886,0.0831080140615129,198,hc & pd,0.0907337509987492,0.09588805074252015
bankssts,lh,0.17081869710064151,0.02290824558139962,0.134108537122858,198,hc & pd,0.16616534803266322,0.17560468015947206
bankssts,rh,0.15244787842933075,0.02161025631345399,0.14175504792919577,198,hc & pd,0.14829497710737277,0.15671914952495072
caudalanteriorcingulate,lh,0.21852084768749544,0.04046552102232704,0.18517922409030918,198,hc & pd,0.21256802284934948,0.2246433453577444
caudalanteriorcingulate,rh,0.22446418818764727,0.035854904657998864,0.15973552372650612,198,hc & pd,0.2183494581339337,0.2307532058432924
caudalmiddlefrontal,lh,0.17304238892590973,0.019427729523458837,0.11227150551982418,198,hc & pd,0.16832846326732273,0.17789067518447446
caudalmiddlefrontal,rh,0.16494048379367654,0.020274763173857825,0.12292169094895741,198,hc & pd,0.16044726578206164,0.16956177159501573
cuneus,lh,0.19701805198183017,0.025356830288284105,0.1287030809269326,198,hc & pd,0.19165099448680434,0.20253808623494995
cuneus,rh,0.2032276300375505,0.025097973370140216,0.12349685604020894,198,hc & pd,0.19769141462978693,0.20892164369621308
eTIV,lh,0.0006775018545617861,114.82821427547877,169487.675203119,198,hc & pd,0.000659045721380878,0.0006964840412503345
eTIV,rh,0.0006775018545617861,114.82821427547877,169487.675203119,198,hc & pd,0.000659045721380878,0.0006964840412503345
entorhinal,lh,0.32328111688352745,0.0904751915152451,0.2798653765720617,198,hc & pd,0.31447447036602927,0.33233877845632825
entorhinal,rh,0.2930034707560335,0.08699793685985327,0.2969177690468085,198,hc & pd,0.28502163123436985,0.3012128159332229
frontalpole,lh,0.3122952330720796,0.06998337337227,0.22409363307866248,198,hc & pd,0.30378785796375746,0.3210450931295879
frontalpole,rh,0.3029653322417012,0.06854547909207948,0.22624858951648938,198,hc & pd,0.29471211716427886,0.3114537879677594
fusiform,lh,0.2094702334566952,0.023499111557210923,0.11218353638809024,198,hc & pd,0.20376396047739354,0.21533915182259494
fusiform,rh,0.21644113577658286,0.023988041244881228,0.11082940014527745,198,hc & pd,0.21054496530734715,0.22250536426352918
inferiorparietal,lh,0.14342782051247374,0.015396849292727652,0.10734911286885661,198,hc & pd,0.13952063865104875,0.14744636842783018
inferiorparietal,rh,0.14767114386815702,0.014622236156272072,0.0990189130608145,198,hc & pd,0.14364836772391962,0.15180858083979443
inferiortemporal,lh,0.17207009391995462,0.023139519570798486,0.13447728796825537,198,hc & pd,0.16738265498756652,0.1768911385035407
