region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,0.024741189945977675,0.02614665932859913
BrainSegVolNotVent,rh,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,0.024741189945977675,0.02614665932859913
bankssts,lh,0.17418075836464395,81.50348956448927,467.92476005795857,198,hc & pd,0.16943582187143133,0.17906093935687042
bankssts,rh,0.17874030885644498,62.112330128578776,347.50040730020334,198,hc & pd,0.17387116359456975,0.18374823892871966
caudalanteriorcingulate,lh,0.14791802375330743,59.082949209859926,399.4303581853989,198,hc & pd,0.14388852224291887,0.15206237778360382
caudalanteriorcingulate,rh,0.12314426917143392,58.06105941202434,471.48811554677616,198,hc & pd,0.11978964066821952,0.12659451434980168
caudalmiddlefrontal,lh,0.12516354011714387,126.47532084646706,1010.4805339326089,198,hc & pd,0.12175390374457616,0.12867036104922822
caudalmiddlefrontal,rh,0.13322420212858346,135.3976447317759,1016.3141724136182,198,hc & pd,0.12959498163147393,0.13695686597180406
cuneus,lh,0.11708193465417795,64.51694482371408,551.0409869317261,198,hc & pd,0.11389245293614846,0.12036232588336439
cuneus,rh,0.12240490137138638,76.52914269368031,625.2130579435271,198,hc & pd,0.11907041431943956,0.12583443100850875
eTIV,lh,0.0006775018545617861,114.82821427547877,169487.675203119,198,hc & pd,0.000659045721380878,0.0006964840412503345
eTIV,rh,0.0006775018545617861,114.82821427547877,169487.675203119,198,hc & pd,0.000659045721380878,0.0006964840412503345
entorhinal,lh,0.36378052121666576,135.59204688304243,372.7303661822083,198,hc & pd,0.35387061218396265,0.3739728914971259
entorhinal,rh,0.3389892195252126,123.55064292637803,364.4677641944565,198,hc & pd,0.3297546615083993,0.34848698932038896
frontalpole,lh,0.3591808000050567,56.61336750232563,157.6180227382104,198,hc & pd,0.3493961940496882,0.3692442957058148
frontalpole,rh,0.37789689503667884,69.8161404919627,184.74917737862418,198,hc & pd,0.36760243550643923,0.38848477662299385
fusiform,lh,0.15708145749346797,197.54387595998244,1257.588763894663,198,hc & pd,0.15280233075716437,0.16148255179509008
fusiform,rh,0.15677666985186206,200.1480391892401,1276.6442824583503,198,hc & pd,0.15250584597298608,0.16116922464045647
inferiorparietal,lh,0.0916726387815729,156.10730204368966,1702.8778064919054,198,hc & pd,0.08917534313727929,0.09424111461948662
inferiorparietal,rh,0.09310635250843761,185.31370296920437,1990.3443532750423,198,hc & pd,0.09057000042273629,0.09571499801000323
inferiortemporal,lh,0.13173393770643846,211.06583778240352,1602.2130777928437,198,hc & pd,0.12814531417369837,0.1354248474536577
inferiortemporal,rh,0.11430401160450292,176.71507059998075,1546.0093492730853,198,hc & pd,0.11119020453950339,0.1175065712328158
insula,lh,0.2065107121011975,154.73237218105652,749.2704402918926,198,hc & pd,0.20088506077617035,0.21229671086104668
insula,rh,0.27780510486484544,206.1979497364716,742.2395993651328,198,hc & pd,0.2702372908740807,0.285588623578587
