region,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,0.02543405036807457,2748.4335500323227,108061.18216555167,198,hc & pd,,0.024741189945977675,0.02614665932859913
bankssts,0.1758150850997655,72.45950719260505,412.13475596527,198,hc & pd,,0.17102562717582703,0.1807410565130621
caudalanteriorcingulate,0.1340533529498975,58.574232847650286,436.9471673680734,198,hc & pd,,0.13040154518179795,0.13780924786706597
caudalmiddlefrontal,0.12927990803642211,131.01245929706263,1013.4015508438666,198,hc & pd,,0.12575813583126844,0.13290206099866458
cuneus,0.12010677008066255,70.77833655440007,589.2951455348106,198,hc & pd,,0.11683488745833201,0.12347191087972996
eTIV,0.0006775018545617861,114.82821427547876,169487.675203119,198,hc & pd,,0.000659045721380878,0.0006964840412503345
entoinalvolume,0.3518809870027521,129.71114937709584,368.622216511179,198,hc & pd,,0.34229523854136557,0.3617399571922245
frontalpole,0.3701281472549493,63.558503967395474,171.72026618017654,198,hc & pd,,0.3600453196822358,0.38049836475704657
fusiform,0.15692684600850765,198.85022066946584,1267.1523434472476,198,hc & pd,,0.15265193111330608,0.16132360841929885
inferiorparietal,0.09250312970513604,171.33396957334273,1852.1964621033767,198,hc & pd,,0.08998321028352342,0.09509487416386322
inferiortemporal,0.12363718497903338,194.6496905416806,1574.3620382063023,198,hc & pd,,0.12026912873428473,0.12710124062864722
insula,0.2444348836246064,182.2905667832286,745.7633054665936,198,hc & pd,,0.23777612286128205,0.25128343844835227
isthmuscingulate,0.13269711271759888,57.67433997077462,434.6314609988164,198,hc & pd,,0.1290822509005459,0.13641500861659395
lateraloccipital,0.09186909523228906,162.94829774786766,1773.7009092759251,198,hc & pd,,0.08936644782933346,0.0944430753695616
lateralorbitofrontal,0.2133435874117637,180.6547635616443,846.7785029459153,198,hc & pd,,0.20753179865273363,0.21932102906419157
lingual,0.10100673559789357,97.31936655388333,963.4938301670336,198,hc & pd,,0.0982551656179571,0.10383673333001817
medialorbitofrontal,0.22087592070466874,150.049271123084,679.3373883598365,198,hc & pd,,0.21485894026168856,0.22706440260119864
middletemporal,0.11043401172642248,177.65909144733564,1608.7352860769874,198,hc & pd,,0.10742562907122939,0.1135281420424379
paracentral,0.14976072521495806,76.83961239758457,513.0825340708877,198,hc & pd,,0.14568102584406198,0.15395670789087482
parahippocampal,0.2274263021126989,67.66558340217112,297.5275189086973,198,hc & pd,,0.22123087977935588,0.23379831201277773
parsopercularis,0.14872292322234854,100.05361868656531,672.7518295009568,198,hc & pd,,0.14467149508298052,0.1528898288543623
parsorbitalis,0.19247098563217704,67.02155326011628,348.21639760393947,198,hc & pd,,0.18722779681967447,0.19786362058483267
parstriangularis,0.14889558421923546,100.50582573272062,675.0087738312961,198,hc & pd,,0.14483945254388117,0.15306732745169957
pericalcarine,0.1382401803474026,68.05761742115492,492.31429856445243,198,hc & pd,,0.1344743173283343,0.14211338142212185
postcentral,0.12085040537460472,148.93510044747393,1232.392228936378,198,hc & pd,,0.11755826504828325,0.1242363812811818
posteriorcingulate,0.13856894530788738,65.3599918555192,471.6784970131319,198,hc & pd,,0.134794126254448,0.1424513576900216
precentral,0.13341208184879655,203.1934841398513,1523.0515956578954,198,hc & pd,,0.1297777432356038,0.13715000968930374
precuneus,0.11085079546973682,133.55269050899403,1204.7968617911724,198,hc & pd,,0.10783105902086414,0.11395660319559411
rostralanteriorcingulate,0.15679426523133322,76.18363674294834,485.8828008189426,198,hc & pd,,0.15252296202879975,0.16118731300570432
rostralmiddlefrontal,0.16746310675567747,356.3046802485973,2127.660755562315,198,hc & pd,,0.16290116883571337,0.17215507318274603
superiorfrontal,0.12371051649643461,316.17142742968014,2555.7360552996506,198,hc & pd,,0.1203404625947904,0.12717662674197922
superiorparietal,0.14775681730576515,244.25843525551622,1653.1111031584583,198,hc & pd,,0.14373170729282478,0.15189665466815572
superiortemporal,0.11417196247485371,158.1614697970417,1385.2916808001494,198,hc & pd,,0.1110617526196726,0.11737082236239955
supramarginal,0.11816748992677166,195.39217444340454,1653.5188702450139,198,hc & pd,,0.11494843610860499,0.12147829614701143
temporalpole,0.38792659148695424,157.5422645405039,406.11359983503985,198,hc & pd,,0.3773589084781308,0.3987954842161417
transversetemporal,0.16468613372882396,28.8136021254488,174.9607053918331,198,hc & pd,,0.1601998445818902,0.16930029517267384
