region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.026074479757217925,2865.9142126726388,109912.61338126211,192,hc & pd,0.02535328525651805,0.026816552916512314
BrainSegVolNotVent,rh,0.026074479757217925,2865.9142126726388,109912.61338126211,192,hc & pd,0.02535328525651805,0.026816552916512314
WhiteSurfArea,lh,0.05340989918327739,453.90155409658814,8498.453676892625,192,hc & pd,0.051932633829085556,0.054929931528833895
WhiteSurfArea,rh,0.04517324894618121,380.03678377266687,8412.872499506013,192,hc & pd,0.043923801247815766,0.04645886829019919
bankssts,lh,0.17089729191557215,30.28385594817383,177.20500780746642,192,hc & pd,0.16617044067015493,0.1757609860144559
bankssts,rh,0.17422381949220112,21.534032769262993,123.59982023139456,192,hc & pd,0.16940495976120606,0.17918218573224562
caudalanteriorcingulate,lh,0.17140197165249565,24.93186902237211,145.45847274685707,192,hc & pd,0.1666611614612328,0.1762800288102131
caudalanteriorcingulate,rh,0.1323987812229992,22.01858862852721,166.30507037252337,192,hc & pd,0.12873676097153242,0.1361668173557884
caudalmiddlefrontal,lh,0.12004069594437948,43.25805282967998,360.36156312958633,192,hc & pd,0.11672048819406733,0.12345702406723241
caudalmiddlefrontal,rh,0.12948007802321024,46.86374266533311,361.93786241720096,192,hc & pd,0.12589878623560782,0.13316504859439757
cuneus,lh,0.13194581753518245,30.771848476389035,233.21579305220445,192,hc & pd,0.12829632581443656,0.13570096243493485
cuneus,rh,0.1297065898981993,32.28053017230554,248.87347819136278,192,hc & pd,0.12611903301460622,0.13339800694058207
eTIV,lh,0.0005930866312332113,98.74687557490188,166496.54599291246,192,hc & pd,0.0005766824375209435,0.0006099657281230606
eTIV,rh,0.0005930866312332113,98.74687557490188,166496.54599291246,192,hc & pd,0.0005766824375209435,0.0006099657281230606
entorhinal,lh,0.3561813175188414,30.168513100454714,84.69987508218718,192,hc & pd,0.3463296921043203,0.36631814855186245
entorhinal,rh,0.33907813077227866,24.630342385473266,72.63913579261397,192,hc & pd,0.32969956270505324,0.3487282093967685
frontalpole,lh,0.38466157439695087,13.665382112082733,35.525727084922615,192,hc & pd,0.3740222130494309,0.39560894640320854
frontalpole,rh,0.40667850374607584,16.930423703938178,41.63097765922068,192,hc & pd,0.39543017575696865,0.41825247204388727
fusiform,lh,0.14818933481688482,54.91367460527337,370.5642830040996,192,hc & pd,0.14409056336190593,0.1524067661476426
fusiform,rh,0.13243831272646792,49.73357406645008,375.52255871129637,192,hc & pd,0.12877519907244156,0.13620747391593874
inferiorparietal,lh,0.0940611754121423,61.05247644287405,649.0720127126204,192,hc & pd,0.09145953568363248,0.09673813289144581
inferiorparietal,rh,0.07369759376723296,54.86400801071683,744.4477520392285,192,hc & pd,0.0716591907066684,0.07579500881629472
inferiortemporal,lh,0.15282332297982762,70.29342564637581,459.96530029421234,192,hc & pd,0.14859637996359265,0.1571726364523664
inferiortemporal,rh,0.12893132847487973,58.08841776848595,450.5376502019335,192,hc & pd,0.12536521456082272,0.13260068177144518
insula,lh,0.28349014354108604,77.05886299047383,271.8220183175636,192,hc & pd,0.27564908460422066,0.29155820198003224
insula,rh,0.36257579564141756,97.48916569488435,268.87940912442974,192,hc & pd,0.3525473052424447,0.37289461191926965
isthmuscingulate,lh,0.14036999857155055,27.970713994214627,199.26418949101267,192,hc & pd,0.1364875022772562,0.14436489355239115
isthmuscingulate,rh,0.1673922873982513,24.581602883467806,146.8502716913384,192,hc & pd,0.162762381135298,0.17215622994697077
lateraloccipital,lh,0.0932079487935878,61.30865271261388,657.762063280504,192,hc & pd,0.09062990847533973,0.09586062365715668
lateraloccipital,rh,0.08351972798052838,56.1093149517883,671.8091199347477,192,hc & pd,0.08120965433455918,0.08589667850774886
lateralorbitofrontal,lh,0.15996973532682543,49.00265740439295,306.32455135515664,192,hc & pd,0.15554512956401306,0.16452243390377802
lateralorbitofrontal,rh,0.3391217648426023,119.97316316496656,353.776063947562,192,hc & pd,0.3297419898998475,0.3487730852817983
lingual,lh,0.12546755327669903,51.178005326181555,407.8983290071536,192,hc & pd,0.12199724398263247,0.12903832839919036
lingual,rh,0.12429098075179706,51.40051825851166,413.5498645807289,192,hc & pd,0.12085321429818349,0.12782827091509372
medialorbitofrontal,lh,0.29255137891809985,71.09008183689848,243.000330744639,192,hc & pd,0.2844596951103148,0.3008773178450151
