region,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,0.026074479757217925,2865.9142126726388,109912.61338126211,192,hc & pd,,0.02535328525651805,0.026816552916512314
WhiteSurfArea,0.049504837524587626,418.60158733070443,8455.77136017863,192,hc & pd,,0.04813558234046875,0.05091373279399591
bankssts,0.17199307822496968,26.275715959773922,152.7719384462953,192,hc & pd,,0.1672359186064751,0.17688795812760089
caudalanteriorcingulate,0.15054981446228696,23.5203777408126,156.22986866386674,192,hc & pd,,0.14638575445869162,0.15483442445218668
caudalmiddlefrontal,0.12487021150276484,45.09694840683761,361.1505727756302,192,hc & pd,,0.12141642409547841,0.12842398642807143
cuneus,0.13075832614072794,31.535212753832617,241.1717378508885,192,hc & pd,,0.12714167926564277,0.1344796753329946
eTIV,0.0005930866312332113,98.74687557490188,166496.54599291246,192,hc & pd,,0.0005766824375209435,0.0006099657281230606
entoinalarea,0.3490354426488294,27.53899915318228,78.90029432022394,192,hc & pd,,0.33938146511480016,0.35896890387389696
frontalpole,0.39755002733856293,15.384763811383367,38.69893787802797,192,hc & pd,,0.3865541840412373,0.40886420148552877
fusiform,0.1404301211857815,52.38768962302557,373.05165858056534,192,hc & pd,,0.1365459619590277,0.1444267272411556
inferiorparietal,0.08310655555286438,58.040779865572496,698.3899101515831,192,hc & pd,,0.08080790985044177,0.0854717472963398
inferiortemporal,0.14162917192413738,64.48034571847734,455.2758788494207,192,hc & pd,,0.13771184813162374,0.14565990266302775
insula,0.325016731360925,87.86980651301455,270.3547172635761,192,hc & pd,,0.3160270877908338,0.33426662608213314
isthmuscingulate,0.15043533168518433,26.330742884190208,175.0303109597451,192,hc & pd,,0.14627443816276292,0.15471668352393855
lateraloccipital,0.08839426471817502,58.76651309119366,664.8226927228515,192,hc & pd,,0.0859493661736313,0.09090994333932806
lateralorbitofrontal,0.27693211574167587,91.63738405394383,330.9019750508959,192,hc & pd,,0.269272445412691,0.28481353435297596
lingual,0.12487255809957301,51.28938246075038,410.7338172719452,192,hc & pd,,0.12141870578772361,0.12842639980843668
medialorbitofrontal,0.2638849239526388,66.29116705963325,251.2124075399282,192,hc & pd,,0.25658612613407195,0.271395022755415
middletemporal,0.12294236110821899,55.166834378860415,448.72112330997345,192,hc & pd,,0.1195418961493827,0.12644126989444063
paracentral,0.13556703650750052,25.7733252583324,190.1149860785401,192,hc & pd,,0.13181738542660698,0.13942524039168158
parahippocampal,0.25643166298547204,20.820373597290928,81.19267860642658,192,hc & pd,,0.24933901504494116,0.2637296438490046
parsopercularis,0.14216251285458836,33.760519312694534,237.47835230815488,192,hc & pd,,0.1382304373757661,0.14620842234269735
parsorbitalis,0.1918565082644018,21.456272243559543,111.83499813303268,192,hc & pd,,0.18654994568013913,0.1973166964079272
parstriangularis,0.12923217650205526,30.712593531681883,237.6543857960439,192,hc & pd,,0.12565774142704833,0.13291009185807778
pericalcarine,0.15511951898714418,43.32672440973265,279.31187959217067,192,hc & pd,,0.1508290654445852,0.1595341816225953
postcentral,0.13019968924791467,63.65950231958246,488.93743669670124,192,hc & pd,,0.12659849372061233,0.13390513977421337
posteriorcingulate,0.14693031028059741,27.13484120778662,184.6783087571677,192,hc & pd,,0.14286636220772514,0.15111191008858
precentral,0.1041317189605401,58.02277894588094,557.2056192394962,192,hc & pd,,0.10125153788839512,0.1070952815854248
precuneus,0.0987303671754517,48.43841674070442,490.61315303958617,192,hc & pd,,0.09599958218867533,0.10154020868218018
rostralanteriorcingulate,0.19494905462733678,31.37498850750632,160.93942372525234,192,hc & pd,,0.18955695524805943,0.2004972558653199
rostralmiddlefrontal,0.13463780274272696,113.9358515711239,846.2396834330292,192,hc & pd,,0.13091385335510822,0.13846956086684037
superiorfrontal,0.12255194518645394,114.10402201738933,931.0665925684679,192,hc & pd,,0.11916227874856167,0.12603974283338534
superiorparietal,0.1128275771482043,74.24472211557689,658.0370153482334,192,hc & pd,,0.10970687717933719,0.11603862171781733
superiortemporal,0.11122010259729127,47.81751871598782,429.93593423597866,192,hc & pd,,0.10814386379570068,0.11438539884403888
supramarginal,0.09923130423347247,61.99568604460334,624.7593591911201,192,hc & pd,,0.096486663819673,0.10205540228333104
temporalpole,0.3474487738775285,24.647794506577288,70.93936246056617,192,hc & pd,,0.33783868204334633,0.35733707890700417
transversetemporal,0.19600027502371417,11.720340704004673,59.79757274619448,192,hc & pd,,0.19057909992074262,0.201578393730729
