region,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
3rd-Ventricle,0.04862691627360907,33.205805603859126,682.8688337343873,192,hc & pd,0.04728194352903064,0.05001082612423272
4th-Ventricle,0.0649075715682805,41.54027654072765,639.9912296368803,192,hc & pd,0.06311229188850591,0.06675482478845136
5th-Ventricle,0.8384403775558538,0.4666341563767443,0.5565501958970945,192,hc & pd,0.8152499401976311,0.8623021805772783
Accumbensarea,0.2093835453731906,35.895910841546154,171.4361593102638,192,hc & pd,0.20359220215690316,0.2153425486003339
Amygdala,0.15202235435181333,70.45894328687143,463.47751675923837,192,hc & pd,0.14781756534114762,0.15634887245793175
Brain-Stem,0.07646946653636413,199.2620256774565,2605.772404371356,192,hc & pd,0.0743543961974358,0.07864576838976882
BrainSegVol,0.02493766350051125,2854.705831085795,114473.66875518512,192,hc & pd,0.024247912220933213,0.02564738315404037
BrainSegVol-to-eTIV,0.05548500903964576,0.0018274471281856848,0.032935871505038725,192,hc & pd,0.05395034818492254,0.057064098491665605
BrainSegVolNotVent,0.026074479757217925,2865.9142126726388,109912.61338126211,192,hc & pd,0.02535328525651805,0.026816552916512314
CC_Anterior,0.21471890816670178,34.77187745087017,161.941385357056,192,hc & pd,0.20877999405574085,0.22082975448183867
CC_Central,0.24731908476757183,30.468340238533273,123.19445653442853,192,hc & pd,0.24047848179051248,0.2543577239387509
CC_Mid_Anterior,0.26665113709315236,30.76838044317825,115.38814639455137,192,hc & pd,0.2592758285359906,0.27423996162865943
CC_Mid_Posterior,0.26732968058627843,30.245370724135366,113.13884286175968,192,hc & pd,0.25993560418253703,0.2749378162995482
CC_Posterior,0.3269883811240914,57.51043666571112,175.8791442925491,192,hc & pd,0.3179442036580321,0.33629438850343873
CSF,0.15263011505525473,45.76345802826889,299.83242829700896,192,hc & pd,0.1484085159804518,0.15697392987868053
Caudate,0.09573446690465931,83.36477553451381,870.7916618738337,192,hc & pd,0.09308654557691116,0.09845904584049173
CerebellumCortex,0.05233721900474734,613.8874967696148,11729.46343813054,192,hc & pd,0.050889622930747044,0.053826723141250164
CerebellumWhiteMatter,0.18533865625557822,745.6746853486926,4023.3090085665804,192,hc & pd,0.18021237105628765,0.19061334796438908
CerebralWhiteMatterVol,0.03420928139234805,3813.407185514295,111472.88192868266,192,hc & pd,0.03326308626812025,0.035182868967493564
CortexVol,0.029082923557068385,2663.7429544562638,91591.30612262196,192,hc & pd,0.028278518455646315,0.029910616272952266
EstimatedTotalIntraCranialVol,0.0005930866312332113,98.74687557490188,166496.54599291246,192,hc & pd,0.0005766824375209435,0.0006099657281230606
Hippocampus,0.09881536862794917,87.69505145902271,887.4636878520821,192,hc & pd,0.09608223258448198,0.10162762925471329
InfLatVent,0.06790819698815385,46.32631118157702,682.1902691608547,192,hc & pd,0.06602992295636831,0.06984084725577944
LateralVentricle,0.008632921381418659,139.98491486236094,16215.242636595985,192,hc & pd,0.008394143254943096,0.008878612160414013
MaskVol,0.016722639441014524,2641.133373025789,157937.59007612482,192,hc & pd,0.016260107658430906,0.01719856156859981
MaskVol-to-eTIV,0.047477218633262576,0.0017692817879128423,0.03726591065874449,192,hc & pd,0.046164045396225845,0.04882840837717081
Optic-Chiasm,0.36711895673714273,14.054020871061448,38.28192637059636,192,hc & pd,0.3569648069643861,0.3775670702412052
Pallidum,0.15852691026964083,78.68117494996126,496.3269315987503,192,hc & pd,0.15414221163082104,0.16303854640705623
Putamen,0.12913921297045883,145.11603360212635,1123.717810138136,192,hc & pd,0.12556734917543053,0.13281448260766998
SubCortGrayVol,0.0631358677041982,340.2289098736057,5388.8371577885555,192,hc & pd,0.06138959161320244,0.06493269867640879
SupraTentorialVol,0.026815591084572064,2799.112140020808,104383.75686714711,192,hc & pd,0.02607389817244957,0.027578756086511037
SupraTentorialVolNotVent,0.028168298510631178,2808.031462951062,99687.64928741667,192,hc & pd,0.02738919103968284,0.028969961226910118
SurfaceHoles,0.3417805733852859,17.217999861504506,50.37735085690439,192,hc & pd,0.33232725840962335,0.3515075628492754
Thalamus,0.12943203837845205,213.76542944873907,1651.565038508479,192,hc & pd,0.1258520753202409,0.1331156417533889
TotalGrayVol,0.025857790582894724,1502.6193855470667,58110.89623956772,192,hc & pd,0.025142589491932578,0.026593696822592938
VentralDC,0.12765075417512162,112.60422940070357,882.1274118461062,192,hc & pd,0.12412005968846344,0.13128366264804414
WM-hypointensities,0.3141220144670864,721.389696831825,2296.527029650168,192,hc & pd,0.30543370806589276,0.3230618482758504
WMhypointensities,,0.0,0.0,192,hc & pd,,
choroidplexus,0.15746851007218415,67.89480807205382,431.16435178646566,192,hc & pd,0.15311308574330468,0.1619500244052285
non-WM-hypointensities,0.8854075967941761,0.8492462249789666,0.9591585028791936,192,hc & pd,0.8609180922812782,0.9106060751045412
nonWMhypointensities,,0.0,0.0,192,hc & pd,,
vessel,0.21311814364154757,12.537391795299618,58.82836431039296,192,hc & pd,0.20722350510514098,0.2191834325994705
