region,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,0.026074479757217925,2865.9142126726388,109912.61338126211,192,hc & pd,,0.02535328525651805,0.026816552916512314
MeanThickness,0.09901893996738144,0.008404627788809538,0.08487899175226647,192,hc & pd,,0.09628017334060576,0.10183699418344824
bankssts,0.15160304642929476,0.02182237718108028,0.14394418644652954,192,hc & pd,,0.14740985506393725,0.1559176311370222
caudalanteriorcingulate,0.21644146493729188,0.038779917111229696,0.17917046127212796,192,hc & pd,,0.21045490659788765,0.22260133478642516
caudalmiddlefrontal,0.15363605395912375,0.018056099256278026,0.1175251432914439,192,hc & pd,,0.14938663160223561,0.15800849755165258
cuneus,0.1986327029191853,0.025333623664623446,0.12754004397216784,192,hc & pd,,0.19313871744609784,0.20428573986438536
eTIV,0.0005930866312332113,98.74687557490188,166496.54599291246,192,hc & pd,,0.0005766824375209435,0.0006099657281230606
entoinalthickness,0.3099782450237784,0.0877171467646917,0.2829783966225208,192,hc & pd,,0.3014045512155304,0.31880014819266717
frontalpole,0.32168113577654367,0.07458906956704987,0.23187268779995632,192,hc & pd,,0.31278375150421844,0.33083610028336297
fusiform,0.20295293178419366,0.022496724387632016,0.11084700373559275,192,hc & pd,,0.19733945302386827,0.20872892136018759
inferiorparietal,0.13814130453314066,0.01512850550073924,0.10951471431276262,192,hc & pd,,0.1343204517270083,0.14207277144018718
inferiortemporal,0.17978502454669115,0.02337514405892809,0.1300171920206704,192,hc & pd,,0.1748123473458978,0.18490166128887778
insula,0.295660035951456,0.041119650692545084,0.13907747308566404,192,hc & pd,,0.28748236974333574,0.30407444647847165
isthmuscingulate,0.22457571592123346,0.03213319086440381,0.14308399611502984,192,hc & pd,,0.21836417218877235,0.230967084514823
lateraloccipital,0.14459891820814733,0.016986821461514947,0.11747543945704177,192,hc & pd,,0.14059945415019237,0.14871416718202446
lateralorbitofrontal,0.25078315532702533,0.02845768767803824,0.11347527564572249,192,hc & pd,,0.24384673956057282,0.2579203810781863
lingual,0.24246752367212696,0.02785258081422295,0.11487138727859564,192,hc & pd,,0.23576111010994463,0.24936808863039253
medialorbitofrontal,0.25386844445571,0.030502392849599224,0.12015039094360815,192,hc & pd,,0.24684669262221437,0.2610934767622607
middletemporal,0.15096615274662,0.019028324135115675,0.1260436448099238,192,hc & pd,,0.146790577234992,0.15526261161975216
paracentral,0.1910208464435551,0.02709088928129311,0.1418216377200392,192,hc & pd,,0.1857373974445011,0.1964572518610867
parahippocampal,0.14062265138812738,0.029679556629619137,0.2110581498545472,192,hc & pd,,0.13673316696507273,0.14462473680480975
parsopercularis,0.16566985465170272,0.019970801302086907,0.12054577668383105,192,hc & pd,,0.16108758918680957,0.17038477719611897
parsorbitalis,0.23729742247889277,0.037916531135288915,0.15978484190514766,192,hc & pd,,0.2307340088378341,0.24405084765289195
parstriangularis,0.20549541440766755,0.024003172783736263,0.11680636695920668,192,hc & pd,,0.1998116130751088,0.2113437624019471
pericalcarine,0.2645259550418559,0.039471951762758556,0.14921768926800744,192,hc & pd,,0.2572094269329582,0.2720542974287807
postcentral,0.1800918880410917,0.020142368182356065,0.11184494982783548,192,hc & pd,,0.17511072329743313,0.18521725804142508
posteriorcingulate,0.2106427897025883,0.02575483104420187,0.12226780266519327,192,hc & pd,,0.2048166170249327,0.2166376307077636
precentral,0.16938401306593492,0.023083734144442102,0.13628047728126774,192,hc & pd,,0.16469901762721242,0.1742046396280049
precuneus,0.13093615008615328,0.014082681814318371,0.10755381004445494,192,hc & pd,,0.1273145847753897,0.1346625601033418
rostralanteriorcingulate,0.27492390911645154,0.047664387903325875,0.17337301821623785,192,hc & pd,,0.2673197838103345,0.28274817467047986
rostralmiddlefrontal,0.16925222128213485,0.017649266459842255,0.10427790150193553,192,hc & pd,,0.16457087107471127,0.1740690970830666
superiorfrontal,0.1314025090154273,0.01526210217566744,0.11614772267305486,192,hc & pd,,0.12776804467472042,0.13514219149086748
superiorparietal,0.11155429679136884,0.012396861032597668,0.11112849427738794,192,hc & pd,,0.10846881450660317,0.11472910412112658
superiortemporal,0.10810217199407314,0.015370429016166913,0.1421842756037281,192,hc & pd,,0.10511217209065202,0.1111787327172462
supramarginal,0.13818122936297927,0.015411986729033258,0.11153458975638807,192,hc & pd,,0.13435927227526626,0.14211383252067733
temporalpole,0.33700114711729867,0.09391248048254618,0.2786711003385945,192,hc & pd,,0.32768002637803384,0.3465921153074863
transversetemporal,0.19295340279109977,0.03506418450864657,0.181723587153364,192,hc & pd,,0.18761650118155768,0.1984448082779593
