region,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,0.026074479757217925,2865.9142126726388,109912.61338126211,192,hc & pd,,0.02535328525651805,0.026816552916512314
bankssts,0.1827513561462355,74.28174206038548,406.46342455016367,192,hc & pd,,0.17769663312681938,0.18795241394234477
caudalanteriorcingulate,0.1374697894634817,61.93255727516042,450.51758293128506,192,hc & pd,,0.13366751010463895,0.14138214521993592
caudalmiddlefrontal,0.11896211937536962,121.57026580230706,1021.9241758690241,192,hc & pd,,0.11567174399361846,0.12234775147937352
cuneus,0.12799740462973175,74.6820016482707,583.4649684054864,192,hc & pd,,0.12445712213196626,0.1316401786877175
eTIV,0.0005930866312332113,98.74687557490188,166496.54599291246,192,hc & pd,,0.0005766824375209435,0.0006099657281230606
entoinalvolume,0.379657491615265,133.3330033249121,351.19286796539313,192,hc & pd,,0.36915653828266237,0.39046244867964264
frontalpole,0.36308672002626347,67.62077668218966,186.23863929063114,192,hc & pd,,0.3530440979606167,0.3734200770840641
fusiform,0.15229885763293693,192.61115752938014,1264.6920700718706,192,hc & pd,,0.1480864208130866,0.1566332449531409
inferiorparietal,0.08332529343356129,156.77909666866813,1881.5306878417969,192,hc & pd,,0.08102059765619482,0.08569671040230285
inferiortemporal,0.125699209180149,196.70076147107633,1564.8528161316403,192,hc & pd,,0.12222249251131684,0.1292765771715966
insula,0.2333294634053911,175.81421977701714,753.502010466437,192,hc & pd,,0.22687579961512358,0.2399699614585794
isthmuscingulate,0.1458060903289028,62.4595889868822,428.37434873940236,192,hc & pd,,0.14177323707572734,0.14995569511880394
lateraloccipital,0.09607893300529123,170.3307832693981,1772.8213453413111,192,hc & pd,,0.09342148408352141,0.09881331536002005
lateralorbitofrontal,0.20827917737825846,175.2366794770279,841.354770471262,192,hc & pd,,0.20251837989604166,0.21420675056903465
lingual,0.10842881849653532,104.57098801510449,964.4206168164222,192,hc & pd,,0.10542978387167615,0.11151467549730669
medialorbitofrontal,0.22140585022488096,149.63314388329024,675.8319336698128,192,hc & pd,,0.2152819818642567,0.22770700523516096
middletemporal,0.11254766504299188,179.46592611919542,1594.5770714180658,192,hc & pd,,0.10943470716803569,0.1157507433842401
paracentral,0.13715312050116865,71.18125991312961,518.9911804633208,192,hc & pd,,0.133359599894803,0.14105646393831672
parahippocampal,0.22058940017038137,66.65172441721566,302.1528884240786,192,hc & pd,,0.21448811401637768,0.22686731921672307
parsopercularis,0.15004901668249337,103.74453177202236,691.4042761876127,192,hc & pd,,0.14589880825362214,0.15431937409308644
parsorbitalis,0.2046619534498538,74.03558547527444,361.745718866182,192,hc & pd,,0.1990012048287938,0.21048658135414988
parstriangularis,0.1269041729576986,84.27324096430732,664.0698962074194,192,hc & pd,,0.12339412817425004,0.13051583391627603
pericalcarine,0.14678723048167167,71.04770207087124,484.01827487127696,192,hc & pd,,0.14272723985551,0.15096475827443442
postcentral,0.09764873076002412,120.63467179240608,1235.3941608198768,192,hc & pd,,0.09494786277415539,0.10042778916544137
posteriorcingulate,0.14106690662889557,67.94591793789438,481.65738911848103,192,hc & pd,,0.13716513454221224,0.1450816354383942
precentral,0.10410874786199256,159.0720670010923,1527.9414099952444,192,hc & pd,,0.10122920214787205,0.10707165673516944
precuneus,0.10553462313745084,129.18287592669668,1224.0805158175037,192,hc & pd,,0.10261563911365285,0.10853811206362479
rostralanteriorcingulate,0.16346800504553047,79.84245602719851,488.4286439108382,192,hc & pd,,0.1589466405781692,0.16812026350196654
rostralmiddlefrontal,0.12865088032765465,278.4759993815814,2164.586815670009,192,hc & pd,,0.12509252333390414,0.13231225214023395
superiorfrontal,0.1138166818669141,292.5467315288365,2570.3326325301905,192,hc & pd,,0.11066862423298937,0.1170558761089394
superiorparietal,0.11757703245659884,198.98488692450735,1692.3788835881578,192,hc & pd,,0.11432496721864001,0.12092324533401491
superiortemporal,0.1124578335394182,157.47917970088244,1400.339796210671,192,hc & pd,,0.1093473603156217,0.11565835529858763
supramarginal,0.10541561551199913,176.07657542291153,1670.308279923379,192,hc & pd,,0.10249992312223627,0.10841571751097756
temporalpole,0.3686959165216596,157.7596855899374,427.8856329038555,192,hc & pd,,0.3584981495900945,0.3791889099059833
transversetemporal,0.15970647307217603,28.678917282114384,179.5726668458425,192,hc & pd,,0.15528914888476086,0.16425167927133816
