region,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
3rd-Ventricle,0.40026210204105916,0.025280264539851882,0.06315927591180895,390,hc & pd,0.39246687105681904,0.40821509727413025
4th-Ventricle,0.4418529063488977,0.030345234340494565,0.06867723150503222,390,hc & pd,0.4332476813014008,0.4506322887585541
5th-Ventricle,,1.71280579859589,,390,hc & pd,,
Accumbensarea,0.4951221874454985,0.05252901428052989,0.10609303241194805,390,hc & pd,0.48547952630701285,0.5049600021585633
Amygdala,0.5238447731322471,0.02897874004714443,0.05531932651321617,390,hc & pd,0.5136427305565704,0.5342532903571994
Brain-Stem,0.42764684469794384,0.01328770857307005,0.03107168622384071,390,hc & pd,0.41931828719249215,0.43614396021294644
BrainSegVol,0.23089371980793758,0.00340635468023566,0.014752911785860351,390,hc & pd,0.22639699161524782,0.2354814553032911
BrainSegVol-to-eTIV,0.1639922843869211,0.0034070737656566293,0.020775817462351017,390,hc & pd,0.16079848280063425,0.16725072391776588
BrainSegVolNotVent,0.2259511761218401,0.003516392266622408,0.015562619885307686,390,hc & pd,0.22155070553007325,0.23044070590105326
CC_Anterior,0.8272891248246738,0.055007764146289356,0.06649158377120826,390,hc & pd,0.8111774075627266,0.8437269200407376
CC_Central,0.6789315102001462,0.08434300055652033,0.12422902647670067,390,hc & pd,0.6657091043878012,0.6924215184639053
CC_Mid_Anterior,0.664023666368263,0.07789519244173956,0.1173078557090756,390,hc & pd,0.6510915955278125,0.6772174636984221
CC_Mid_Posterior,0.7465825219814721,0.08386383683471535,0.11233029754317848,390,hc & pd,0.7320425913261209,0.7614167198936286
CC_Posterior,0.9292757386289316,0.11351491534270085,0.12215417945827638,390,hc & pd,0.911177799819027,0.9477399536566296
CSF,0.5974901055104201,0.04999787621757009,0.08367983964329956,390,hc & pd,0.5858537968029474,0.6093619163481199
Caudate,0.455654565616698,0.01569902794579852,0.03445379269831508,390,hc & pd,0.4467805488914238,0.46470817966058997
CerebellumCortex,0.3021843211243789,0.0073332184958629105,0.02426736922874487,390,hc & pd,0.2962991859317928,0.3081885629777944
CerebellumWhiteMatter,0.5074114458997115,0.03295895374324446,0.06495508528547995,390,hc & pd,0.4975294475674543,0.5174934416466688
CerebralWhiteMatterVol,0.23270526358043517,0.005833874326661431,0.025069799612181688,390,hc & pd,0.2281732550000378,0.2373289934877345
CortexVol,0.14197852702086478,0.00383325435929768,0.02699883172287282,390,hc & pd,0.13921345031915824,0.14479956489289283
EstimatedTotalIntraCranialVol,0.00437936508195586,9.560383873559793e-05,0.021830524961143564,390,hc & pd,0.004294075562403345,0.0044663807385545455
Hippocampus,0.550778607533596,0.01571746049091677,0.028536802765997134,390,hc & pd,0.5400520200175436,0.5617222857330946
InfLatVent,0.4907399523779571,0.0700861995154224,0.14281739070929272,390,hc & pd,0.4811826366529006,0.5004906944093349
LateralVentricle,0.12804352060606983,0.0069850327468757405,0.05455202038973473,390,hc & pd,0.12554983255998736,0.13058767730692394
MaskVol,0.1433701320509625,0.0022903774639850233,0.015975276239341703,390,hc & pd,0.14057795340132453,0.1462188203753173
MaskVol-to-eTIV,0.09879049787864627,0.0022918380920442243,0.02319897299089945,390,hc & pd,0.09686652169882515,0.1007534125655356
Optic-Chiasm,0.7423883909393134,0.19373406109400243,0.26096052074424103,390,hc & pd,0.727930142312026,0.7571392536967922
Pallidum,0.5225383839535602,0.02767925457170039,0.052970758554189465,390,hc & pd,0.5123617837201668,0.5329209439198621
Putamen,0.5960269696557461,0.022055044451697186,0.037003433694344,390,hc & pd,0.5844191559816286,0.6078697087616525
SubCortGrayVol,0.429201747094905,0.008375658174537805,0.01951450158632691,390,hc & pd,0.420842907373674,0.4377297576941233
SupraTentorialVol,0.24456000326011165,0.0037973925536291062,0.015527447264507256,390,hc & pd,0.23979711987645438,0.24941928054419485
SupraTentorialVolNotVent,0.23926319907143895,0.00393475028116085,0.016445279911124218,390,hc & pd,0.23460347262399533,0.24401723167148084
SurfaceHoles,0.5590604234270993,0.4137834792872959,0.7401408898715449,390,hc & pd,0.5481725449281394,0.5701686569067164
Thalamus,0.44760265025741675,0.019727755096513724,0.04407425891059463,390,hc & pd,0.43888544712946065,0.45649627702261586
TotalGrayVol,0.13655519646699274,0.0031609476369908987,0.023147765290315724,390,hc & pd,0.13389574084246472,0.1392684756433502
VentralDC,0.506536723463753,0.019445722498574066,0.03838956110743977,390,hc & pd,0.4966717606274886,0.5166013389408122
WM-hypointensities,0.7021222019024588,0.6615241233620535,0.9421780447471945,390,hc & pd,0.6884481500372349,0.7160729968847697
WMhypointensities,,,,390,hc & pd,,
choroidplexus,0.5761713938764431,0.06818945947177978,0.11834926238355152,390,hc & pd,0.5649502738181725,0.5876196132446141
non-WM-hypointensities,,0.017712421013848654,,390,hc & pd,,
nonWMhypointensities,,,,390,hc & pd,,
vessel,0.7520751527271966,0.25390043532149165,0.3375998188489416,390,hc & pd,0.7374282513515206,0.7670184862930035
