region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.2259511761218401,0.003516392266622408,0.015562619885307686,390,hc & pd,0.22155070553007325,0.23044070590105326
BrainSegVolNotVent,rh,0.2259511761218401,0.003516392266622408,0.015562619885307686,390,hc & pd,0.22155070553007325,0.23044070590105326
bankssts,lh,0.704604047181132,0.0521627769166061,0.07403133309450982,390,hc & pd,0.6908816605944451,0.7186041551100593
bankssts,rh,0.716933308342256,0.04131445488440359,0.05762663612314763,390,hc & pd,0.7029708054964331,0.731178392137601
caudalanteriorcingulate,lh,0.7589856495523642,0.059958754403415866,0.07899853500363074,390,hc & pd,0.7442041640661933,0.7740662910172414
caudalanteriorcingulate,rh,0.6238420720617497,0.04182043077804071,0.06703688746067964,390,hc & pd,0.6116925504742439,0.6362374824690715
caudalmiddlefrontal,lh,0.5381833491290867,0.025782588518853636,0.047906700496357264,390,hc & pd,0.527702058252583,0.5488767662383158
caudalmiddlefrontal,rh,0.5299354871834707,0.03207060377570159,0.06051793954421158,390,hc & pd,0.5196148260260044,0.5404650236594797
cuneus,lh,0.5610910225367195,0.028071853466681056,0.0500308369571961,390,hc & pd,0.550163597478105,0.5722396029414059
cuneus,rh,0.526945520121806,0.03129717652141204,0.059393571681143724,390,hc & pd,0.5166830895181744,0.5374156475414311
eTIV,lh,0.00437936508195586,9.560383873559793e-05,0.021830524961143564,390,hc & pd,0.004294075562403345,0.0044663807385545455
eTIV,rh,0.00437936508195586,9.560383873559793e-05,0.021830524961143564,390,hc & pd,0.004294075562403345,0.0044663807385545455
entorhinal,lh,0.7276003276434501,0.11052454215342368,0.15190282075791564,390,hc & pd,0.7134300812242483,0.7420573594429176
entorhinal,rh,0.649890169777679,0.10235072726935894,0.15748926823184925,390,hc & pd,0.6372333532517808,0.6628031420423662
frontalpole,lh,0.673240280937402,0.08525331363293912,0.12663133215118183,390,hc & pd,0.6601287136142897,0.6866172075005302
frontalpole,rh,0.6446879400242528,0.08055169220815431,0.12494679550717826,390,hc & pd,0.6321324385675411,0.6574975467486619
fusiform,lh,0.5664301528534227,0.0291691753489214,0.05149650879632748,390,hc & pd,0.5553987465438692,0.5776848189398185
fusiform,rh,0.5400686355951936,0.028161403086075728,0.05214411878416136,390,hc & pd,0.5295506281687096,0.5507995123444971
inferiorparietal,lh,0.5049306301461978,0.01998362837195672,0.039576977863613964,390,hc & pd,0.4950969464850757,0.5149633334026563
inferiorparietal,rh,0.39665212078888823,0.01695833683107863,0.04275367744750931,390,hc & pd,0.38892719533086695,0.4045333876131402
inferiortemporal,lh,0.4665191103941796,0.029297850390969812,0.06280096514420375,390,hc & pd,0.4574335032244261,0.47578859716842553
inferiortemporal,rh,0.4083539596885558,0.02412277345808553,0.0590731959021128,390,hc & pd,0.40040113721830645,0.4164677358323578
insula,lh,0.7323226681475002,0.03038975849757845,0.041497771159334805,390,hc & pd,0.7180604526539655,0.7468735303429161
insula,rh,0.8182146076371616,0.03988548015691453,0.04874696660830309,390,hc & pd,0.8022796194664433,0.834472097019706
isthmuscingulate,lh,0.7492508593951743,0.03371965758155734,0.04500449636958336,390,hc & pd,0.7346589620250689,0.7641380757535519
isthmuscingulate,rh,0.7256416021693636,0.03185611271277309,0.04390061514876861,390,hc & pd,0.7115095025480409,0.7400597151347
lateraloccipital,lh,0.4486978512949317,0.019246248080775918,0.04289355972004699,390,hc & pd,0.4399593187805109,0.4576132391226601
lateraloccipital,rh,0.4233717277901346,0.01790952213409028,0.042302121182187284,390,hc & pd,0.41512642953808476,0.43178389900435216
lateralorbitofrontal,lh,0.44371966848180927,0.019954129699552587,0.044970126674406426,390,hc & pd,0.43507808765157785,0.4525361424628851
lateralorbitofrontal,rh,0.6953475869312434,0.04498194289247695,0.0646898669642249,390,hc & pd,0.6818054728344484,0.7091637739147025
lingual,lh,0.4329169767873155,0.020031658088623106,0.04627136186083159,390,hc & pd,0.42448578179321667,0.44151880702592217
lingual,rh,0.4516576295679365,0.020453374715066162,0.04528513054153921,390,hc & pd,0.4428614544358845,0.46063182661686297
medialorbitofrontal,lh,0.7396596660862986,0.044481930153934805,0.06013837470589473,390,hc & pd,0.7252545602382382,0.7543563105312324
medialorbitofrontal,rh,0.6622966880361191,0.036016305928733214,0.05438092410748855,390,hc & pd,0.649398250644689,0.6754561712246866
middletemporal,lh,0.5712036430373132,0.029202578301502084,0.05112463594633352,390,hc & pd,0.5600792714972403,0.5825531558366104
middletemporal,rh,0.40013093791795484,0.018128560258006136,0.04530656977522523,390,hc & pd,0.39233826139648104,0.40808132698961197
paracentral,lh,0.5817675496790252,0.028144669636196246,0.04837786097166182,390,hc & pd,0.570437442717217,0.5933269616887041
paracentral,rh,0.5670151253745885,0.026151835872173908,0.046121936967549425,390,hc & pd,0.5559723265402403,0.578281414554074
parahippocampal,lh,0.73154142027386,0.04378031707704186,0.05984666877871692,390,hc & pd,0.717294419829664,0.7460767594892506
parahippocampal,rh,0.7935387372280819,0.04999609135252947,0.06300397070364998,390,hc & pd,0.7780843194351114,0.8093059301805258
parsopercularis,lh,0.7637945607078678,0.0360090092638289,0.04714488831978137,390,hc & pd,0.7489194201565565,0.7789707526815265
parsopercularis,rh,0.6252405824822754,0.028904226985362394,0.04622896816871573,390,hc & pd,0.6130638244621763,0.6376637805483617
parsorbitalis,lh,0.6724930045152268,0.04138717880121344,0.06154291349253187,390,hc & pd,0.6593959906366955,0.6858550830930148
parsorbitalis,rh,0.5975209415589118,0.039659711287478014,0.06637375952716766,390,hc & pd,0.5858840323096455,0.609393365092506
parstriangularis,lh,0.6711935050348433,0.03243494051012748,0.04832427648185258,390,hc & pd,0.6581217993195427,0.6845297632486245
parstriangularis,rh,0.5885351819601318,0.030882102865329497,0.052472823735831474,390,hc & pd,0.5770732732199922,0.6002290632263212
pericalcarine,lh,0.5235117143019224,0.042975612972438314,0.08209102451459795,390,hc & pd,0.5133161581522663,0.5339136138249329
pericalcarine,rh,0.5026774768388915,0.04108786691394944,0.08173803046106665,390,hc & pd,0.49288767405078693,0.5126654111366578
postcentral,lh,0.48175135154334875,0.020374480791505365,0.042292524403373756,390,hc & pd,0.4723690916613851,0.491323494853476
postcentral,rh,0.3747418027868512,0.017330014509693976,0.04624521305286853,390,hc & pd,0.3674435876990925,0.38218772323747274
posteriorcingulate,lh,0.6272702967595483,0.02966404746666279,0.04729069369282429,390,hc & pd,0.6150540094121842,0.6397338241695553
posteriorcingulate,rh,0.6594724890627619,0.03319727389350482,0.0503391338442102,390,hc & pd,0.6466290538392376,0.6725758569187565
precentral,lh,0.5490232764477249,0.020662843020598613,0.03763564115949831,390,hc & pd,0.5383308745595358,0.5599320771514845
precentral,rh,0.43339221097543373,0.015861047143253558,0.03659744393549477,390,hc & pd,0.4249517606452711,0.4420034838647771
precuneus,lh,0.5939582759254878,0.023973568601832064,0.04036237825708746,390,hc & pd,0.5823907507158059,0.6057599111864598
precuneus,rh,0.37179524355195487,0.015719024790834143,0.04227871405955078,390,hc & pd,0.36455441363688085,0.3791826174366397
rostralanteriorcingulate,lh,0.5505560678013229,0.05438009102699085,0.09877303004607842,390,hc & pd,0.5398338143169148,0.5614953242546185
