region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.218973317541245,0.003354698936548852,0.015320126553396048,212,hc,0.21320630937400922,0.2248991191145593
BrainSegVolNotVent,rh,0.218973317541245,0.003354698936548852,0.015320126553396048,212,hc,0.21320630937400922,0.2248991191145593
WhiteSurfArea,lh,0.30595113308590133,0.00627995508990589,0.020526006969036715,212,hc,0.2978934267722127,0.3142307067168586
WhiteSurfArea,rh,0.2784331078044919,0.005510529152124267,0.01979121375175545,212,hc,0.2711001321489767,0.2859679954648566
bankssts,lh,0.7259628967469288,0.04017994347086375,0.05534710334496683,212,hc,0.7068435172642615,0.7456087244852808
bankssts,rh,0.8495303113502334,0.03416058289727941,0.040211140721965515,212,hc,0.8271565888397346,0.8725200897949481
caudalanteriorcingulate,lh,0.7109719508377287,0.048626226913446466,0.06839401590477773,212,hc,0.6922473815925081,0.7302120973184203
caudalanteriorcingulate,rh,0.6439892970282723,0.0388568418918623,0.06033771379612916,212,hc,0.6270288217645456,0.6614167755556911
caudalmiddlefrontal,lh,0.6647336398165372,0.022562031806799884,0.033941462347274735,212,hc,0.6472268295215511,0.6827224966000484
caudalmiddlefrontal,rh,0.6521059802063434,0.03044450133064692,0.046686431737696196,212,hc,0.6349317392715093,0.6697531103994846
cuneus,lh,0.634673813258209,0.025866196709526588,0.04075510312413544,212,hc,0.6179586759725836,0.6518491984758097
cuneus,rh,0.7052130002561962,0.02609161061172563,0.036998198561635755,212,hc,0.6866401020703142,0.7242972994455379
eTIV,lh,0.0038149360233093147,9.756365432401866e-05,0.025574125942847616,212,hc,0.003714463657767505,0.003918174875160576
eTIV,rh,0.0038149360233093147,9.756365432401866e-05,0.025574125942847616,212,hc,0.003714463657767505,0.003918174875160576
entorhinal,lh,0.8178577927836944,0.08962893240578956,0.10958987393239214,212,hc,0.7963182160737029,0.8399904573916191
entorhinal,rh,0.7367200209583468,0.07933034139959896,0.10768044731077589,212,hc,0.7173173356196062,0.7566569553223467
frontalpole,lh,0.8290622270126091,0.06288610828067182,0.07585209678080701,212,hc,0.8072275638307453,0.8514981032388594
frontalpole,rh,0.7658280288951085,0.06945707014139903,0.09069538789486145,212,hc,0.745658738193723,0.7865526769457096
fusiform,lh,0.5636518775286421,0.022177837933129246,0.03934669397424703,212,hc,0.54880721509358,0.5789052847481388
fusiform,rh,0.5329276694815934,0.021339028685053232,0.0400411348613421,212,hc,0.5188921775917317,0.5473496258082218
inferiorparietal,lh,0.4664452137051711,0.017501281659145676,0.03752055149226554,212,hc,0.45416064229158287,0.4790680383135547
inferiorparietal,rh,0.4193803749924419,0.01711344789220021,0.040806506247481486,212,hc,0.40833533044127523,0.43072954261638885
inferiortemporal,lh,0.45582732274011256,0.026971079300481017,0.059169509932730444,212,hc,0.4438223902551476,0.4681628086184056
inferiortemporal,rh,0.44904311430108756,0.024153356054802948,0.053788501116193266,212,hc,0.43721685466044624,0.4611950076143454
insula,lh,0.8082253936907284,0.04285341174366995,0.053021610157510134,212,hc,0.7869395014244077,0.8300973887050204
insula,rh,0.8954547676545763,0.05777078835097955,0.06451558519510252,212,hc,0.8718715520535182,0.9196873423380183
isthmuscingulate,lh,0.696021396779456,0.0304662344952612,0.04377197976417217,212,hc,0.6776905739884923,0.7148569550767322
isthmuscingulate,rh,0.7174173127726811,0.036938619449276504,0.05148833014151245,212,hc,0.6985229947410008,0.7368318820384114
lateraloccipital,lh,0.4677462254630246,0.016551842047043276,0.03538637223776315,212,hc,0.4554273898499555,0.48040425772870704
lateraloccipital,rh,0.4196193444237907,0.014903988083197366,0.03551787657373875,212,hc,0.4085680062352175,0.43097497897918
lateralorbitofrontal,lh,0.5396581959596605,0.025255984892793817,0.0467999653889843,212,hc,0.5254454450247029,0.5542622921234196
lateralorbitofrontal,rh,0.8131245015145767,0.06229094095946013,0.07660689210992058,212,hc,0.7917095835059895,0.8351290749689105
lingual,lh,0.6001697048701067,0.02105566554959063,0.035082853030956734,212,hc,0.5843632877751953,0.6164113484699255
lingual,rh,0.49379482646797856,0.020873404875441082,0.04227141265279067,212,hc,0.48078995980588757,0.5071577795091738
medialorbitofrontal,lh,0.853515831708988,0.05026064624892098,0.058886601023304376,212,hc,0.83103714422505,0.8766134653165033
medialorbitofrontal,rh,0.6938509115052915,0.04062518326286896,0.058550306109324955,212,hc,0.6755772518721205,0.7126277326687612
middletemporal,lh,0.5412324028271613,0.023381614172235422,0.043200691699351514,212,hc,0.5269781926680219,0.5558790997864735
middletemporal,rh,0.49337929688921967,0.017206729975724113,0.03487525740178678,212,hc,0.480385373854879,0.506731004972083
paracentral,lh,0.5597226965970418,0.02228945375934349,0.03982231539806616,212,hc,0.5449815153476214,0.574869773297333
paracentral,rh,0.5172833410331298,0.02265520456261179,0.04379650911889857,212,hc,0.5036598672418485,0.5312819344259802
parahippocampal,lh,0.7860449603319302,0.041683447210441794,0.05302934223105986,212,hc,0.7653432248102271,0.8073167139635267
parahippocampal,rh,0.8554533533837785,0.047913732851546,0.056009755133954876,212,hc,0.8329236382063837,0.8786034197219923
parsopercularis,lh,0.7411627776021443,0.021788560138460006,0.029397806793470798,212,hc,0.721643085250232,0.7612199407438112
parsopercularis,rh,0.6507853829086863,0.02950734938141199,0.04534113727251962,212,hc,0.6336459219894575,0.6683967754255113
parsorbitalis,lh,0.7716279030940766,0.03746972256361663,0.04855931520020257,212,hc,0.7513058635452518,0.7925095059008059
parsorbitalis,rh,0.7175249252112692,0.03771014700916863,0.05255587044319777,212,hc,0.6986277730360541,0.7369424066581047
parstriangularis,lh,0.733089007869863,0.025636377949747897,0.034970348313146216,212,hc,0.713781950995685,0.7529276806588269
parstriangularis,rh,0.5997087523833001,0.03038260717436348,0.05066227073328526,212,hc,0.5839144752001642,0.6159379218013227
pericalcarine,lh,0.6413454865918652,0.03438014476042131,0.05360627848668389,212,hc,0.6244546402516556,0.6587014189774092
pericalcarine,rh,0.6859638191264756,0.036859411390677194,0.053733754409401556,212,hc,0.6678978785280943,0.7045272017534512
postcentral,lh,0.5832887470177154,0.01739187222869641,0.02981691712315546,212,hc,0.5679269166098883,0.5990735623257406
postcentral,rh,0.4171522604842654,0.0199036792530384,0.0477132240154531,212,hc,0.40616589684778953,0.42844113142637763
posteriorcingulate,lh,0.6333039104945578,0.02890507781392835,0.04564171693074796,212,hc,0.6166248517618584,0.6504422237435584
