region,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
3rd-Ventricle,0.0378532430304194,22.69487581947825,599.5490479175147,212,hc_baseline & hc_followup,0.03685631808922572,0.03887761809868522
4th-Ventricle,0.06919945032681904,41.394831985337724,598.1959652834797,212,hc_baseline & hc_followup,0.06737697350779828,0.07107210867726811
5th-Ventricle,0.7873384201053698,0.4039381607818814,0.5130426135280204,212,hc_baseline & hc_followup,0.7666026192776232,0.8086451770243374
Brain-Stem,0.0816999819635322,219.63373600350266,2688.296015800088,212,hc_baseline & hc_followup,0.07954828390032886,0.0839109265986842
BrainSegVol,0.02351328732565518,2717.8824878278892,115589.21771276221,212,hc_baseline & hc_followup,0.022894027766690545,0.024149598071606746
BrainSegVol-to-eTIV,0.046275179532566095,0.0016914725522777045,0.03655247952279327,212,hc_baseline & hc_followup,0.04505644959185383,0.04752746695625109
BrainSegVolNotVent,0.02425986833153962,2723.382317886326,112258.74273792854,212,hc_baseline & hc_followup,0.023620946382623624,0.0249163828673819
CC_Anterior,0.20833504555336252,34.53481417121494,165.7657456501684,212,hc_baseline & hc_followup,0.20284821308117615,0.21397295685040485
CC_Central,0.25590410216733883,32.61905722195764,127.46594113066479,212,hc_baseline & hc_followup,0.24916446345793214,0.26282931546852184
CC_Mid_Anterior,0.25298790853364606,30.4367848354185,120.30924723570561,212,hc_baseline & hc_followup,0.24632507238946322,0.2598342045264708
CC_Mid_Posterior,0.2800943773700897,31.861373810211326,113.75227917593213,212,hc_baseline & hc_followup,0.2727176495567301,0.2876742218951357
CC_Posterior,0.29905837560103865,52.597770102341336,175.87793686310206,212,hc_baseline & hc_followup,0.29118220094223984,0.3071514191396225
CSF,0.13786673742023436,38.38559523510057,278.4253544645556,212,hc_baseline & hc_followup,0.13423579914145123,0.1415976528517853
CerebralWhiteMatterVol,0.032599628001054835,1851.7232304195654,56801.97425441937,212,hc_baseline & hc_followup,0.03174106530929893,0.0334818310432667
CortexVol,0.025894024012380917,1215.987309026136,46960.15221290929,212,hc_baseline & hc_followup,0.025212063992599638,0.026594761663684498
EstimatedTotalIntraCranialVol,0.0006702201819290964,111.88563399386638,166938.62257598047,212,hc_baseline & hc_followup,0.000652568874882048,0.0006883575141535778
Left-Accumbens-area,0.2745152278602213,25.805978238476108,94.00563473154972,212,hc_baseline & hc_followup,0.26728543576099767,0.2819440908258949
Left-Amygdala,0.20377805399580914,50.566799489339495,248.14644412287615,212,hc_baseline & hc_followup,0.1984112370936727,0.20929264511829987
Left-Caudate,0.09178840706008734,40.40593370254492,440.20737472973065,212,hc_baseline & hc_followup,0.08937101438815424,0.0942723621514022
Left-Cerebellum-Cortex,0.0719748006496651,422.6770972796273,5872.570586711225,212,hc_baseline & hc_followup,0.07007923059646169,0.07392256484174953
Left-Cerebellum-White-Matter,0.2302623381281468,467.6480055210109,2030.9357115133303,212,hc_baseline & hc_followup,0.2241980157737042,0.2364936403748134
Left-Hippocampus,0.14879462386288556,69.3267796148839,465.92261074411283,212,hc_baseline & hc_followup,0.14487588243496521,0.15282126704520532
Left-Inf-Lat-Vent,0.10951767292798649,32.442424603456246,296.2300397378678,212,hc_baseline & hc_followup,0.10663335203755019,0.11248141301207296
Left-Lateral-Ventricle,0.01342291385024608,98.36375955666757,7328.04819088251,212,hc_baseline & hc_followup,0.013069400213645627,0.0137861614134898
Left-Pallidum,0.22418733074570585,56.08201022196877,250.15691134474594,212,hc_baseline & hc_followup,0.21828300330563888,0.23025423265031716
Left-Putamen,0.12510589575404962,76.912709494499,614.7808544986927,212,hc_baseline & hc_followup,0.1218110343952128,0.12849148045548522
Left-Thalamus,0.16302140414442856,149.47231902162025,916.887692178111,212,hc_baseline & hc_followup,0.1587279779878007,0.16743304892384786
Left-VentralDC,0.15504037260940629,70.06753215480157,451.9308808120768,212,hc_baseline & hc_followup,0.15095713952361578,0.15923603669420056
