region,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
3rd-Ventricle,0.0378532430304194,22.69487581947825,599.5490479175147,212,hc_baseline & hc_followup,0.03685631808922572,0.03887761809868522
4th-Ventricle,0.06919945032681904,41.394831985337724,598.1959652834797,212,hc_baseline & hc_followup,0.06737697350779828,0.07107210867726811
5th-Ventricle,0.7873384201053698,0.4039381607818814,0.5130426135280204,212,hc_baseline & hc_followup,0.7666026192776232,0.8086451770243374
Accumbensarea,0.2044022683618769,36.278587413472714,177.48622705715061,212,hc_baseline & hc_followup,0.1990190117885164,0.20993375181862123
Amygdala,0.15590655532370148,71.9031291550874,461.193751640515,212,hc_baseline & hc_followup,0.15180050994806787,0.16012565983013607
Brain-Stem,0.0816999819635322,219.63373600350266,2688.296015800088,212,hc_baseline & hc_followup,0.07954828390032886,0.0839109265986842
BrainSegVol,0.02351328732565518,2717.8824878278892,115589.21771276221,212,hc_baseline & hc_followup,0.022894027766690545,0.024149598071606746
BrainSegVol-to-eTIV,0.046275179532566095,0.0016914725522777045,0.03655247952279327,212,hc_baseline & hc_followup,0.04505644959185383,0.04752746695625109
BrainSegVolNotVent,0.02425986833153962,2723.382317886326,112258.74273792854,212,hc_baseline & hc_followup,0.023620946382623624,0.0249163828673819
CC_Anterior,0.20833504555336252,34.53481417121494,165.7657456501684,212,hc_baseline & hc_followup,0.20284821308117615,0.21397295685040485
CC_Central,0.25590410216733883,32.61905722195764,127.46594113066479,212,hc_baseline & hc_followup,0.24916446345793214,0.26282931546852184
CC_Mid_Anterior,0.25298790853364606,30.4367848354185,120.30924723570561,212,hc_baseline & hc_followup,0.24632507238946322,0.2598342045264708
CC_Mid_Posterior,0.2800943773700897,31.861373810211326,113.75227917593213,212,hc_baseline & hc_followup,0.2727176495567301,0.2876742218951357
CC_Posterior,0.29905837560103865,52.597770102341336,175.87793686310206,212,hc_baseline & hc_followup,0.29118220094223984,0.3071514191396225
CSF,0.13786673742023436,38.38559523510057,278.4253544645556,212,hc_baseline & hc_followup,0.13423579914145123,0.1415976528517853
Caudate,0.09919838045093356,82.42384944542465,830.8991444290153,212,hc_baseline & hc_followup,0.09658583442632789,0.10188286240310405
CerebellumCortex,0.05165913150465937,614.3894646372581,11893.143510975278,212,hc_baseline & hc_followup,0.050298606685266416,0.053057118100394714
CerebellumWhiteMatter,0.1956107980324643,758.6326186592768,3878.2757715316475,212,hc_baseline & hc_followup,0.1904590787156108,0.2009043689010689
CerebralWhiteMatterVol,0.032599628001054835,3703.446460839131,113603.94850883874,212,hc_baseline & hc_followup,0.03174106530929893,0.0334818310432667
CortexVol,0.025894024012415487,2431.974618055391,93920.30442581365,212,hc_baseline & hc_followup,0.0252120639926333,0.02659476166372
EstimatedTotalIntraCranialVol,0.0006702201819290964,111.88563399386638,166938.62257598047,212,hc_baseline & hc_followup,0.000652568874882048,0.0006883575141535778
Hippocampus,0.10724114702323101,96.953127813099,904.0664941050717,212,hc_baseline & hc_followup,0.10441678203807607,0.11014328032828355
InfLatVent,0.0855765284102666,44.64289072282378,521.6721401550566,212,hc_baseline & hc_followup,0.08332273537371211,0.08789237918325776
LateralVentricle,0.008943554100073265,122.33468187923438,13678.53098559914,212,hc_baseline & hc_followup,0.008708011477262509,0.009185582341469632
MaskVol,0.015403926741553064,2390.284882399498,155173.73735305778,212,hc_baseline & hc_followup,0.01499824000161816,0.015820783984002797
MaskVol-to-eTIV,0.03485688106836281,0.0015194806164878967,0.043591984420746833,212,hc_baseline & hc_followup,0.03393887005193954,0.03580016933286484
Optic-Chiasm,0.3782077648660742,14.5460845583848,38.46056561936443,212,hc_baseline & hc_followup,0.3682470660312319,0.38844272953322334
Pallidum,0.17273539624003661,78.84960329170843,456.47623479635536,212,hc_baseline & hc_followup,0.1681861367591441,0.17740991866267597
Putamen,0.11945237999551736,136.34140892050956,1141.387127871592,212,hc_baseline & hc_followup,0.11630641290343025,0.12268497065661581
SubCortGrayVol,0.06474195104411531,351.2919797907605,5426.033261669691,212,hc_baseline & hc_followup,0.0630368695089467,0.06649398165526223
SupraTentorialVol,0.025037984466063135,2634.6527482774304,105226.23144241018,212,hc_baseline & hc_followup,0.02437856959977601,0.025715556187620805
SupraTentorialVolNotVent,0.02588514992188008,2638.24562894691,101921.20335053057,212,hc_baseline & hc_followup,0.02520342361528801,0.026585647424748945
SurfaceHoles,0.30837243176252394,15.643977126015727,50.730790157218316,212,hc_baseline & hc_followup,0.3002509567239505,0.31671752997733693
Thalamus,0.13300161648402287,228.31838034542,1716.6586871735296,212,hc_baseline & hc_followup,0.12949880884914083,0.13660087322025016
TotalGrayVol,0.023449123848557036,1395.713609286212,59520.92787347782,212,hc_baseline & hc_followup,0.02283155413610255,0.02408369821841581
VentralDC,0.12670334213582446,115.94023207015698,915.0526743475357,212,hc_baseline & hc_followup,0.12336640950349251,0.13013215653478075
WM-hypointensities,0.3608896299698215,684.7455501870337,1897.3821726168576,212,hc_baseline & hc_followup,0.35138503156999756,0.37065593556851695
WMhypointensities,,0.0,0.0,212,hc_baseline & hc_followup,,
choroidplexus,0.15291882551398817,65.74338321239561,429.9234119240719,212,hc_baseline & hc_followup,0.14889146672175924,0.15705707681782333
non-WM-hypointensities,0.8530035722127194,0.6020415798436746,0.7057902211147357,212,hc_baseline & hc_followup,0.8305383758916861,0.876087343180882
nonWMhypointensities,,0.0,0.0,212,hc_baseline & hc_followup,,
vessel,0.21247828672802438,12.143332363888213,57.150933165382085,212,hc_baseline & hc_followup,0.2068823354556052,0.2182283213894433
