region,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,0.02425986833153962,2723.382317886326,112258.74273792854,212,hc_baseline & hc_followup,,0.023620946382623624,0.0249163828673819
bankssts,0.1710005371152368,71.0674704204347,415.5979368213477,212,hc_baseline & hc_followup,,0.16649696788945875,0.17562811121080757
caudalanteriorcingulate,0.1353252325917496,61.55708437828498,454.8825315083031,212,hc_baseline & hc_followup,,0.13176122885671598,0.13898737045039655
caudalmiddlefrontal,0.1282086694406088,130.92793150225847,1021.2096582353922,212,hc_baseline & hc_followup,,0.12483209163616851,0.13167822063348686
cuneus,0.11460978338458377,69.74148162891872,608.5124635031784,212,hc_baseline & hc_followup,,0.11159135372271631,0.11771132489805906
eTIV,0.0006702201819290965,111.8856339938664,166938.62257598047,212,hc_baseline & hc_followup,,0.0006525688748820481,0.0006883575141535779
entoinalvolume,0.3294977914114368,126.0040048203597,382.4122895653076,212,hc_baseline & hc_followup,,0.32081994666079505,0.3384145788660622
frontalpole,0.3423793187386385,61.96532777997334,180.98443564950165,212,hc_baseline & hc_followup,,0.3333622186205548,0.35164470288878524
fusiform,0.1422103004223276,184.55457592517226,1297.758146752332,212,hc_baseline & hc_followup,,0.1384649675515949,0.14605876027783213
inferiorparietal,0.08164925222569201,164.15153657325718,2010.447519096871,212,hc_baseline & hc_followup,,0.07949889021025802,0.08385882402526895
inferiortemporal,0.11422995852152536,185.33900841603366,1622.5078851018632,212,hc_baseline & hc_followup,,0.1112215321473277,0.11732122130882355
insula,0.24880888557642708,183.56052651387046,737.757118635885,212,hc_baseline & hc_followup,,0.242256110602235,0.2555420898871562
isthmuscingulate,0.13674684176605825,59.67078254514576,436.35949302016394,212,hc_baseline & hc_followup,,0.13314539770810807,0.14044745085935764
lateraloccipital,0.0895169731159865,164.99255550123252,1843.142699736427,212,hc_baseline & hc_followup,,0.0871594022445086,0.0919394592256429
lateralorbitofrontal,0.21202472772213393,178.97574059648687,844.1267323830315,212,hc_baseline & hc_followup,,0.20644072164249286,0.21776248828230219
lingual,0.10532969220001114,101.7750091936697,966.2518428365723,212,hc_baseline & hc_followup,,0.1025556683966065,0.10818009818903293
medialorbitofrontal,0.21725257340556875,151.31852546934795,696.5097034172543,212,hc_baseline & hc_followup,,0.21153088375291546,0.223131808628147
middletemporal,0.09723197745301342,155.64548630031123,1600.7643820216008,212,hc_baseline & hc_followup,,0.09467121975712477,0.09986324509528677
paracentral,0.1369194914087998,70.519035865846,515.0401534526425,212,hc_baseline & hc_followup,,0.13331350034982256,0.14062477270388196
parahippocampal,0.2123065958601964,65.53203442809074,308.66697364053397,212,hc_baseline & hc_followup,,0.20671516633795264,0.21805198426596134
parsopercularis,0.13032321798628335,93.19263943180843,715.0885381115824,212,hc_baseline & hc_followup,,0.1268909502061426,0.1338499925671043
parsorbitalis,0.1895419195687085,69.21116839726352,365.1496648063366,212,hc_baseline & hc_followup,,0.1845500337514769,0.19467125595453416
parstriangularis,0.13624498728642184,96.88969494333183,711.143190462082,212,hc_baseline & hc_followup,,0.13265676035882948,0.1399320153183463
pericalcarine,0.13371401912331193,67.16321062451767,502.2899697793044,212,hc_baseline & hc_followup,,0.13019244923974466,0.13733255472295572
postcentral,0.11148921486206216,141.34951175676264,1267.8312600159984,212,hc_baseline & hc_followup,,0.10855297030090867,0.1145063083246606
posteriorcingulate,0.13149197358230705,64.37151568768856,489.54711024544304,212,hc_baseline & hc_followup,,0.12802892477759467,0.1350503767369995
precentral,0.11692738927151024,189.9237243102559,1624.2877352648757,212,hc_baseline & hc_followup,,0.1138479217981486,0.12009164926030151
precuneus,0.091497936926085,121.42927356976446,1327.125809053585,212,hc_baseline & hc_followup,,0.0890881942439038,0.09397403138672393
rostralanteriorcingulate,0.16042817793163924,76.35748792055996,475.96057566082305,212,hc_baseline & hc_followup,,0.1562030484831061,0.16476964546688902
rostralmiddlefrontal,0.13854183361551328,314.3731599449277,2269.156916295683,212,hc_baseline & hc_followup,,0.1348931156121703,0.14229101833275182
superiorfrontal,0.11361340978799205,294.6191995432027,2593.172760970522,212,hc_baseline & hc_followup,,0.11062122119847843,0.11668798768648177
superiorparietal,0.1271371339968885,222.21003134366657,1747.798022166402,212,hc_baseline & hc_followup,,0.12378877677075796,0.13057768756352808
superiortemporal,0.10476869875028852,150.48081229637188,1436.3146062836586,212,hc_baseline & hc_followup,,0.10200944959542392,0.10760392327380432
supramarginal,0.0970686457090399,167.75173511331215,1728.1763219005084,212,hc_baseline & hc_followup,,0.09451218961259744,0.09969549330819441
temporalpole,0.346070112438148,147.69750905134106,426.7849309805352,212,hc_baseline & hc_followup,,0.336955809438692,0.35543537593138963
transversetemporal,0.15508701445627665,28.269500507189363,182.28154437236475,212,hc_baseline & hc_followup,,0.15100255298378196,0.1592839407511551
