region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.024757255942150405,2720.2866665586675,109878.35941572387,109,hc,0.023851661477097295,0.025697776761841064
BrainSegVolNotVent,rh,0.024757255942150405,2720.2866665586675,109878.35941572387,109,hc,0.023851661477097295,0.025697776761841064
WhiteSurfArea,lh,0.042476450013085365,355.9626134153286,8380.234537153414,109,hc,0.0409227060070114,0.04409011776678175
WhiteSurfArea,rh,0.04339316575931379,366.6736460622501,8450.032157046488,109,hc,0.04180588925239436,0.04504165927266144
bankssts,lh,0.15151633895410094,28.492278789171266,188.0475662615005,109,hc,0.145974030135928,0.15727239978905877
bankssts,rh,0.18954733244926902,22.784746782798475,120.20610624471145,109,hc,0.18261388976350704,0.196748179461633
caudalanteriorcingulate,lh,0.16237143380169225,23.085776048285403,142.17880268570246,109,hc,0.15643205699526666,0.1685398764744326
caudalanteriorcingulate,rh,0.13276550871947546,22.612805747375205,170.32138817887207,109,hc,0.12790908561154865,0.13780923106815843
caudalmiddlefrontal,lh,0.1365902052556636,46.688305330376274,341.81298170675666,109,hc,0.1315938787585335,0.14177922669281134
caudalmiddlefrontal,rh,0.1458959374018058,56.31409332097216,385.9880838619921,109,hc,0.14055921697957735,0.15143848084665756
cuneus,lh,0.11625843169767508,29.179476260933562,250.98804305922087,109,hc,0.1120058201599836,0.12067505507999773
cuneus,rh,0.12034582645056509,32.20023078155374,267.56416679543725,109,hc,0.11594370229833532,0.12491772874878901
eTIV,lh,0.0008089278669474552,137.4863824601061,169961.23891604872,109,hc,0.0007793381337134252,0.0008396587969935721
eTIV,rh,0.0008089278669474552,137.4863824601061,169961.23891604872,109,hc,0.0007793381337134252,0.0008396587969935721
entorhinal,lh,0.30612059404033004,27.28532167871212,89.1325909132314,109,hc,0.29492302366946715,0.31775002472940805
entorhinal,rh,0.2933242021737566,21.664052029054314,73.85702191809311,109,hc,0.28259471040070344,0.30446750172634857
frontalpole,lh,0.3714511391504008,12.942783266100587,34.84383786170069,109,hc,0.35786384593671444,0.38556245789610905
frontalpole,rh,0.3953311427907476,16.587002929890293,41.957238209968054,109,hc,0.38087034408143294,0.41034965580105914
fusiform,lh,0.1355311143321588,49.38754696623707,364.4000656941282,109,hc,0.13057352827058244,0.1406799012188447
fusiform,rh,0.13925002377819418,50.31869232660385,361.35499988678276,109,hc,0.13415640390825745,0.144540090933126
inferiorparietal,lh,0.0835684622859336,55.27191027028015,661.3967609116055,109,hc,0.08051161555477816,0.08674320341367053
inferiorparietal,rh,0.0942533510375832,75.73240096619442,803.4982325031222,109,hc,0.0908056622787082,0.09783400792393598
inferiortemporal,lh,0.1373845215296909,63.77574739856516,464.21348408439326,109,hc,0.13235913977607597,0.14260371880679798
inferiortemporal,rh,0.12981022159813493,58.37702115085544,449.71051148482275,109,hc,0.12506189979456844,0.13474167346448823
insula,lh,0.32331256541191,78.87562599080321,243.9609047990859,109,hc,0.31148613075358994,0.3355951140008182
insula,rh,0.4238130478138132,105.35667732326436,248.59234010546317,109,hc,0.40831041088125897,0.43991357995909025
isthmuscingulate,lh,0.12033042675686315,23.587798419899478,196.0252203506303,109,hc,0.11592886590928285,0.124901744025285
isthmuscingulate,rh,0.1658352396606634,25.06336669394768,151.13414220785054,109,hc,0.15976916046762307,0.17213527129194348
lateraloccipital,lh,0.08321901526048359,55.61599334360873,668.3087172988683,109,hc,0.08017495093513338,0.08638048099923626
lateraloccipital,rh,0.08345663334375747,57.351653195056805,687.203052618066,109,hc,0.08040387719805722,0.0866271261231069
lateralorbitofrontal,lh,0.1676515836366735,49.2705667806059,293.8866768320108,109,hc,0.16151906448537806,0.17402061763756793
lateralorbitofrontal,rh,0.3440756962337717,124.5770551976645,362.0629313877038,109,hc,0.331489768019567,0.3571470300121837
lingual,lh,0.10182030593676589,40.937602311227714,402.0573493135196,109,hc,0.09809582590142557,0.10568842919826829
lingual,rh,0.11587331317320096,47.76198915059691,412.19145153125083,109,hc,0.11163478886734843,0.12027530601685799
medialorbitofrontal,lh,0.2895144629176771,73.34599129438186,253.34137215534432,109,hc,0.27892432741220313,0.300513031604445
medialorbitofrontal,rh,0.23332501536611625,62.109931225289266,266.19490896778035,109,hc,0.22479023093896808,0.24218896358474157
middletemporal,lh,0.11787493830649391,53.700463313238345,455.57150726652725,109,hc,0.11356319665191514,0.12235297229604679
middletemporal,rh,0.1033173995732233,44.856406514158536,434.1612032382582,109,hc,0.09953815742232341,0.10724239697850824
paracentral,lh,0.14576073243824986,23.282852507568794,159.73336658027807,109,hc,0.14042895767182956,0.15129813948658632
paracentral,rh,0.13693222439788333,27.432864609653905,200.33899785299886,109,hc,0.13192338719912863,0.1421342390409317
parahippocampal,lh,0.23096485113366713,19.79659694314372,85.71259586025391,109,hc,0.22251639903957382,0.2397391374122255
parahippocampal,rh,0.2865559146112044,21.943601926084806,76.57703368593045,109,hc,0.27607399970082364,0.2974420889241855
parsopercularis,lh,0.09690836458510349,27.09659424911551,279.6104790863505,109,hc,0.09336355821436983,0.10058988464966304
parsopercularis,rh,0.20313534745617431,44.97521469082202,221.40516288296527,109,hc,0.1957048694281246,0.21085239913363227
parsorbitalis,lh,0.1842925010206536,18.422960575284957,99.9658720417512,109,hc,0.17755127455900227,0.19129371854362157
parsorbitalis,rh,0.19632197460290815,23.649712601630743,120.46390960291623,109,hc,0.18914072261019443,0.20378018826391608
parstriangularis,lh,0.11598194003749802,25.56298377990778,220.40486451289772,109,hc,0.11173944227484182,0.12038805958355243
parstriangularis,rh,0.18537847546518874,49.816189448030734,268.7269345754516,109,hc,0.17859752519697106,0.19242094883561914
pericalcarine,lh,0.12225083169653306,35.44831955410014,289.9638314289311,109,hc,0.11777902444975208,0.12689510457975395
pericalcarine,rh,0.13821096102400102,41.78567420548985,302.3325639001494,109,hc,0.13315534898018358,0.14346155449269044
postcentral,lh,0.10511210562140737,53.32923783087225,507.35581325859295,109,hc,0.10126721500496547,0.10910528337783808
postcentral,rh,0.20481087567977008,105.38827421286815,514.5638573297587,109,hc,0.1973191085860471,0.21259158017812035
posteriorcingulate,lh,0.1634435828749632,27.5057994782921,168.28925917106488,109,hc,0.15746498797955655,0.16965275617340694
posteriorcingulate,rh,0.13378988190097865,25.298761897845264,189.09323738374724,109,hc,0.12889598829609994,0.1388725198833889
precentral,lh,0.11184636780380179,58.75030797679004,525.2768519032144,109,hc,0.10775514493741899,0.11609537818573015
precentral,rh,0.17521165107713485,104.90254777982591,598.7190185979345,109,hc,0.16880259258539282,0.18186788980066226
precuneus,lh,0.09747775864022049,52.01149891860506,533.5729877681501,109,hc,0.09391212443194485,0.101180909816269
precuneus,rh,0.0948051256888923,51.777373308546004,546.145294701217,109,hc,0.09133725359179315,0.09840674433080257
rostralanteriorcingulate,lh,0.21652616561950683,38.86117793270776,179.4756667007027,109,hc,0.2086058655029517,0.22475193051238473
rostralanteriorcingulate,rh,0.18416791775793756,22.408815308458,121.67599862811713,109,hc,0.17743124842141422,0.1911644023996588
rostralmiddlefrontal,lh,0.13123274328503043,100.99606503091594,769.595014954141,109,hc,0.12643238712963267,0.13621823632889196
rostralmiddlefrontal,rh,0.20354538448143714,180.07557411369888,884.6949518038389,109,hc,0.196099907728916,0.21127801334402438
superiorfrontal,lh,0.10677409200878255,93.24438057881649,873.2865700337383,109,hc,0.10286840767283807,0.11083040813575891
superiorfrontal,rh,0.1650830951288855,158.5106460518834,960.1870253773061,109,hc,0.15904452859421447,0.1713545530122023
superiorparietal,lh,0.11860625701045356,89.2895492947941,752.8232619879777,109,hc,0.11426776448445175,0.1231120735809399
superiorparietal,rh,0.19083361661612866,123.83070169276256,648.8935434360823,109,hc,0.183853123004177,0.19808332918297078
superiortemporal,lh,0.09702891790279428,45.14268385280183,465.24979179945893,109,hc,0.09347970181809637,0.10071501775218279
superiortemporal,rh,0.10058690620071455,40.70011938205439,404.6264162935878,109,hc,0.09690754263453286,0.1044081729715999
supramarginal,lh,0.08549993214184612,59.53680927319931,696.3375032207808,109,hc,0.08237243426845511,0.08874804923727249
supramarginal,rh,0.14918938660721973,85.24731400350971,571.4033413646621,109,hc,0.14373219526614933,0.15485704721180535
temporalpole,lh,0.3756755117798063,25.139344057053545,66.91770761941066,109,hc,0.36193369544447634,0.3899473131903693
temporalpole,rh,0.34256443423039495,22.46372501224022,65.57518168138853,109,hc,0.33003378639575653,0.3555783556129621
transversetemporal,lh,0.1769496832764193,13.121815135984424,74.15562940277421,109,hc,0.17047704938910702,0.18367194932836062
transversetemporal,rh,0.22514042113317548,10.269062691077583,45.611812571866906,109,hc,0.2169050205817434,0.23369343904131776
