region,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
3rd-Ventricle,0.03793708311853575,22.034798618921602,580.8247974698819,109,hc,0.036549384394061454,0.03937830166855162
4th-Ventricle,0.07190202311508043,42.690129077779645,593.7263963971272,109,hc,0.06927192249685005,0.07463355967452912
5th-Ventricle,0.824380680690296,0.41289842502245855,0.5008589292470047,109,hc,0.7942256997314086,0.8556986585530977
Brain-Stem,0.08831689566434382,238.55895255863186,2701.1700395957787,109,hc,0.08508635621880963,0.0916720283695538
BrainSegVol,0.023931224974528268,2715.8659735593255,113486.29150618149,109,hc,0.02305584585619973,0.02484036512244443
BrainSegVol-to-eTIV,0.04537497506496289,0.0016969757526913278,0.03739893521179428,109,hc,0.04371520605151607,0.04709875692678401
BrainSegVolNotVent,0.024757255942150405,2720.2866665586675,109878.35941572387,109,hc,0.023851661477097295,0.025697776761841064
CC_Anterior,0.1933408256831022,31.67402160225517,163.82479742882077,109,hc,0.1862686209922213,0.20068578637971748
CC_Central,0.26600436285607887,33.70945149947119,126.72518276592939,109,hc,0.25627420216115654,0.27610978980562795
CC_Mid_Anterior,0.24069195679605823,30.40371722157017,126.31796104151364,109,hc,0.23188769737544088,0.24983577293738438
CC_Mid_Posterior,0.26688994835881874,29.867701259826212,111.91017662332769,109,hc,0.25712739387471856,0.2770290184392903
CC_Posterior,0.261821690781683,45.12906082538109,172.36563055813215,109,hc,0.25224452784582396,0.2717682192581097
CSF,0.14189063984323175,38.875012327795325,273.9786949353846,109,hc,0.13670042900625018,0.14728102322027561
CerebralWhiteMatterVol,0.033118980959981316,1829.721036644854,55246.90022485179,109,hc,0.03190752336081763,0.034377161236203616
CortexVol,0.025957151999925307,1192.9300427887063,45957.66295131835,109,hc,0.025007666595137232,0.026943256515419695
EstimatedTotalIntraCranialVol,0.0008089278669474552,137.4863824601061,169961.23891604872,109,hc,0.0007793381337134252,0.0008396587969935721
Left-Accumbens-area,0.2801973080072583,25.39241461483668,90.62333537543805,109,hc,0.2699479842596235,0.2908419207388909
Left-Amygdala,0.21105542922342116,50.46034650187834,239.08575433262854,109,hc,0.20333524290831628,0.21907336246114387
Left-Caudate,0.0828788853179615,35.972161523290865,434.0328828661862,109,hc,0.07984726258929176,0.08602742962095046
Left-Cerebellum-Cortex,0.06016115549010645,356.44136264442,5924.775874742583,109,hc,0.05796052349961665,0.062446659966341925
Left-Cerebellum-White-Matter,0.21301609755156561,408.8857077959591,1919.506142942923,109,hc,0.20522419204472472,0.22110851599828873
Left-Hippocampus,0.16753790993491674,76.20123093988511,454.82978132821944,109,hc,0.16140954884844777,0.17390262550555363
Left-Inf-Lat-Vent,0.11511064744637302,32.03277820395314,278.27815162690626,109,hc,0.11090002065317354,0.11948366684498338
Left-Lateral-Ventricle,0.012119911899361192,84.5281261070876,6974.318527145635,109,hc,0.011676578229481158,0.012580343762278534
Left-Pallidum,0.23308679161526,57.94669523604526,248.60565815198058,109,hc,0.22456072116314701,0.2419416897841565
Left-Putamen,0.12195989792286496,74.5585316242718,611.3364548027685,109,hc,0.1174987327284886,0.12659311831820408
Left-Thalamus,0.1632687563689074,151.45998869297628,927.6728264576899,109,hc,0.15729655644379142,0.1694712880601729
Left-VentralDC,0.15382418289726538,69.00302290331447,448.58371163524754,109,hc,0.1481974555673632,0.15966791803999847
Left-WM-hypointensities,,0.0,0.0,109,hc,,
Left-choroid-plexus,0.17620034663224166,41.5686517365948,235.91696912694067,109,hc,0.16975512269371426,0.18289414560703787
Left-non-WM-hypointensities,,0.0,0.0,109,hc,,
Left-vessel,0.1850234269999783,7.794495153184291,42.127071579888124,109,hc,0.17825546403235934,0.1920524121843872
MaskVol,0.017285270986518834,2622.4717460388515,151717.13235413985,109,hc,0.016652993896969347,0.01794193331108354
MaskVol-to-eTIV,0.034759865127668536,0.0016918225499258338,0.04867172365922555,109,hc,0.033488385706073355,0.0360803821073614
Optic-Chiasm,0.40324401171464175,14.363818469203498,35.620661564512325,109,hc,0.38849376855651924,0.41856313227143566
Right-Accumbens-area,0.23026232279217998,22.730478995623937,98.71558108157804,109,hc,0.22183956844823638,0.23900992022714698
Right-Amygdala,0.2202227721238473,49.473739449636895,224.6531499558738,109,hc,0.212167254017155,0.22858897000282272
Right-Caudate,0.15657486269557327,68.32748881065422,436.3886235270254,109,hc,0.15084751838266208,0.16252309534904247
Right-Cerebellum-Cortex,0.0579905946136188,357.8127749464665,6170.1863436736685,109,hc,0.05586935946421676,0.060193640125116306
Right-Cerebellum-White-Matter,0.2319901952360712,439.83576671943575,1895.9239474403767,109,hc,0.2235042371297574,0.24080343403335422
Right-Hippocampus,0.12607403895261232,57.993148142474105,459.99278379803553,109,hc,0.12146238279293298,0.1308635543469878
Right-Inf-Lat-Vent,0.11987103722117924,30.797662326853168,256.923298911872,109,hc,0.1154862803611568,0.12442490241722004
Right-Lateral-Ventricle,0.011570078545252691,74.52674257842449,6441.334195523114,109,hc,0.0111468572029806,0.012009622401918139
Right-Pallidum,0.23318541204591223,53.73988966966563,230.45991255698578,109,hc,0.22465573416184684,0.24204405677575605
Right-Putamen,0.1427840008625461,80.78683253962531,565.7975126876881,109,hc,0.1375611118161428,0.1482083227600839
Right-Thalamus,0.156785618374504,134.70359790008038,859.1578698138137,109,hc,0.15105056483982912,0.16274185757378606
Right-VentralDC,0.15117251106198124,70.31583496323766,465.1363827277297,109,hc,0.1456427791076078,0.15691550997716552
Right-WM-hypointensities,,0.0,0.0,109,hc,,
Right-choroid-plexus,0.19016032660009013,42.94535123456962,225.83759716023366,109,hc,0.18320446123099884,0.19738446107866375
Right-non-WM-hypointensities,,0.0,0.0,109,hc,,
Right-vessel,0.31409647005751545,9.048090609838027,28.806724915377735,109,hc,0.3026071505044334,0.3260289019138861
SubCortGrayVol,0.06433121441360973,347.02568533305305,5394.359309026774,109,hc,0.061978046039891745,0.06677513819310144
SupraTentorialVol,0.025213920703723143,2603.8760967555213,103271.36851711552,109,hc,0.024291621920492307,0.0261717900824335
SupraTentorialVolNotVent,0.026128437574530133,2605.035730667091,99701.16748222505,109,hc,0.02517268672301129,0.02712104917826584
SurfaceHoles,0.2827801707255804,6.392173893550744,22.604745860182426,109,hc,0.27243636856777087,0.293522905646791
