region,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
3rd-Ventricle,0.03793708311853575,22.034798618921602,580.8247974698819,109,hc,0.036549384394061454,0.03937830166855162
4th-Ventricle,0.07190202311508043,42.690129077779645,593.7263963971272,109,hc,0.06927192249685005,0.07463355967452912
5th-Ventricle,0.824380680690296,0.41289842502245855,0.5008589292470047,109,hc,0.7942256997314086,0.8556986585530977
Accumbensarea,0.20587967002896593,35.79139316511821,173.8461750987001,109,hc,0.19834880755855122,0.21370097770804575
Amygdala,0.16008066663186754,70.91420360129905,442.9904315952045,109,hc,0.15422508368670695,0.16616208373839333
Brain-Stem,0.08831689566434382,238.55895255863186,2701.1700395957787,109,hc,0.08508635621880963,0.0916720283695538
BrainSegVol,0.023931224974528268,2715.8659735593255,113486.29150618149,109,hc,0.02305584585619973,0.02484036512244443
BrainSegVol-to-eTIV,0.04537497506496289,0.0016969757526913278,0.03739893521179428,109,hc,0.04371520605151607,0.04709875692678401
BrainSegVolNotVent,0.024757255942150405,2720.2866665586675,109878.35941572387,109,hc,0.023851661477097295,0.025697776761841064
CC_Anterior,0.1933408256831022,31.67402160225517,163.82479742882077,109,hc,0.1862686209922213,0.20068578637971748
CC_Central,0.26600436285607887,33.70945149947119,126.72518276592939,109,hc,0.25627420216115654,0.27610978980562795
CC_Mid_Anterior,0.24069195679605823,30.40371722157017,126.31796104151364,109,hc,0.23188769737544088,0.24983577293738438
CC_Mid_Posterior,0.26688994835881874,29.867701259826212,111.91017662332769,109,hc,0.25712739387471856,0.2770290184392903
CC_Posterior,0.261821690781683,45.12906082538109,172.36563055813215,109,hc,0.25224452784582396,0.2717682192581097
CSF,0.14189063984323175,38.875012327795325,273.9786949353846,109,hc,0.13670042900625018,0.14728102322027561
Caudate,0.09793412020724424,80.61355601340458,823.1406566252234,109,hc,0.09435179277132959,0.10165460842404135
CerebellumCortex,0.043324842632723445,518.2082669567055,11960.99594289814,109,hc,0.04174006531413975,0.044970740570730486
CerebellumWhiteMatter,0.18517240720564052,689.8356154865074,3725.3693781731777,109,hc,0.17839899469830012,0.19220705210393185
CerebralWhiteMatterVol,0.033118980959981316,3659.442073289708,110493.80044970359,109,hc,0.03190752336081763,0.034377161236203616
CortexVol,0.025957151999950457,2385.860085579542,91915.32590262969,109,hc,0.025007666595161463,0.0269432565154458
EstimatedTotalIntraCranialVol,0.0008089278669474552,137.4863824601061,169961.23891604872,109,hc,0.0007793381337134252,0.0008396587969935721
Hippocampus,0.11075831855687951,97.93423110732492,884.2155820290028,109,hc,0.10670689539115902,0.11496599427021736
InfLatVent,0.08977388772888671,44.13075501643264,491.5767394379268,109,hc,0.08649005304124815,0.093184371131041
LateralVentricle,0.008311422071342838,108.64363516284479,13071.606065758579,109,hc,0.008007398966273522,0.008627170533838048
MaskVol,0.017285270986518834,2622.4717460388515,151717.13235413985,109,hc,0.016652993896969347,0.01794193331108354
MaskVol-to-eTIV,0.034759865127668536,0.0016918225499258338,0.04867172365922555,109,hc,0.033488385706073355,0.0360803821073614
Optic-Chiasm,0.40324401171464175,14.363818469203498,35.620661564512325,109,hc,0.38849376855651924,0.41856313227143566
Pallidum,0.16722345836488303,75.74624084851817,452.964204838051,109,hc,0.16110659958715196,0.17357622801352066
Putamen,0.10040146579836148,112.92658646902206,1124.7503766111847,109,hc,0.09672888544766864,0.10421568774329229
SubCortGrayVol,0.06433121441360973,347.02568533305305,5394.359309026774,109,hc,0.061978046039891745,0.06677513819310144
SupraTentorialVol,0.025213920703723143,2603.8760967555213,103271.36851711552,109,hc,0.024291621920492307,0.0261717900824335
SupraTentorialVolNotVent,0.026128437574530133,2605.035730667091,99701.16748222505,109,hc,0.02517268672301129,0.02712104917826584
SurfaceHoles,0.2827801707255804,12.784347787101488,45.20949172036485,109,hc,0.27243636856777087,0.293522905646791
Thalamus,0.12596656168755016,219.6407286508732,1743.6431201136872,109,hc,0.1213588369335398,0.13075199405246266
TotalGrayVol,0.022893768048596913,1340.833778196123,58567.63182670134,109,hc,0.02205633801687352,0.023763495515210644
VentralDC,0.12850157072292434,114.908903573201,894.221782089871,109,hc,0.12380111799628814,0.1333833073301747
WM-hypointensities,0.10517533012480215,153.21814526113354,1456.7878710656128,109,hc,0.10132812682231525,0.10917090976138859
WMhypointensities,,0.0,0.0,109,hc,,
choroidplexus,0.14790952727514944,64.80320909245398,438.12734910512887,109,hc,0.1424991518465484,0.15352856640282742
non-WM-hypointensities,0.8742903908287352,0.47648397615683497,0.5449950967723417,109,hc,0.8423097650019598,0.9075044237955279
nonWMhypointensities,,0.0,0.0,109,hc,,
vessel,0.21077835848540724,11.821755055404372,56.08618996917952,109,hc,0.20306830712739776,0.21878576588786622
