region,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,0.024757255942150405,2720.2866665586675,109878.35941572387,109,hc,,0.023851661477097295,0.025697776761841064
MeanThickness,0.08867816213267139,0.007732771362653316,0.087200401730071,109,hc,,0.08543440793850386,0.09204701924399941
bankssts,0.14812486328137997,0.021240338415516022,0.1433948220776926,109,hc,,0.14270661108744498,0.1537520829601482
caudalanteriorcingulate,0.2310053435539814,0.03687031048611163,0.15960804161006675,109,hc,,0.22255541028960818,0.2397811681275929
caudalmiddlefrontal,0.15433178954492663,0.01854468596547866,0.1201611542259751,109,hc,,0.14868649449606477,0.160194808513842
cuneus,0.17837552006536161,0.022225212339018658,0.1245978838961464,109,hc,,0.17185073056326097,0.18515195323455594
eTIV,0.0008089278669474552,137.4863824601061,169961.23891604872,109,hc,,0.0007793381337134252,0.0008396587969935721
entoinalthickness,0.2920310572772952,0.08257659518279416,0.2827664836496632,109,hc,,0.28134886738872733,0.3031252306383238
frontalpole,0.2835981796585344,0.06399264375286662,0.225645467223791,109,hc,,0.2732244555916175,0.2943719904967987
fusiform,0.18284163425019337,0.0212074925841749,0.11598831235097906,109,hc,,0.17615347897381106,0.1897877337743248
inferiorparietal,0.1339442790989673,0.014802896252880234,0.1105153303482475,109,hc,,0.12904473780646744,0.13903278258519386
inferiortemporal,0.16507751476474636,0.021481749158998534,0.1301312852305318,109,hc,,0.1590391523539447,0.1713487606516825
insula,0.3031627731587545,0.041658425023530024,0.1374127324060172,109,hc,,0.29207339677454475,0.31467983710870207
isthmuscingulate,0.22437483619019943,0.030181314820444033,0.1345129219163407,109,hc,,0.2161674399332864,0.2328987697531383
lateraloccipital,0.12675385973545386,0.01502778536904539,0.11855879892264948,109,hc,,0.1221173364443118,0.13156920131999414
lateralorbitofrontal,0.246586691617741,0.026970321125172367,0.10937460147679744,109,hc,,0.2375668089778159,0.2559544469888147
lingual,0.21377804403465753,0.024205025373920858,0.11322502964802483,109,hc,,0.20595826732434533,0.22189940860257085
medialorbitofrontal,0.251013410571723,0.028965536307446155,0.1153943777006676,109,hc,,0.2418316031937559,0.2605493356845834
middletemporal,0.14186838371712956,0.01783850671459453,0.12573983185825682,109,hc,,0.1366789869859059,0.1472579215905355
paracentral,0.16882864541405596,0.025033877399294493,0.14827979776712868,109,hc,,0.1626530705770612,0.17524239564320593
parahippocampal,0.13734916701201627,0.029429122537924103,0.21426502379406084,109,hc,,0.1323250784895896,0.14256702118146952
parsopercularis,0.1510439500626613,0.019036470958004086,0.12603266102420332,109,hc,,0.1455189207348503,0.15678206498356356
parsorbitalis,0.22757537632411953,0.03378487225826687,0.14845574597732164,109,hc,,0.21925090766478716,0.23622089745868755
parstriangularis,0.18088625329892094,0.02151916396573182,0.1189651705050833,109,hc,,0.17426962380757233,0.18775806847993312
pericalcarine,0.23923154222653514,0.035300033486522525,0.1475559332936788,109,hc,,0.2304807032396659,0.24831987765096658
postcentral,0.19023104874348135,0.02165850958406335,0.11385370436173617,109,hc,,0.18327259643253505,0.1974578699353332
posteriorcingulate,0.22143867789809785,0.024965503652404197,0.11274229005238587,109,hc,,0.21333868323302763,0.22985106767726352
precentral,0.1751157839377266,0.026487917512911113,0.15125945198823743,109,hc,,0.16871023216543002,0.18176838069702547
precuneus,0.12248295444854065,0.013376991010568273,0.10921512361288127,109,hc,,0.11800265639486564,0.1271360456063513
rostralanteriorcingulate,0.2646981491445477,0.04599425434338613,0.1737611482816578,109,hc,,0.25501576837766354,0.27475395342212006
rostralmiddlefrontal,0.16492897495149839,0.016354720441938003,0.09916220267995682,109,hc,,0.15889604597132537,0.17119457785492945
superiorfrontal,0.12956032336557147,0.014682734136459319,0.11332739649800082,109,hc,,0.12482114257734064,0.1344822816720941
superiorparietal,0.09455080292906384,0.010309023734569404,0.10903158318289148,109,hc,,0.09109223369186871,0.09814275992466329
superiortemporal,0.11121018234200064,0.015453824954240353,0.13896052167881323,109,hc,,0.10714223047278734,0.11543502422668493
supramarginal,0.13340040362914832,0.014951890621880105,0.11208279896548289,109,hc,,0.12852075673109575,0.1384682454473823
temporalpole,0.29144670585158017,0.08367213685291428,0.287092408913774,109,hc,,0.28078589092548834,0.3025186798750414
transversetemporal,0.18134861970993976,0.033077401155232736,0.18239676270014507,109,hc,,0.17471507734005473,0.18823800005394517
