region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.024757255942150405,2720.2866665586675,109878.35941572387,109,hc,0.023851661477097295,0.025697776761841064
BrainSegVolNotVent,rh,0.024757255942150405,2720.2866665586675,109878.35941572387,109,hc,0.023851661477097295,0.025697776761841064
bankssts,lh,0.16228117394969932,78.32471496206352,482.648190518643,109,hc,0.15634509875402464,0.16844618767739908
bankssts,rh,0.18946108844744516,63.294127064196346,334.07454577013885,109,hc,0.18253080047684542,0.1966586590757269
caudalanteriorcingulate,lh,0.14984642036787793,58.82427990928106,392.56379808650416,109,hc,0.1443651954207247,0.15553904149040554
caudalanteriorcingulate,rh,0.12270709323367118,61.221815314726555,498.926457316871,109,hc,0.11821859641823952,0.12736869935753492
caudalmiddlefrontal,lh,0.13996604086810582,138.20083056737778,987.3882958339055,109,hc,0.13484622984374459,0.14528330930018607
caudalmiddlefrontal,rh,0.13806741923323793,144.87640336243513,1049.3163714293432,109,hc,0.13301705779762693,0.14331255959181596
cuneus,lh,0.11281426810051257,63.2035029133847,560.2438767503518,109,hc,0.10868764045609326,0.11710004872800321
cuneus,rh,0.10967809942520756,72.03842550660525,656.8168657565969,109,hc,0.1056661895427432,0.11384473793371384
eTIV,lh,0.0008089278669474552,137.4863824601061,169961.23891604872,109,hc,0.0007793381337134252,0.0008396587969935721
eTIV,rh,0.0008089278669474552,137.4863824601061,169961.23891604872,109,hc,0.0007793381337134252,0.0008396587969935721
entorhinal,lh,0.3109484812553008,126.50630741232759,406.84008779081637,109,hc,0.29957431183202293,0.3227613219495671
entorhinal,rh,0.3119768300908255,117.39715726337467,376.30088500225145,109,hc,0.30056504474533996,0.32382873745273766
frontalpole,lh,0.32490123625794826,52.940112234634206,162.94216927079822,109,hc,0.3130166896857584,0.33724413798170416
frontalpole,rh,0.37547519651791744,68.8577044201292,183.3881573502109,109,hc,0.3617407075048423,0.3897393880110183
fusiform,lh,0.1391000727947614,183.17181991355716,1316.8348242622599,109,hc,0.13401193797457908,0.14438444335625084
fusiform,rh,0.14709035787274627,185.99184625589578,1264.4734090374893,109,hc,0.14170994680200827,0.1526782769974799
inferiorparietal,lh,0.08358567845972842,148.8425504114505,1780.7183378090645,109,hc,0.08052820197898626,0.08676107362480806
inferiorparietal,rh,0.09207834885517789,201.44477454441233,2187.7539839604146,109,hc,0.08871021939570453,0.09557637805289648
inferiortemporal,lh,0.12247377648527624,196.69461274916708,1606.014106806069,109,hc,0.1179938141518746,0.12712651897498115
inferiortemporal,rh,0.1071027940359227,169.77582350558842,1585.1670820898,109,hc,0.10318508612446059,0.11117159745554256
insula,lh,0.21161964203537753,155.85244596022693,736.474386126087,109,hc,0.2038788174071731,0.2196590095506963
insula,rh,0.29461895843603225,213.2933824256894,723.9635343154596,109,hc,0.2838421058364219,0.30581144539549765
isthmuscingulate,lh,0.12308951111206756,58.132691886011116,472.2798178399122,109,hc,0.11858702585159893,0.12776564517785244
isthmuscingulate,rh,0.1466272241031077,58.96866588969231,402.16723906759483,109,hc,0.14126375398007987,0.15219754891312143
lateraloccipital,lh,0.08793033317794972,154.4227411300641,1756.1941999872768,109,hc,0.08471393378286755,0.09127078048880846
lateraloccipital,rh,0.08507873537432617,161.50190614377715,1898.2640660231634,109,hc,0.08196664443707766,0.08831085132932064
lateralorbitofrontal,lh,0.13424212948537093,107.9430389661889,804.0921235382519,109,hc,0.12933169313802445,0.1393419482195482
lateralorbitofrontal,rh,0.2754849987223315,239.42386289928893,869.0994573559719,109,hc,0.265408046307611,0.28595059222010194
lingual,lh,0.08963798998780959,86.3228235515608,963.016055617717,109,hc,0.08635912629705454,0.09304331067503575
lingual,rh,0.11054908877596531,105.03368253652822,950.108985062605,109,hc,0.10650531901625893,0.11474881591190392
medialorbitofrontal,lh,0.22702124049618824,163.05071895366046,718.2179015377116,109,hc,0.2187170415444452,0.23564571017479832
medialorbitofrontal,rh,0.219498432946336,147.73262989768216,673.0463990774846,109,hc,0.21146941040730707,0.22783711339452026
middletemporal,lh,0.10788167276189742,170.2216394437938,1577.8550247314497,109,hc,0.10393547428327235,0.11198006555359895
middletemporal,rh,0.08846753305006799,139.59626258562872,1577.9377786721434,109,hc,0.08523148344690322,0.0918283884249401
paracentral,lh,0.14425341268775096,64.57374595140186,447.6410280232146,109,hc,0.13897677409742007,0.14973355710526162
paracentral,rh,0.14383956875769463,82.49409473957456,573.5146138997416,109,hc,0.13857806814442108,0.1493039913668906
parahippocampal,lh,0.20305966516188212,64.95189273451038,319.86604864501174,109,hc,0.19563195551280677,0.2107738416913984
parahippocampal,rh,0.23459490490409163,67.24173855854295,286.62915158380395,109,hc,0.22601366924908903,0.24350709585010014
parsopercularis,lh,0.09674954681763118,72.96781668932195,754.1928524674458,109,hc,0.09321054983431554,0.10042503344224918
parsopercularis,rh,0.19632351581591273,130.82649658571472,666.3822010420148,109,hc,0.18914220744724322,0.20378178802714617
parsorbitalis,lh,0.17823845037922464,59.16675464590024,331.9528110798515,109,hc,0.17171867474252905,0.18500967631164517
parsorbitalis,rh,0.1946802259617052,75.74740458484938,389.0862783349623,109,hc,0.18755902741295782,0.2020760700781498
parstriangularis,lh,0.11163999449775858,71.6915890317474,642.1676152374476,109,hc,0.10755632055053402,0.1158811648189219
parstriangularis,rh,0.17677689041957761,138.69462838748552,784.5744319763497,109,hc,0.17031057711379996,0.18349259212207192
pericalcarine,lh,0.12884244747557577,60.577851483291205,470.1699841178098,109,hc,0.12412952583472761,0.13373713388968542
pericalcarine,rh,0.13617171499578523,73.33728858476715,538.5647715976631,109,hc,0.13119069643358583,0.14134483811192466
postcentral,lh,0.09712209070892168,123.92261813654162,1275.9467720679743,109,hc,0.09356946646066479,0.1008117301656155
postcentral,rh,0.15475792095728724,195.45921055871764,1262.9997182028817,109,hc,0.14909703846814848,0.16063712853233028
posteriorcingulate,lh,0.14412542731900221,62.74757519909647,435.36783457517987,109,hc,0.13885347029927098,0.14960070961026573
posteriorcingulate,rh,0.11286263345640558,59.15331276206674,524.1177788476409,109,hc,0.10873423665797748,0.1171502514694399
precentral,lh,0.07616354831203892,120.53234297145192,1582.546318320621,109,hc,0.07337756557019727,0.07905697895137842
precentral,rh,0.18221740492958707,304.76940469030984,1672.5592421211334,109,hc,0.17555208330726504,0.18913979016673682
precuneus,lh,0.10609393276508572,138.76811504448455,1307.97408888354,109,hc,0.10221312794114717,0.11012440984386963
precuneus,rh,0.10539686375912216,138.7351511824102,1316.3119492765986,109,hc,0.10154155698856383,0.1094008593928541
rostralanteriorcingulate,lh,0.16515907073483269,89.40992123654823,541.3564077270588,109,hc,0.15911772509215447,0.17143341490891403
rostralanteriorcingulate,rh,0.1561421550312784,64.64127940819691,413.9899272893215,109,hc,0.15043063871104487,0.16207394924875693
rostralmiddlefrontal,lh,0.11939113889624024,244.3581109637854,2046.7022362199823,109,hc,0.1150239362137837,0.12392677289707126
rostralmiddlefrontal,rh,0.20521076008355335,492.7383451651069,2401.1330836866655,109,hc,0.1977043656376079,0.2130066560719503
superiorfrontal,lh,0.10182278159100072,253.20937476025344,2486.765444862219,109,hc,0.09809821099882415,0.10569099890187418
superiorfrontal,rh,0.1582476452327481,419.02698279191077,2647.91922922842,109,hc,0.15245911228849413,0.16425942639929578
superiorparietal,lh,0.1304907468988065,235.37378894479747,1803.7584621024976,109,hc,0.12571753219325374,0.13544805171974827
superiorparietal,rh,0.19014359743746556,318.6207541392161,1675.6848951698419,109,hc,0.183188344003603,0.19736709638010655
superiortemporal,lh,0.1032825217717416,153.38993097491232,1485.1489714194822,109,hc,0.09950455541425149,0.10720619417967969
superiortemporal,rh,0.10289416558752158,137.6911002300759,1338.1818050019183,109,hc,0.09913040489206931,0.10680308445905935
supramarginal,lh,0.08365717528669396,154.70333113211663,1849.2535828749512,109,hc,0.08059708352698387,0.08683528659505135
supramarginal,rh,0.14980283323401852,237.097331106413,1582.7292848061493,109,hc,0.14432320265852197,0.1554937984942421
temporalpole,lh,0.3830124447061675,154.20109390215435,402.60074061157866,109,hc,0.36900225105696627,0.39756297402526936
temporalpole,rh,0.3306812870959721,137.41449538784414,415.5496568753918,109,hc,0.3185853123243537,0.3432437712389078
transversetemporal,lh,0.14274508804546399,29.882087968699405,209.33881773348327,109,hc,0.1375236223891105,0.1481679316566075
transversetemporal,rh,0.1818709397816946,25.572676954783855,140.60892292897117,109,hc,0.1752182914912232,0.18878016291050523
