region,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
3rd-Ventricle,0.037660359661151915,23.37311130101146,620.6289985361374,103,hc,0.03624378339171879,0.039133161839790674
4th-Ventricle,0.06599851553629311,39.978400994526574,605.7469727867157,103,hc,0.06351601319782059,0.06857955189238095
5th-Ventricle,0.7488682701399059,0.3942342100798857,0.526439997259109,103,hc,0.7206999512508564,0.778154629317012
Brain-Stem,0.07354847683294498,197.64223303790382,2687.237609105357,103,hc,0.07078198634076907,0.07642477323291968
BrainSegVol,0.022996608533189668,2720.0148408169352,118278.95565084286,103,hc,0.022131602191809357,0.02389594819573469
BrainSegVol-to-eTIV,0.04750564591341403,0.0016856292100936184,0.03548271321614958,103,hc,0.045718743948841116,0.049363472536113305
BrainSegVolNotVent,0.02367518438897832,2726.6544707731664,115169.30242125275,103,hc,0.022784653743980907,0.024601061450734856
CC_Anterior,0.2214583707852539,37.32421081042919,168.53827054757,103,hc,0.2131283209518393,0.23011905204015876
CC_Central,0.24426294278559602,31.42396547182752,128.64810811441907,103,hc,0.23507510997238723,0.253815453636055
CC_Mid_Anterior,0.2683092184571904,30.47173963699569,113.56948453807058,103,hc,0.2582168965793229,0.27880211881842204
CC_Mid_Posterior,0.2913987075816766,33.84351766330941,116.14161896659532,103,hc,0.28043788570377265,0.30279457993234665
CC_Posterior,0.330715093930141,59.48896338105374,179.87979524641827,103,hc,0.31827540513747016,0.3436485315083135
CSF,0.13348493775512327,37.86077891808084,283.6333413702155,103,hc,0.1284639661857593,0.13870519876457937
CerebralWhiteMatterVol,0.03197228116326457,1874.725902654079,58635.975740389054,103,hc,0.0307696592238293,0.03322263686291767
CortexVol,0.025734865966611252,1239.9208449892374,48180.58297245172,103,hc,0.02476686139221658,0.026741292007244614
EstimatedTotalIntraCranialVol,0.00046160702733961083,75.91044004576817,164448.18980175487,103,hc,0.0004442439015857327,0.00047965932003298195
Left-Accumbens-area,0.26840845174749706,26.236534270844217,97.74853995851818,103,hc,0.25831239725726335,0.27890523287374186
Left-Amygdala,0.1962607398359061,50.67921009715616,258.22388186006594,103,hc,0.18887848674075794,0.20393600496381054
Left-Caudate,0.09954021029558605,44.62072761715559,448.2683679756524,103,hc,0.0957960532820097,0.10343297817949784
Left-Cerebellum-Cortex,0.08262712305962265,482.9778015593509,5845.269491119041,103,hc,0.0795191436672078,0.08585846253571365
Left-Cerebellum-White-Matter,0.24335487616695547,522.687485720152,2147.840610194136,103,hc,0.2342011998417517,0.25287187481024714
Left-Hippocampus,0.12768266687125324,61.21682733706339,479.44508708288805,103,hc,0.12287994492342413,0.13267601562401013
Left-Inf-Lat-Vent,0.10446529064100248,32.870374411704624,314.65354865727096,103,hc,0.100535879105028,0.10855066606047593
Left-Lateral-Ventricle,0.014435689411505312,111.14520992118469,7699.335082161122,103,hc,0.01389269791494933,0.015000233006062349
Left-Pallidum,0.21364767919960762,54.03867298005989,252.93358290858112,103,hc,0.20561142476399696,0.22200290390318053
Left-Putamen,0.1276654641749334,79.3279734571326,621.3737910233386,103,hc,0.12286338929823151,0.13265814017339783
Left-Thalamus,0.16202844817511716,147.3396627149727,909.3444044821739,103,hc,0.15593382622452784,0.1683649742630486
Left-VentralDC,0.15579259470494408,71.17671497262465,456.8684096148882,103,hc,0.14993253137580684,0.16188525220906014
Left-WM-hypointensities,,0.0,0.0,103,hc,,
