region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.02367518438897832,2726.6544707731664,115169.30242125275,103,hc,0.022784653743980907,0.024601061450734856
BrainSegVolNotVent,rh,0.02367518438897832,2726.6544707731664,115169.30242125275,103,hc,0.022784653743980907,0.024601061450734856
MeanThickness,lh,0.09995263470998067,0.009035355241607621,0.09039636891838135,103,hc,0.0961929645509213,0.10386153147798995
MeanThickness,rh,0.08648385335575223,0.007526876723340469,0.08703216185775839,103,hc,0.08323080491290193,0.08986601987740704
bankssts,lh,0.1543536038541609,0.02277356242732059,0.14754150119382967,103,hc,0.14854766747201756,0.16038998603644936
bankssts,rh,0.1319868934495797,0.02022906315838353,0.15326569653759775,103,hc,0.12702227009443584,0.1371485697047543
caudalanteriorcingulate,lh,0.20853879004381415,0.0400504178147951,0.1920526047282641,103,hc,0.2006947040103743,0.21669421891041746
caudalanteriorcingulate,rh,0.2207655857678343,0.03475014584567585,0.15740744067882237,103,hc,0.21246159470880013,0.22939917393886622
caudalmiddlefrontal,lh,0.13766584601279963,0.015918281794684876,0.11562985486759626,103,hc,0.13248761159529004,0.1430496118545515
caudalmiddlefrontal,rh,0.15132823501056306,0.018211677514959657,0.12034553574016402,103,hc,0.14563609641868733,0.15724630260785744
cuneus,lh,0.18426516329337744,0.023013333797755824,0.12489248312832299,103,hc,0.17733411802580196,0.19147131151892555
cuneus,rh,0.17758322863430384,0.022906319265331293,0.12898920377499246,103,hc,0.17090352111700774,0.18452806315993112
eTIV,lh,0.00046160702733961083,75.91044004576817,164448.18980175487,103,hc,0.0004442439015857327,0.00047965932003298195
eTIV,rh,0.00046160702733961083,75.91044004576817,164448.18980175487,103,hc,0.0004442439015857327,0.00047965932003298195
entorhinal,lh,0.3037494944249644,0.08411050246162204,0.27690746488600315,103,hc,0.2923241036553014,0.315628375061651
entorhinal,rh,0.2713161209234569,0.07986940601025007,0.2943776644690517,103,hc,0.2611106958592009,0.28192661369599625
frontalpole,lh,0.28412885177666936,0.06856119250167458,0.24130316957591122,103,hc,0.27344148201946294,0.29524041830646197
frontalpole,rh,0.2636001889022751,0.06410486391293947,0.24318974952140554,103,hc,0.25368499490049723,0.27390893093230234
fusiform,lh,0.18249906317977588,0.02223141544551266,0.12181660036036991,103,hc,0.17563444891638838,0.18963614366092615
fusiform,rh,0.16509511393170204,0.019984894220703195,0.12105079153929849,103,hc,0.1588851408273758,0.17155156962328286
inferiorparietal,lh,0.1338534161222992,0.016435053796035052,0.12278396974955552,103,hc,0.12881858441682828,0.1390880873962042
inferiorparietal,rh,0.1358300939320756,0.014223090231841037,0.10471236395488,103,hc,0.13072091044391226,0.1411420681157483
inferiortemporal,lh,0.17347176180592475,0.02415878578375128,0.13926638855942122,103,hc,0.1669467051308948,0.18025580717933146
inferiortemporal,rh,0.17066587922766038,0.021708904159143748,0.12720119720114104,103,hc,0.16424636447286028,0.1773401935732316
insula,lh,0.2807426885051701,0.03969023202624593,0.14137583506654708,103,hc,0.27018268764666753,0.2917218306851062
insula,rh,0.29518499967486655,0.04105460761683236,0.13908094131494564,103,hc,0.2840817582455666,0.30672894440970894
isthmuscingulate,lh,0.20669458895457776,0.029417994015896846,0.14232590298898248,103,hc,0.19891987165586536,0.21477789574357709
isthmuscingulate,rh,0.2165336574865432,0.0328716486889235,0.1518084951341403,103,hc,0.2083888483692419,0.22500174556016214
lateraloccipital,lh,0.1278694898389355,0.016272411213202574,0.12725796617863505,103,hc,0.12305974063526008,0.1328701447692302
lateraloccipital,rh,0.13658351684941442,0.016881701031699222,0.12359984148242116,103,hc,0.1314459937215038,0.14192495551308884
lateralorbitofrontal,lh,0.2125719651367145,0.024316497870951546,0.11439183833725451,103,hc,0.2045761731668875,0.22088512136219332
