region,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,0.02367518438897832,2726.6544707731664,115169.30242125275,103,hc,,0.022784653743980907,0.024601061450734856
MeanThickness,0.09371546378384156,0.008315392881590469,0.08873021106495564,103,hc,,0.09019040180170518,0.09738044044563805
bankssts,0.1431815548057511,0.021538919911371347,0.15043082847223144,103,hc,,0.1377958496615809,0.1487810261797944
caudalanteriorcingulate,0.2135359859310011,0.037494056885294495,0.17558659596331355,103,hc,,0.20550393278383236,0.2218868425910709
caudalmiddlefrontal,0.1449307813959148,0.017103463000279845,0.11801125223742114,103,hc,,0.13947927993700462,0.150598660633189
cuneus,0.1808472330538123,0.022959888880090623,0.12695736889299686,103,hc,,0.17404475158412694,0.18791971460308438
eTIV,0.00046160702733961083,75.91044004576817,164448.18980175487,103,hc,,0.0004442439015857327,0.00047965932003298195
entoinalthickness,0.28699871463657406,0.08201737206463243,0.28577609543823523,103,hc,,0.27620339637169417,0.29822251430249425
frontalpole,0.2739769128740763,0.06637044031249216,0.24224829609273307,103,hc,,0.26367140340358886,0.2846914625440281
fusiform,0.17406960523490148,0.02113802059942788,0.12143429963492353,103,hc,,0.16752206096756106,0.18087703076486017
inferiorparietal,0.1346892543136714,0.015368918130786858,0.11410649059645778,103,hc,,0.12962298295765978,0.1399566131221703
inferiortemporal,0.17220127447267078,0.0229665348968458,0.1333702957029549,103,hc,,0.16572400656607256,0.17893563427405468
insula,0.2879362146058928,0.04037818300065833,0.14023308271911958,103,hc,,0.2771056327317144,0.29919667754347873
isthmuscingulate,0.21198784921352543,0.03119265666344684,0.14714360648108626,103,hc,,0.20401402848249786,0.22027816213076207
lateraloccipital,0.1321712311039127,0.01657985519260098,0.1254422392386278,103,hc,,0.12719967397678578,0.13734011634225554
lateralorbitofrontal,0.234464181505834,0.027317361056403037,0.11650974098030116,103,hc,,0.22564492437335804,0.24363348738717844
lingual,0.22705410369709672,0.026302540079577663,0.11584261042322658,103,hc,,0.21851357306837577,0.23593362002680687
medialorbitofrontal,0.24174509445203982,0.029302582298327592,0.12121272766567338,103,hc,,0.2326519692898317,0.2511991385713122
middletemporal,0.1447211920377027,0.01894936632036125,0.1309370525045466,103,hc,,0.13927757418144102,0.15038087476102505
paracentral,0.17256920911359266,0.02555511287151803,0.1480861678788626,103,hc,,0.16607810152288835,0.17931795791565583
parahippocampal,0.13430567106804833,0.028994996091687663,0.21588809959481783,103,hc,,0.12925382801086313,0.13955802889819954
parsopercularis,0.1600630790434882,0.020223967952926945,0.12634998697877234,103,hc,,0.15404238350511565,0.16632274447568146
parsorbitalis,0.21322637842407752,0.03367402116275401,0.15792615065562424,103,hc,,0.20520597101399396,0.22156512711133922
parstriangularis,0.18784385702354794,0.02201748931414031,0.11721165473822344,103,hc,,0.18077820091690078,0.1951899589821432
pericalcarine,0.2579534749731303,0.03656102472241171,0.14173495715155643,103,hc,,0.24825067939304238,0.26804138818867407
postcentral,0.15071948415022024,0.0173460754375274,0.11508847403059567,103,hc,,0.14505024342842643,0.15661374502868805
posteriorcingulate,0.2049446288527204,0.024789331494359954,0.1209562389272194,103,hc,,0.1972357354594367,0.21295949909268685
precentral,0.1257819214973631,0.018481331031989165,0.14693153683756222,103,hc,,0.12105069517026394,0.1307009368674096
precuneus,0.12411993569781632,0.013802311990416921,0.11120141106115437,103,hc,,0.11945122416518425,0.1289739549730708
rostralanteriorcingulate,0.2568904382459948,0.0467187212699825,0.18186243750047748,103,hc,,0.24722762827981878,0.2669367787622392
rostralmiddlefrontal,0.15440405235976712,0.016252462098766594,0.10525929760507684,103,hc,,0.14859621838141085,0.1604424074565374
superiorfrontal,0.13415286962455786,0.015042570659260174,0.1121300699817941,103,hc,,0.12910677411999114,0.13939925177362433
superiorparietal,0.10424485538387442,0.011772701997529236,0.1129331702190682,103,hc,,0.10032373541380647,0.10832161013350117
superiortemporal,0.10066471297665802,0.014968851901837655,0.1487000902223663,103,hc,,0.0968782583369503,0.10460145733911302
supramarginal,0.14295796282481965,0.01628059250481051,0.11388377522391467,103,hc,,0.13758066798519974,0.14854869007746835
temporalpole,0.3128615069095298,0.08910644908260305,0.2848111612157196,103,hc,,0.30109337218392607,0.32509673549296464
transversetemporal,0.1757024037522895,0.03218400165701432,0.1831733713921654,103,hc,,0.1690934425560268,0.18257368393566425
