region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.02367518438897832,2726.6544707731664,115169.30242125275,103,hc,0.022784653743980907,0.024601061450734856
BrainSegVolNotVent,rh,0.02367518438897832,2726.6544707731664,115169.30242125275,103,hc,0.022784653743980907,0.024601061450734856
bankssts,lh,0.1615808470370156,79.48211291440555,491.90305888294705,103,hc,0.15550306138740988,0.1678998685674418
bankssts,rh,0.18679740809621412,61.1695420555039,327.4646189094721,103,hc,0.17977111366138773,0.19410258606274242
caudalanteriorcingulate,lh,0.1585625386682458,65.58622439560384,413.63000962558584,103,hc,0.15259828523255148,0.16476352173113412
caudalanteriorcingulate,rh,0.1192669121467825,60.569801480454174,507.85083968561673,103,hc,0.11478074475497249,0.1239311418469172
caudalmiddlefrontal,lh,0.09456508367420523,92.30042078653365,976.051806864849,103,hc,0.0910080636495659,0.09826328683826567
caudalmiddlefrontal,rh,0.12991546798297998,140.07984642929,1078.2384007394842,103,hc,0.12502876029795415,0.134996135985245
cuneus,lh,0.11955001544242702,65.70501053390558,549.6026938243922,103,hc,0.1150531992566592,0.12422531660216424
cuneus,rh,0.11670386609431103,77.367907425029,662.9421116392687,103,hc,0.11231410644390505,0.12126786149387091
eTIV,lh,0.00046160702733961083,75.91044004576817,164448.18980175487,103,hc,0.0004442439015857327,0.00047965932003298195
eTIV,rh,0.00046160702733961083,75.91044004576817,164448.18980175487,103,hc,0.0004442439015857327,0.00047965932003298195
entorhinal,lh,0.3573369246135983,142.39747818125986,398.49640037966844,103,hc,0.34389586849638876,0.37131147519713575
entorhinal,rh,0.335232471264599,116.44613443795139,347.359353342715,103,hc,0.3226228635016994,0.34834257213647835
frontalpole,lh,0.32613098225700976,57.38951368330779,175.9707504210121,103,hc,0.31386372261453865,0.3388851467289226
frontalpole,rh,0.3338586210602974,67.298569751999,201.57804982919512,103,hc,0.3213006900103841,0.34691499409759885
fusiform,lh,0.1425431266035988,188.5325852030512,1322.635399512075,103,hc,0.13718143562841276,0.14811763065243613
fusiform,rh,0.1392693576651266,180.41824729826456,1295.4626223815903,103,hc,0.13403080793000233,0.14471583282448108
inferiorparietal,lh,0.07927110803089227,143.7091576813866,1812.8819093254326,103,hc,0.07628936352556652,0.08237120217926121
inferiorparietal,rh,0.06921047693417515,154.53600913055342,2232.8412687797236,103,hc,0.06660715821647753,0.07191712504190496
inferiortemporal,lh,0.12287046885100188,209.37288578625578,1704.013077708286,103,hc,0.11824875541133986,0.12767562461271895
inferiortemporal,rh,0.10054663064403369,161.6224571515766,1607.4378237871574,103,hc,0.09676461761433022,0.10447875710272163
insula,lh,0.2058678285708317,155.3551642206893,754.6354634388014,103,hc,0.19812420946530332,0.21391880283551767
insula,rh,0.27147791299216006,201.78966074718997,743.3004715673403,103,hc,0.2612664021972533,0.2820947330465793
isthmuscingulate,lh,0.13800291536330284,64.6110200613501,468.1859067343384,103,hc,0.13281200224470352,0.14339986314166497
isthmuscingulate,rh,0.14169002539187242,56.8024565836353,400.8924158672187,103,hc,0.13636042340741375,0.14723116679270173
lateraloccipital,lh,0.09795620647984105,175.63474782985756,1792.9925437241427,103,hc,0.09427163100601273,0.1017870279486949
lateraloccipital,rh,0.08710342902445953,168.4530162998656,1933.9424197933963,103,hc,0.08382707554158024,0.09050982559603722
lateralorbitofrontal,lh,0.11655726384447417,94.45401503343976,810.3657542911488,103,hc,0.11217301856700654,0.12111552599785966
lateralorbitofrontal,rh,0.24891980224729598,223.4863462505444,897.8246978860924,103,hc,0.23955680391089826,0.2586544311875055
lingual,lh,0.1027950806394801,103.32823906753472,1005.1866142303492,103,hc,0.09892849324736443,0.1068151383362563
lingual,rh,0.11672103628645349,111.36532256922919,954.1152658713512,103,hc,0.11233063078754926,0.12128570316914901
