region,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,0.02367518438897832,2726.6544707731664,115169.30242125275,103,hc,,0.022784653743980907,0.024601061450734856
bankssts,0.1697234315740317,70.91938785909807,417.8526630140855,103,hc,,0.1633393665332897,0.17636088915641726
caudalanteriorcingulate,0.13630327225652583,63.127861051409496,463.14266712982095,103,hc,,0.1311762903938473,0.1416337512572902
caudalmiddlefrontal,0.11534319242852617,118.62067916898943,1028.415086070157,103,hc,,0.11100461386196368,0.11985397529487034
cuneus,0.11787150444642339,71.77374697125859,608.9151683296127,103,hc,,0.11343782464241918,0.1224811632523959
eTIV,0.00046160702733961083,75.91044004576817,164448.18980175487,103,hc,,0.0004442439015857327,0.00047965932003298195
entoinalvolume,0.34796541942129205,130.0706423792929,373.803358378588,103,hc,,0.33487686795310173,0.3615734739493341
frontalpole,0.3305387017213373,62.54060189777216,189.20810656083898,103,hc,,0.31810564783654716,0.3434652410427816
fusiform,0.14094971734539086,184.52002552775068,1309.1195144123117,103,hc,,0.1356479616911359,0.14646190715591323
inferiorparietal,0.07337294524195187,149.22080974095422,2033.7306789156314,103,hc,,0.07061305728593266,0.07624237704180166
inferiortemporal,0.11291023561402878,187.02783744429294,1656.42943199257,103,hc,,0.10866317154491087,0.11732587164350879
insula,0.24042448447893564,180.07539286990792,748.9894103763168,103,hc,,0.2313810334240889,0.24982688285549556
isthmuscingulate,0.13957456292515122,60.832158383966444,435.83986300274876,103,hc,,0.1343245330413362,0.14503297389648256
lateraloccipital,0.09227873405463904,172.0813519033664,1864.799660141366,103,hc,,0.0888077139684986,0.09588752382139992
lateralorbitofrontal,0.20060824685920955,171.56297373902603,855.2139626614253,103,hc,,0.19306246438367794,0.20845353207914655
lingual,0.10961608115169778,107.42197182081996,979.9836911899688,103,hc,,0.10549292511429204,0.11390289106500294
medialorbitofrontal,0.20945140831481357,146.6736797608148,700.2754526260267,103,hc,,0.20157299458515995,0.21764252739228812
middletemporal,0.09545634625988647,155.62595757343865,1630.3364173371592,103,hc,,0.09186580182283925,0.09918940446754557
paracentral,0.12850835589154574,66.54600429086565,517.834064790518,103,hc,,0.12367457604935234,0.13353399527027932
parahippocampal,0.20600813932299392,64.91831985215872,315.12502401846973,103,hc,,0.19825924249617854,0.21406460078916523
parsopercularis,0.10731771298525276,77.47338197158436,721.9067553389857,103,hc,,0.10328100895819159,0.11151463948604379
parsorbitalis,0.19044810890845687,70.5063520250305,370.21292796832626,103,hc,,0.18328449512288733,0.19789605662435045
parstriangularis,0.11323659923318952,80.15084574219381,707.8174926212522,103,hc,,0.10897725915390417,0.11766499852498706
pericalcarine,0.13383886999943062,67.05976774183792,501.04852007584344,103,hc,,0.1288045854393575,0.13907297241096564
postcentral,0.08893545744200414,113.0603482769351,1271.2629082800086,103,hc,,0.08559019309357362,0.09241350004853649
posteriorcingulate,0.13565338711054356,67.77893849390618,499.647962631949,103,hc,,0.13055085036426695,0.14095845073377358
precentral,0.0810520403484821,131.94139314405706,1627.8602312388055,103,hc,,0.07800330693276719,0.08422178229153368
precuneus,0.07408991968392269,99.87782719875685,1348.0622954492158,103,hc,,0.07130306307998231,0.07698739055534969
rostralanteriorcingulate,0.15804693458122562,74.56348714107857,471.7806602111469,103,hc,,0.15210207534464856,0.16422775366189202
rostralmiddlefrontal,0.08987077588692177,208.2219118047823,2316.903462219728,103,hc,,0.08649032998618122,0.09338539645117386
superiorfrontal,0.08655432850994577,227.6542799837543,2630.189430186557,103,hc,,0.08329862917815246,0.0899392511380629
superiorparietal,0.07736057171285239,136.38348571401198,1762.958606617352,103,hc,,0.07445069110989976,0.08038594957925019
superiortemporal,0.10596850656674558,155.32834864395184,1465.7972795541507,103,hc,,0.10198255228855088,0.11011266898959125
supramarginal,0.07144353830290603,124.54718821038382,1743.2953513910404,103,hc,,0.06875622405856996,0.07423751583814245
temporalpole,0.33529868765599485,149.42206452925623,445.63867987028397,103,hc,,0.3226865891954614,0.34841137808480854
transversetemporal,0.15354531498988816,28.746769146643693,187.2200994770621,103,hc,,0.14776978200363053,0.1595500870226459
