region,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
3rd-Ventricle,0.3492841158915382,0.022061113791535213,0.06316094201771764,212,hc,0.3400851670348912,0.3587363559485666
4th-Ventricle,0.4613510620085083,0.030528127342307768,0.06617114353092085,212,hc,0.44920065312563234,0.473836029947971
5th-Ventricle,0.0,0.0,0.27358490566037735,212,hc,0.0,0.0
Accumbensarea,0.5295037398486547,0.05266410945581647,0.09945937203553873,212,hc,0.5155584225534829,0.5438330386413259
Amygdala,0.5518246566801751,0.028492346715851283,0.05163297139940014,212,hc,0.5372914827862497,0.5667579985844146
Brain-Stem,0.4364847982189691,0.013944795333619217,0.031947951888632795,212,hc,0.4249892816671457,0.4482968414992037
BrainSegVol,0.22505228857583678,0.003253275263551377,0.014455641771690349,212,hc,0.21912518110518575,0.23114259775457716
BrainSegVol-to-eTIV,0.12939412235957118,0.0032524629272676275,0.02513609480830522,212,hc,0.12598632378018765,0.13289575398513004
BrainSegVolNotVent,0.218973317541245,0.003354698936548852,0.015320126553396048,212,hc,0.21320630937400922,0.2248991191145593
CC_Anterior,0.8970607271586282,0.06137496831757817,0.06841785228072432,212,hc,0.8734352160775539,0.921336761919593
CC_Central,0.7231490477229049,0.08671545482795845,0.1199136680066347,212,hc,0.7041037753985212,0.7427187277773251
CC_Mid_Anterior,0.7322242412556303,0.07640434749269515,0.10434555862514971,212,hc,0.7129399593760637,0.7520395119451023
CC_Mid_Posterior,0.7205886446664062,0.09100348142639245,0.12629047390626336,212,hc,0.7016108046004549,0.7400890357287662
CC_Posterior,0.9077290527845717,0.09840271620217779,0.10840538363327165,212,hc,0.8838225744984226,0.9322937911259029
CSF,0.6260687756366354,0.04652324899886001,0.07431012503626547,212,hc,0.6095802656077014,0.643011293461766
Caudate,0.4895016672477654,0.015783318943294582,0.032243646956376396,212,hc,0.47660986771441965,0.5027484398796429
CerebellumCortex,0.352545397649204,0.007518465332327863,0.02132623311057664,212,hc,0.34326055778655096,0.3620858937037558
CerebellumWhiteMatter,0.5758076464719183,0.034723104497884245,0.060303305644930624,212,hc,0.5606428426627287,0.5913900100936732
CerebralWhiteMatterVol,0.23845218209262775,0.00555380655145828,0.023291070363536788,212,hc,0.23217216726221648,0.2449051158640612
CortexVol,0.1520109989271604,0.003544534018713066,0.023317615460257003,212,hc,0.1480075491819307,0.15612468285321215
EstimatedTotalIntraCranialVol,0.0038149360233093147,9.756365432401866e-05,0.025574125942847616,212,hc,0.003714463657767505,0.003918174875160576
Hippocampus,0.5602413620985783,0.016293628635772786,0.029083230439715037,212,hc,0.5454865209739869,0.575402474795947
InfLatVent,0.5164621120997742,0.07143899052871475,0.1383237779791165,212,hc,0.5028602666695143,0.5304384815990472
LateralVentricle,0.1324423744506185,0.007108387218126704,0.053671547702258134,212,hc,0.12895429533796154,0.13602649711773354
MaskVol,0.12991423459556564,0.0021242544515403697,0.016351206302783982,212,hc,0.12649273803897404,0.13342994136937072
MaskVol-to-eTIV,0.0768835813916136,0.002128781706433843,0.027688378557584326,212,hc,0.07485873084456804,0.07896418578984876
Optic-Chiasm,0.797883321507168,0.2195667052737726,0.27518648323043066,212,hc,0.7768698040462274,0.8194754419307801
Pallidum,0.5454362456253861,0.027775651815152416,0.05092373680319946,212,hc,0.5310713206265422,0.5601967059351713
Putamen,0.5849277236273097,0.020766231360838064,0.03550221766214213,212,hc,0.5695227281818444,0.6007568925135736
SubCortGrayVol,0.4299749638267914,0.008327290285059972,0.01936691897348351,212,hc,0.41865089404541744,0.44161083958435093
SupraTentorialVol,0.23437595338451767,0.003584737747120559,0.015294818838515533,212,hc,0.22820329247519208,0.24071857726631282
SupraTentorialVolNotVent,0.22787232583784556,0.0037120005864580345,0.01628982621215488,212,hc,0.2218709482318898,0.23403895016507825
SurfaceHoles,0.5814851199177926,0.3705502703204544,0.6372480698609122,212,hc,0.566170790878318,0.5972211259168736
Thalamus,0.5430874052236223,0.02056130697501413,0.037860032799964825,212,hc,0.5287843406465531,0.557784301797403
TotalGrayVol,0.1527987245493394,0.003000307392453368,0.01963568348690342,212,hc,0.1487745288057038,0.15693372571067654
VentralDC,0.5071612725524705,0.019520301942313203,0.03848933859651843,212,hc,0.4938043794215762,0.5208859450402471
WM-hypointensities,0.7092758795498421,0.888920315226993,1.2532786477825333,212,hc,0.6905959790207887,0.728470127370281
WMhypointensities,,,,212,hc,,
choroidplexus,0.5289520502519107,0.06331171285679611,0.11969272607345832,212,hc,0.5150212625736161,0.5432664193576361
non-WM-hypointensities,,0.0,,212,hc,,
nonWMhypointensities,,,,212,hc,,
vessel,0.7347176255662448,0.24469201319496037,0.33304225280614025,212,hc,0.7153676764727689,0.754600371603109
