region,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,0.218973317541245,0.003354698936548852,0.015320126553396048,212,hc,,0.21320630937400922,0.2248991191145593
bankssts,0.764063367485366,0.043871121633871545,0.05741817171297877,212,hc,,0.7439405519293392,0.7847402607068599
caudalanteriorcingulate,0.6610944600283831,0.04647736689112817,0.07030367020339685,212,hc,,0.6436834932808939,0.6789848342316587
caudalmiddlefrontal,0.5332100756714292,0.0276188937811075,0.05179739663833099,212,hc,,0.5191671461685214,0.5476396744042777
cuneus,0.5472858965092184,0.027960005207005558,0.051088481149147616,212,hc,,0.5328722580329821,0.5620964116121656
eTIV,0.0038149360233093147,9.756365432401866e-05,0.025574125942847616,212,hc,,0.003714463657767505,0.003918174875160576
entoinalvolume,0.6319868205024474,0.0960350378885578,0.15195734273731726,212,hc,,0.6153424494149221,0.6490894909889641
frontalpole,0.6375965696217649,0.07515263503538623,0.1178686313823305,212,hc,,0.6208044569310595,0.6548510497466906
fusiform,0.5211147840578235,0.026142024492681264,0.05016557828031321,212,hc,,0.5073904031630475,0.5352170630108998
inferiorparietal,0.4545012757017415,0.01785355984143637,0.039281649570445776,212,hc,,0.44253126675991084,0.46680087642418766
inferiortemporal,0.43807459218061945,0.025095055801614637,0.05728489222964995,212,hc,,0.4265372058938713,0.4499296580704805
insula,0.7876290188252456,0.034915339107436064,0.0443296758663267,212,hc,,0.766885564621235,0.808943639854648
isthmuscingulate,0.726048096753801,0.03205069319974389,0.04414403583322402,212,hc,,0.7069264733943865,0.7456962301535935
lateraloccipital,0.44703063717416003,0.01812357163957293,0.04054212425828012,212,hc,,0.4352573792971933,0.4591280693308764
lateralorbitofrontal,0.6798881369327073,0.033953909574934486,0.049940435390028154,212,hc,,0.6619822090209238,0.698287100956051
lingual,0.41877773440890986,0.019952722858664125,0.04764513778848987,212,hc,,0.40774856134933024,0.4301105935229519
medialorbitofrontal,0.7379721793915124,0.03922772664404428,0.05315610498540624,212,hc,,0.7185365164827564,0.7579429993562632
middletemporal,0.4949590616025304,0.019541633814032837,0.03948131336511515,212,hc,,0.4819235329693603,0.5083535208859907
paracentral,0.5749825479283143,0.024924191914958267,0.043347736387410636,212,hc,,0.5598394743924436,0.5905425829380596
parahippocampal,0.7612696928984428,0.046228356171913135,0.06072533374592154,212,hc,,0.7412204531750347,0.7818709843916147
parsopercularis,0.6310747586997302,0.02653244230413936,0.04204326339847112,212,hc,,0.6144544082003037,0.6481527471961022
parsorbitalis,0.6567867191898656,0.03902732176046179,0.059421606162501694,212,hc,,0.6394892036010702,0.6745605183796878
parstriangularis,0.5924693315392769,0.028976694286910423,0.04890834469292602,212,hc,,0.5768657159381197,0.6085025895471373
pericalcarine,0.5199487715579258,0.03860856184748577,0.07425454960072833,212,hc,,0.5062550994439525,0.5340194961701172
postcentral,0.38641754909618664,0.015432455358507947,0.03993725283596402,212,hc,,0.37624063262698626,0.39687468490662225
posteriorcingulate,0.6386135677801529,0.028360190898806124,0.044409001514620676,212,hc,,0.6217946708366838,0.6558955696568367
precentral,0.3751028450470945,0.013809225681659456,0.03681450531233826,212,hc,,0.3652239191796426,0.38525378514469827
precuneus,0.40585972114695723,0.015780654349463203,0.038882041077806795,212,hc,,0.3951707643695377,0.41684299619216697
rostralanteriorcingulate,0.6100808123720478,0.046838406469143924,0.07677410192107514,212,hc,,0.594013370607319,0.6265906679032917
rostralmiddlefrontal,0.5071247208850017,0.02173452866931822,0.0428583497791007,212,hc,,0.4937687904000005,0.520848404220625
superiorfrontal,0.4728964201243946,0.015175274528324246,0.03209006006924818,212,hc,,0.4604419460006226,0.4856938256797998
superiorparietal,0.4042690008053644,0.018270114292358152,0.045192963734447485,212,hc,,0.3936219381605486,0.41520922817148354
superiortemporal,0.4980704523114781,0.017487592109613113,0.03511067968086753,212,hc,,0.4849529802898101,0.5115491112781022
supramarginal,0.47326910157448876,0.018854938727963975,0.039839783888778464,212,hc,,0.4608048122961098,0.4860765925428023
temporalpole,0.5916863177646737,0.12075453008887838,0.20408538521741687,212,hc,,0.5761033240679745,0.6076983860480983
transversetemporal,0.5772547757345353,0.037507233718237186,0.06497518131488929,212,hc,,0.5620518594905968,0.5928763012092388
