region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.218973317541245,0.003354698936548852,0.015320126553396048,212,hc,0.21320630937400922,0.2248991191145593
BrainSegVolNotVent,rh,0.218973317541245,0.003354698936548852,0.015320126553396048,212,hc,0.21320630937400922,0.2248991191145593
bankssts,lh,0.7663355440388203,0.04705992833031731,0.061409037720340155,212,hc,0.7461528871245481,0.7870739263382827
bankssts,rh,0.7610171165822681,0.04043159374020893,0.05312836315927746,212,hc,0.7409745288550693,0.7816115729178574
caudalanteriorcingulate,lh,0.6854920434644156,0.05101816658953807,0.07442561452894013,212,hc,0.6674385278232243,0.7040426590155123
caudalanteriorcingulate,rh,0.6286279226516276,0.04144198286891225,0.06592450219854222,212,hc,0.612072013444098,0.6456396954781349
caudalmiddlefrontal,lh,0.5218741770307449,0.021907986149433133,0.04197944085695292,212,hc,0.5081297963226302,0.5359970064879841
caudalmiddlefrontal,rh,0.5386667351085525,0.03233646131320561,0.06003055174121555,212,hc,0.5244800958610372,0.553244000604825
cuneus,lh,0.5593556948767847,0.027073208164988614,0.048400701759105755,212,hc,0.5446241791973154,0.5744928398676068
cuneus,rh,0.537259226127735,0.02881952778944773,0.05364175501863936,212,hc,0.5231096558522706,0.551798401965292
eTIV,lh,0.0038149360233093147,9.756365432401866e-05,0.025574125942847616,212,hc,0.003714463657767505,0.003918174875160576
eTIV,rh,0.0038149360233093147,9.756365432401866e-05,0.025574125942847616,212,hc,0.003714463657767505,0.003918174875160576
entorhinal,lh,0.6948133324777834,0.10051989619861677,0.1446718010435283,212,hc,0.6765143259682395,0.7136161984387518
entorhinal,rh,0.5747320082542898,0.09133021117205836,0.1589092130947566,212,hc,0.5595955330764408,0.590285263221557
frontalpole,lh,0.6669122868239444,0.07414047884492016,0.11116975996648898,212,hc,0.6493480984190301,0.6849601016120617
frontalpole,rh,0.6131015320508749,0.07615133946405586,0.12420673490950739,212,hc,0.5969545348624336,0.6296931335483686
fusiform,lh,0.5157560485894168,0.026678548872768208,0.05172706931064317,212,hc,0.5021727984568696,0.5297133107732072
fusiform,rh,0.5271308349996285,0.025594255589784443,0.04855389571320084,212,hc,0.5132480119014579,0.5413959188301958
inferiorparietal,lh,0.49996757283433085,0.018120482126019712,0.03624331478798548,212,hc,0.4868001371473525,0.5134975712057067
inferiorparietal,rh,0.4176258813709198,0.01758258586056383,0.042101284055591444,212,hc,0.40662704418034984,0.4289275693239209
inferiortemporal,lh,0.46586940599530197,0.027195407350539103,0.05837560269156922,212,hc,0.4535999993871926,0.4784766482383482
inferiortemporal,rh,0.4059253853921291,0.022802049697572113,0.056173007449497256,212,hc,0.39523469924310184,0.41691043742684475
insula,lh,0.727309312315166,0.02906836105274359,0.03996698593094234,212,hc,0.70815447285196,0.7469915764174649
insula,rh,0.826395325008594,0.0399148117330127,0.048299900211315465,212,hc,0.8046308989031515,0.8487590301946979
isthmuscingulate,lh,0.7013960119641621,0.03035567624518127,0.043278940466419835,212,hc,0.6829236401935603,0.7203770167636657
isthmuscingulate,rh,0.7481349742971645,0.03366046328953237,0.044992500612813485,212,hc,0.7284316581332952,0.7683808172953943
lateraloccipital,lh,0.46023209625533434,0.018920296577057082,0.04111033700387598,212,hc,0.44811115710287974,0.4726867830212957
lateraloccipital,rh,0.43262384792965247,0.017290172798027973,0.03996583378556485,212,hc,0.4212300156017419,0.4443314071313892
lateralorbitofrontal,lh,0.5038691508045305,0.01988291178500464,0.039460466577994485,212,hc,0.4905989608994954,0.5175047327106211
lateralorbitofrontal,rh,0.7461989251371342,0.0437081888185198,0.058574446231596015,212,hc,0.7265465978857198,0.7663923752534945
lingual,lh,0.38387970399246085,0.01887174514628115,0.049160570225540705,212,hc,0.37376962568237826,0.3942681612685556
lingual,rh,0.4552543595001992,0.02097807269705989,0.046079894149922376,212,hc,0.4432645169071042,0.4675743399894948
medialorbitofrontal,lh,0.7953218504910203,0.04256726192109829,0.053522057635934275,212,hc,0.7743757934149162,0.8168446530217132
medialorbitofrontal,rh,0.6739474247593238,0.03557607746590873,0.052787615411711765,212,hc,0.6561979548854774,0.6921856227042295
middletemporal,lh,0.5277790393226396,0.022032834799854847,0.04174632404525226,212,hc,0.5138791447398386,0.5420616646977212
middletemporal,rh,0.4499269208830554,0.01668247868051412,0.037078196271901266,212,hc,0.43807738480018044,0.46210273155068654
paracentral,lh,0.5977862919506418,0.0251552242729886,0.04208063084033654,212,hc,0.5820426457993632,0.6139634362215625
paracentral,rh,0.5538725927873306,0.02469099789402987,0.04457884036069361,212,hc,0.5392854832614818,0.568861355430234
parahippocampal,lh,0.7212537774060055,0.04283889554536717,0.0593950380397834,212,hc,0.7022584200188361,0.7407721681254882
parahippocampal,rh,0.7961960378664931,0.049385735361211734,0.062027105150569445,212,hc,0.775226957685151,0.8177424974389804
parsopercularis,lh,0.614443765850232,0.021287527126379005,0.03464519995075961,212,hc,0.59826141881474,0.631071690545681
parsopercularis,rh,0.6394555672225364,0.03089954980398009,0.04832165264928683,212,hc,0.6226144948938854,0.656760355079158
parsorbitalis,lh,0.6737515619144688,0.038523363263784624,0.05717740105020354,212,hc,0.6560072503979905,0.6919844594676774
parsorbitalis,rh,0.6418030879524217,0.039524855096960416,0.06158408371492672,212,hc,0.6249001899576393,0.659171403832415
parstriangularis,lh,0.6228896791053886,0.02743316204048249,0.04404176688219133,212,hc,0.6064848956047184,0.639746165009196
parstriangularis,rh,0.5707956495196989,0.03044206372857735,0.05333268351675963,212,hc,0.5557628445662701,0.5862423797238375
pericalcarine,lh,0.5055919102384453,0.03744232277007775,0.07405641192403443,212,hc,0.4922763487427656,0.5192741130327727
pericalcarine,rh,0.5337735112678875,0.03974059085423346,0.07445215998043157,212,hc,0.5197157427986483,0.5482183575550109
postcentral,lh,0.4045142537999576,0.014756636278258243,0.036479891968295805,212,hc,0.39386073203017286,0.4154611181417482
postcentral,rh,0.37292528192909935,0.016079895600900958,0.043118276984927165,212,hc,0.36310370562563615,0.38301729335404333
posteriorcingulate,lh,0.6214458160854488,0.026576181274356916,0.04276508198536603,212,hc,0.6050790589978678,0.6382632285265564
posteriorcingulate,rh,0.6530917301115385,0.03003843279044318,0.045994201741481326,212,hc,0.6358915278960428,0.6707655364239654
precentral,lh,0.2922302944178728,0.010620524049276233,0.03634299472760851,212,hc,0.2845339480614079,0.30013855811810813
