region,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
3rd-Ventricle,0.051232818778413895,37.897960520081774,739.720386730887,178,pd_baseline & pd_followup,0.04976173869347928,0.052748150121518365
4th-Ventricle,0.06478816933013647,43.41031515133773,670.0346004551367,178,pd_baseline & pd_followup,0.06292786595598185,0.0667044321083555
5th-Ventricle,0.9163302415384903,0.3918609061253135,0.42764157326881524,178,pd_baseline & pd_followup,0.8900190761235872,0.943432867721198
Accumbensarea,0.2275425304368324,34.84426693201316,153.13298513961198,178,pd_baseline & pd_followup,0.22100895892968964,0.23427263696779516
Amygdala,0.1736830379857382,69.84091040009616,402.11704729526366,178,pd_baseline & pd_followup,0.16869596789348293,0.17882012311009374
Brain-Stem,0.08530572188646474,189.42409767078854,2220.5321458142894,178,pd_baseline & pd_followup,0.08285628514668841,0.0878288396301868
BrainSegVol,0.02815568923077042,2896.1926016782004,102863.4951160438,178,pd_baseline & pd_followup,0.02734723725228108,0.028988460087330664
BrainSegVol-to-eTIV,0.06531824080805924,0.001910276440101244,0.029245681091055135,178,pd_baseline & pd_followup,0.06344271715882789,0.0672501816993264
BrainSegVolNotVent,0.030355567143098408,2903.2051037474494,95639.95592839771,178,pd_baseline & pd_followup,0.029483948689227147,0.0312534045728248
CC_Anterior,0.21811156926356803,33.57004958095477,153.91228303157277,178,pd_baseline & pd_followup,0.21184879486450137,0.22456273289421413
CC_Central,0.25356073272767826,28.59254084329583,112.7640724796451,178,pd_baseline & pd_followup,0.24628008424627404,0.26106038890206534
CC_Mid_Anterior,0.2741299177375289,31.507658387742048,114.93695634458139,178,pd_baseline & pd_followup,0.2662586533354548,0.2822379560289014
CC_Mid_Posterior,0.25930231764274553,27.32503242404179,105.37905203643002,178,pd_baseline & pd_followup,0.251856807429625,0.2669717947207711
CC_Posterior,0.3179157345740165,53.81487448321241,169.27402022212064,178,pd_baseline & pd_followup,0.3087872205283235,0.3273188415775504
CSF,0.15448700818788677,50.915037505298436,329.5748820727739,178,pd_baseline & pd_followup,0.15005112574875606,0.1590563254964276
Caudate,0.09128990627429992,81.05597510736031,887.896355855711,178,pd_baseline & pd_followup,0.08866864189186362,0.09399002037274186
CerebellumCortex,0.05005012996618369,519.8030716445387,10385.648788439572,178,pd_baseline & pd_followup,0.048613009167500165,0.05153048050071577
CerebellumWhiteMatter,0.16491467217858846,638.8625645730684,3873.897671647038,178,pd_baseline & pd_followup,0.16017937367774432,0.16979241222195507
CerebralWhiteMatterVol,0.038978403553871326,3833.3707215562977,98346.01656423068,178,pd_baseline & pd_followup,0.037859192185497346,0.040131281689755625
CortexVol,0.033327072861245,2709.6120100648536,81303.63027518615,178,pd_baseline & pd_followup,0.032370131698444896,0.03431279957479934
EstimatedTotalIntraCranialVol,0.0006346649567915701,101.36746161594382,159718.0694021426,178,pd_baseline & pd_followup,0.0006164414235017066,0.0006534366684468639
Hippocampus,0.10699989924920164,82.97341659034029,775.4532216623502,178,pd_baseline & pd_followup,0.1039275439771581,0.1101646734097374
InfLatVent,0.06037288357236096,47.6883360176766,789.8966091377583,178,pd_baseline & pd_followup,0.05863935906968814,0.06215855386988012
LateralVentricle,0.00748611028202824,134.59461139926162,17979.245072354905,178,pd_baseline & pd_followup,0.007271156898394466,0.00770752963428675
MaskVol,0.018628551058481338,2658.434709825405,142707.54077865087,178,pd_baseline & pd_followup,0.018093657778612344,0.019179534353342177
MaskVol-to-eTIV,0.04948124930551216,0.0017925538766616351,0.0362269324606957,178,pd_baseline & pd_followup,0.04806046313433056,0.05094477385396431
Optic-Chiasm,0.4095681111778205,13.837696290726983,33.78606857582994,178,pd_baseline & pd_followup,0.3978079249115939,0.42168205319393576
Pallidum,0.15875783264010515,75.30421940300744,474.3338841978132,178,pd_baseline & pd_followup,0.15419931933763892,0.1634534696458177
Putamen,0.14276942715673338,145.57194850851928,1019.6297022941003,178,pd_baseline & pd_followup,0.13866999897699236,0.1469921693943481
SubCortGrayVol,0.06924289670131022,337.602750644703,4875.63008955278,178,pd_baseline & pd_followup,0.0672546819438704,0.07129091853888768
SupraTentorialVol,0.029831783550033398,2841.0713349244943,95236.38873818905,178,pd_baseline & pd_followup,0.028975204823253983,0.03071412884572344
SupraTentorialVolNotVent,0.032408218612408085,2844.9020452519376,87783.35147871145,178,pd_baseline & pd_followup,0.03147766108842879,0.03336676804631616
SurfaceHoles,0.3899165902363428,16.631400776516383,42.65373978171967,178,pd_baseline & pd_followup,0.37872067042636404,0.40144929221272707
Thalamus,0.12460393154575614,191.49185442416032,1536.80427293614,178,pd_baseline & pd_followup,0.12102610064415543,0.12828938644453838
TotalGrayVol,0.02897317814332906,1474.4858934799565,50891.410192756164,178,pd_baseline & pd_followup,0.028141253092547502,0.029830128160852478
VentralDC,0.13918723773914293,104.79576397046706,752.912161148492,178,pd_baseline & pd_followup,0.13519066721272513,0.14330402828347116
WM-hypointensities,0.08637086264181935,195.3681964886356,2261.968799580352,178,pd_baseline & pd_followup,0.08389084184693509,0.08892548443333523
WMhypointensities,,0.0,0.0,178,pd_baseline & pd_followup,,
choroidplexus,0.16041117224575793,71.18186573372803,443.74630979364616,178,pd_baseline & pd_followup,0.15580518556537687,0.16515571066632484
non-WM-hypointensities,0.9054474576268624,0.9039969825788514,0.9983980571862087,178,pd_baseline & pd_followup,0.8794487764176456,0.9322281998306143
nonWMhypointensities,,0.0,0.0,178,pd_baseline & pd_followup,,
vessel,0.21274318064814715,12.820500187778277,60.262802072992955,178,pd_baseline & pd_followup,0.206634552161186,0.21903556153513637
