region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.030355567143098408,2903.2051037474494,95639.95592839771,178,pd_baseline & pd_followup,0.029483948689227147,0.0312534045728248
BrainSegVolNotVent,rh,0.030355567143098408,2903.2051037474494,95639.95592839771,178,pd_baseline & pd_followup,0.029483948689227147,0.0312534045728248
MeanThickness,lh,0.1161681411268485,0.009077630000364026,0.07814216455828289,178,pd_baseline & pd_followup,0.11283253237077547,0.11960408764544736
MeanThickness,rh,0.10153133747309719,0.00809400045489696,0.07971923404477589,178,pd_baseline & pd_followup,0.09861600444800156,0.10453436603269549
bankssts,lh,0.17573682386954856,0.02421384080294622,0.13778467295460187,178,pd_baseline & pd_followup,0.1706907821340296,0.18093465455106783
bankssts,rh,0.16389119026528723,0.02132660760354399,0.13012662589748147,178,pd_baseline & pd_followup,0.1591852796430695,0.16873865841928085
caudalanteriorcingulate,lh,0.21287322382774948,0.04158523283955246,0.19535210719222237,178,pd_baseline & pd_followup,0.20676086132934302,0.21916945104821609
caudalanteriorcingulate,rh,0.2192716401728447,0.03840067466905879,0.17512832320125296,178,pd_baseline & pd_followup,0.21297555592957193,0.2257571156342853
caudalmiddlefrontal,lh,0.20116572774478578,0.02130149117694062,0.10589025981585352,178,pd_baseline & pd_followup,0.19538952993032122,0.2071156781804337
caudalmiddlefrontal,rh,0.15249916513457795,0.01915576283482137,0.12561224724028314,178,pd_baseline & pd_followup,0.14812036088082578,0.1570096873005583
cuneus,lh,0.21217912780876474,0.027560373736917686,0.12989201162970948,178,pd_baseline & pd_followup,0.20608669532504237,0.2184548255038652
cuneus,rh,0.22713638477460632,0.028737111725429074,0.1265191913393607,178,pd_baseline & pd_followup,0.22061447518280475,0.23385447859054556
eTIV,lh,0.0006346649567915701,101.36746161594382,159718.0694021426,178,pd_baseline & pd_followup,0.0006164414235017066,0.0006534366684468639
eTIV,rh,0.0006346649567915701,101.36746161594382,159718.0694021426,178,pd_baseline & pd_followup,0.0006164414235017066,0.0006534366684468639
entorhinal,lh,0.35428640963826535,0.09511323047782258,0.2684642365337564,178,pd_baseline & pd_followup,0.344113561569218,0.3647652650626132
entorhinal,rh,0.3238611849342838,0.09455544184062993,0.2919628724875339,178,pd_baseline & pd_followup,0.31456195544037807,0.33344014264239735
frontalpole,lh,0.3861425128505325,0.08097429935750644,0.2097005552684375,178,pd_baseline & pd_followup,0.37505496049355846,0.39756358759479526
frontalpole,rh,0.33126759676580614,0.07750161115787005,0.23395469980923247,178,pd_baseline & pd_followup,0.3217557023199036,0.34106561655669887
fusiform,lh,0.2521431272913335,0.02526572112142562,0.10020388575665153,178,pd_baseline & pd_followup,0.24490318340466807,0.25960085444442
fusiform,rh,0.24695453935746728,0.025295584489023252,0.10243012562084487,178,pd_baseline & pd_followup,0.23986357865307523,0.2542588017957457
inferiorparietal,lh,0.1491675941598188,0.01534581184647172,0.10287631125853079,178,pd_baseline & pd_followup,0.14488445139472514,0.15357957726353003
