region,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,0.030355567143098408,2903.2051037474494,95639.95592839771,178,pd_baseline & pd_followup,,0.029483948689227147,0.0312534045728248
bankssts,0.1922075719871953,76.00504139900167,395.432087368884,178,pd_baseline & pd_followup,,0.1866885953221219,0.19789256385683887
caudalanteriorcingulate,0.14825170915410854,58.657415361032115,395.66097211100197,178,pd_baseline & pd_followup,,0.14399486477009396,0.15263660280053584
caudalmiddlefrontal,0.1215545562189451,120.90542106413852,994.6597217331997,178,pd_baseline & pd_followup,,0.11806428394522635,0.12514981865672706
cuneus,0.13813600794750797,76.12877762183845,551.1146496340591,178,pd_baseline & pd_followup,,0.13416962204196478,0.14222170589357494
eTIV,0.0006346649567915701,101.36746161594382,159718.0694021426,178,pd_baseline & pd_followup,,0.0006164414235017066,0.0006534366684468639
entoinalvolume,0.42025611959540177,137.7739756658946,327.8333598057665,178,pd_baseline & pd_followup,,0.40818904183451193,0.4326861846462572
frontalpole,0.4012677561979289,69.66105174708417,173.60241552207657,178,pd_baseline & pd_followup,,0.38974590323445535,0.413136195656117
fusiform,0.1729211831871298,208.41045515432236,1205.2338025514618,178,pd_baseline & pd_followup,,0.1679559887099308,0.1780357346605414
inferiorparietal,0.09991554920982801,164.54159341546205,1646.8066754046047,178,pd_baseline & pd_followup,,0.097046611327382,0.10287078702401092
inferiortemporal,0.1398146972342002,207.28739769220218,1482.5866077940298,178,pd_baseline & pd_followup,,0.13580011006943826,0.1439500463716736
insula,0.24429087748732703,173.7091447524098,711.0750370177914,178,pd_baseline & pd_followup,,0.23727640017821935,0.25151635584900195
isthmuscingulate,0.14532539549081475,60.5590065614773,416.71317223633434,178,pd_baseline & pd_followup,,0.1411525761878905,0.14962373651492933
lateraloccipital,0.10161000089886525,168.54567276337932,1658.75082445021,178,pd_baseline & pd_followup,,0.09869240916144774,0.10461535611464733
lateralorbitofrontal,0.22095242105730714,176.84852140923505,800.3918697200737,178,pd_baseline & pd_followup,,0.21460807549745592,0.22748760957408698
lingual,0.10622016484757793,99.96850482851632,941.1443201200777,178,pd_baseline & pd_followup,,0.10317019857885526,0.10936187652577815
medialorbitofrontal,0.23352774941542684,148.06989181074937,634.0569468998954,178,pd_baseline & pd_followup,,0.22682232055877022,0.24043488290156914
middletemporal,0.12864302216661613,202.47839304468215,1573.95550597712,178,pd_baseline & pd_followup,,0.12494921432064131,0.1324479426884378
paracentral,0.1548826163081223,78.16773365739834,504.6901680811747,178,pd_baseline & pd_followup,,0.15043537452470815,0.15946363465905106
parahippocampal,0.23916178069211458,69.06668939705784,288.7864825106441,178,pd_baseline & pd_followup,,0.23229457835887293,0.2462355539295952
parsopercularis,0.18397240525494266,111.36068525858614,605.3118950326617,178,pd_baseline & pd_followup,,0.1786898901015485,0.18941382266269596
parsorbitalis,0.22084357498399945,72.13743075060398,326.64491487167095,178,pd_baseline & pd_followup,,0.21450235478977486,0.22737554412167058
parstriangularis,0.15363903372467744,87.84202500487821,571.7428889997573,178,pd_baseline & pd_followup,,0.14922749970859087,0.15818327019025683
pericalcarine,0.15573298542167358,72.28093718765699,464.13376711391004,178,pd_baseline & pd_followup,,0.15126132645611687,0.16033915544299052
postcentral,0.11026508419679952,128.74500988894715,1167.5954435328315,178,pd_baseline & pd_followup,,0.10709897361976653,0.11352643389641556
posteriorcingulate,0.16372478896964987,69.25670818926845,423.0068557431872,178,pd_baseline & pd_followup,,0.15902365633228552,0.16856733541320817
precentral,0.1282386984941937,173.95336892168785,1356.4810853844092,178,pd_baseline & pd_followup,,0.12455650024762313,0.1320316601906337
precuneus,0.1397689739491223,142.4065716105002,1018.871124161919,178,pd_baseline & pd_followup,,0.13575569966574577,0.14390297071269476
rostralanteriorcingulate,0.1679976217025431,79.92579561485293,475.75551847019415,178,pd_baseline & pd_followup,,0.16317380053681957,0.1729665472429065
rostralmiddlefrontal,0.18017455643037342,327.3490888983699,1816.844150382968,178,pd_baseline & pd_followup,,0.17500109129422664,0.1855036435096876
superiorfrontal,0.12864352358869674,316.43462009441316,2459.7788622933576,178,pd_baseline & pd_followup,,0.12494970134507496,0.132448458941258
superiorparietal,0.14331805911044138,224.20098142841806,1564.3595986437972,178,pd_baseline & pd_followup,,0.13920287771703183,0.14755702843091245
superiortemporal,0.12984944651741792,166.15094335171193,1279.5660498208172,178,pd_baseline & pd_followup,,0.12612099785177397,0.13369004988229688
supramarginal,0.13294212541117537,205.89644910199155,1548.767544261659,178,pd_baseline & pd_followup,,0.12912487471514963,0.13687420204208986
temporalpole,0.4209558469692378,168.7379981454989,400.8448851830053,178,pd_baseline & pd_followup,,0.4088686774970372,0.4334066081060492
transversetemporal,0.17546269211682666,29.30636271220275,167.02332762961353,178,pd_baseline & pd_followup,,0.17042452169839883,0.18065241470578058
