region,hemisphere,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,lh,0.02878562891684711,2782.5177166537146,96663.4331558834,89,pd,0.027622033086809238,0.029998965143116077
BrainSegVolNotVent,rh,0.02878562891684711,2782.5177166537146,96663.4331558834,89,pd,0.027622033086809238,0.029998965143116077
WhiteSurfArea,lh,0.05320526935944014,416.78016830143116,7833.437802669116,89,pd,0.051054563194863234,0.05544791206593404
WhiteSurfArea,rh,0.05264905112294693,411.4418203911833,7814.800297737134,89,pd,0.050520828859015175,0.05486824880630105
bankssts,lh,0.17998332222740618,30.34081373978612,168.57569559390046,89,pd,0.17270789170528192,0.1875697566115076
bankssts,rh,0.16500319270767022,21.298825041343143,129.08129043949742,89,pd,0.1583333010220586,0.17195820320060004
caudalanteriorcingulate,lh,0.1613184588547249,21.594872386673547,133.86485675592016,89,pd,0.1547975144427154,0.16811815500379054
caudalanteriorcingulate,rh,0.159748662359234,21.589166670934198,135.14458495048723,89,pd,0.15329117352297159,0.16648219038804243
caudalmiddlefrontal,lh,0.10299858738629593,38.25373121146436,371.40054230058365,89,pd,0.09883509569644293,0.10734005644682362
caudalmiddlefrontal,rh,0.13144484384404376,44.45402410683729,338.19526735929594,89,pd,0.12613147471048303,0.13698534432270115
cuneus,lh,0.14980568656030993,30.34365969464873,202.55345702402786,89,pd,0.14375012068398063,0.15612011057132533
cuneus,rh,0.140362810824629,30.668281808330818,218.49293005857612,89,pd,0.13468895246149473,0.14627921041716271
eTIV,lh,0.0004883873692063198,78.63724399205732,161014.08216156575,89,pd,0.00046864538240126355,0.0005089732695256077
eTIV,rh,0.0004883873692063198,78.63724399205732,161014.08216156575,89,pd,0.00046864538240126355,0.0005089732695256077
entorhinal,lh,0.3385680709581415,30.16673229323177,89.1009368008639,89,pd,0.3248822002520027,0.3528389735233827
entorhinal,rh,0.34638394012945145,25.432814197988126,73.42376840128128,89,pd,0.33238213007725464,0.3609842875448547
frontalpole,lh,0.390688626552613,13.293258342953964,34.025199198277136,89,pd,0.37489589685360053,0.40715645031136777
frontalpole,rh,0.41413573699594464,16.447078116348052,39.71422083892535,89,pd,0.3973952093517453,0.43159187435328034
fusiform,lh,0.16149630055744116,57.39596141897352,355.40109105198275,89,pd,0.15496816728517485,0.16830349286999416
fusiform,rh,0.1516711234881094,57.32930742700894,377.9843262748917,89,pd,0.1455401514208417,0.15806417708921844
inferiorparietal,lh,0.10052883295344785,60.447436969055325,601.2945260893149,89,pd,0.09646517566247427,0.10476619997986611
inferiorparietal,rh,0.08853729359113822,58.712303119510096,663.1364110884305,89,pd,0.08495836794309748,0.09226920808222885
inferiortemporal,lh,0.17813967943081854,76.22476883936996,427.8932637743532,89,pd,0.17093877411974268,0.18564840286408885
inferiortemporal,rh,0.14104193163729573,63.392011362480154,449.45507074803425,89,pd,0.1353406213067928,0.14698695669034662
insula,lh,0.27818007445671783,76.60741945558478,275.3878745815929,89,pd,0.26693525588518335,0.2899055768850144
insula,rh,0.3553279232400075,99.22512332768848,279.2494392867248,89,pd,0.3409645723133196,0.37030526636901917
isthmuscingulate,lh,0.12376054772675563,25.131058719432225,203.06195456501825,89,pd,0.11875779938750451,0.12897714925988654
isthmuscingulate,rh,0.14282053307639997,22.683013111963557,158.82179280082633,89,pd,0.13704732668888125,0.14884052753742846
lateraloccipital,lh,0.0934147778619842,58.109602281110135,622.0600595653533,89,pd,0.08963869062421317,0.0973522820372874
lateraloccipital,rh,0.09866386494765784,60.83190719884239,616.5571076210557,89,pd,0.09467559489248029,0.10282262214940303
lateralorbitofrontal,lh,0.1618361933039671,48.61352803529106,300.3872436864801,89,pd,0.15529432061389406,0.1686577123551714
lateralorbitofrontal,rh,0.35738363868282225,120.7387441495366,337.840715357124,89,pd,0.34293718997411565,0.37244763178654433
lingual,lh,0.13348360693035116,49.73378759303557,372.5834859930447,89,pd,0.12808782527655282,0.13911004282895517
lingual,rh,0.12581932482330915,49.94945915804798,396.99353996846753,89,pd,0.12073335494141094,0.13112270538219203
medialorbitofrontal,lh,0.2798582305266911,66.91323152527242,239.09688630326227,89,pd,0.26854557618159014,0.2916544685140027
medialorbitofrontal,rh,0.24665487606882458,57.21174547437544,231.9505958536637,89,pd,0.23668439440655947,0.2570515673269764
middletemporal,lh,0.15379501881409843,68.60972588298965,446.11149575606527,89,pd,0.1475781929427712,0.16027759622402435
middletemporal,rh,0.11479989630183648,51.44599890956476,448.13628380204176,89,pd,0.11015936261707765,0.1196387995391883
paracentral,lh,0.1569744362947658,26.37542660851822,168.02370647785338,89,pd,0.15062908945441122,0.16359102857783797
paracentral,rh,0.13541185569913683,29.501652532710104,217.86609732502293,89,pd,0.1299381288236754,0.1411195687548662
parahippocampal,lh,0.24689530716907157,20.84219632850684,84.41714250256811,89,pd,0.23691510660761317,0.2573021327815811
parahippocampal,rh,0.2846882296022939,21.98191171221849,77.21398156476987,89,pd,0.2731803331521935,0.29668805573660073
parsopercularis,lh,0.15799065484244035,36.99754926593643,234.1755548948958,89,pd,0.15160422959911266,0.16465008151281257
parsopercularis,rh,0.14282124779498223,24.98364305004092,174.92945507593217,89,pd,0.1370480125165345,0.14884127238194442
parsorbitalis,lh,0.1788566112925959,17.097276719368757,95.59208684435436,89,pd,0.1716267255855316,0.18639555395095847
parsorbitalis,rh,0.18374186326312844,22.31743952996681,121.46083169956218,89,pd,0.17631450197413345,0.1914867230201732
parstriangularis,lh,0.14570875527944374,30.32353516310797,208.11059091783997,89,pd,0.1398187988524733,0.15185049051044433
parstriangularis,rh,0.14923156993256506,32.628418715364816,218.64286980368152,89,pd,0.14319921146003886,0.15552179448959047
pericalcarine,lh,0.1833154900914078,42.90393663451078,234.04425132386416,89,pd,0.17590536400147994,0.1910423778938827
pericalcarine,rh,0.19695437835513932,50.293811252504085,255.35767050487465,89,pd,0.18899293016084212,0.2052561557062923
postcentral,lh,0.14220963478688836,70.93857934691104,498.83103527561786,89,pd,0.13646112262106988,0.1482038794188139
postcentral,rh,0.11756307190719353,55.03075513175927,468.095586811491,89,pd,0.11281084291706744,0.12251844510499703
posteriorcingulate,lh,0.16638070740725952,27.21083913880379,163.54563917196404,89,pd,0.1596551327152113,0.17339378119601165
posteriorcingulate,rh,0.15931369726317937,29.486785344277507,185.0863161851464,89,pd,0.15287379093565573,0.16602889118125047
precentral,lh,0.10621296695729748,55.19881047282197,519.6993554940842,89,pd,0.10191954103269905,0.11068992456975993
precentral,rh,0.12119871918194419,70.14055305148509,578.7235502562506,89,pd,0.11629952713533569,0.12630733768688113
precuneus,lh,0.13891462379252914,59.31105237178456,426.96046501458636,89,pd,0.1332993052096628,0.14476998119649245
precuneus,rh,0.08661607852978581,37.339325619026184,431.09000375935767,89,pd,0.08311481378123257,0.09026701233988711
rostralanteriorcingulate,lh,0.18891641007542928,34.61936523736682,183.25229250092266,89,pd,0.1812798790958737,0.1968793809295088
rostralanteriorcingulate,rh,0.16789932905821814,22.0795924110289,131.50494724950883,89,pd,0.16111236742112295,0.17497641390847693
rostralmiddlefrontal,lh,0.19760637266777503,144.62320100154855,731.8751872678507,89,pd,0.1896185690352978,0.2059356320767676
rostralmiddlefrontal,rh,0.14423261995442593,105.51523199629757,731.5628879905105,89,pd,0.13840233305608468,0.1503121349549812
superiorfrontal,lh,0.11780745016608446,110.79278142038875,940.4564928974656,89,pd,0.11304534272154562,0.12277312409399468
superiorfrontal,rh,0.1068595086352275,98.44597472471236,921.265463242627,89,pd,0.10253994768323195,0.11136371847281559
superiorparietal,lh,0.12329350539859231,77.55868662087029,629.0573568342701,89,pd,0.11830963621974001,0.12849042074117312
superiorparietal,rh,0.11669818879618214,66.33134473782168,568.4008074338833,89,pd,0.11198092080636457,0.12161710651083085
superiortemporal,lh,0.1357891224590784,61.69911194552179,454.37448028368783,89,pd,0.13030014540339865,0.14151273759664612
superiortemporal,rh,0.12561518658336818,45.46154129867917,361.91118713585877,89,pd,0.12053746854149168,0.13090996255965176
supramarginal,lh,0.10793629669887772,71.85551081079812,665.7214765414983,89,pd,0.10357320895424835,0.11248589397508718
supramarginal,rh,0.12942648401673315,65.67342016232114,507.41871465681186,89,pd,0.1241947026464747,0.13488190908838116
temporalpole,lh,0.4214227538439295,28.51209238679477,67.6567464066119,89,pd,0.40438766454737846,0.43918604452241145
temporalpole,rh,0.3783300176261343,24.982912743054058,66.03470932550262,89,pd,0.36303685755102894,0.3942769165873068
transversetemporal,lh,0.19824369611169665,13.940113301516543,70.31806597099688,89,pd,0.19023013007868703,0.20659981919021664
transversetemporal,rh,0.2499883443687658,10.356842338883885,41.42930089414959,89,pd,0.23988311457143024,0.2605255438596584
