region,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high
3rd-Ventricle,0.04587768818228955,33.556677275934355,731.4378427832039,89,pd,0.044023183393983645,0.04781146775020669
4th-Ventricle,0.06566658745551723,43.54269324075624,663.0874989545057,89,pd,0.06301215987442181,0.06843448422947333
5th-Ventricle,0.9845209814109553,0.13126865838484564,0.1333325148609016,89,pd,0.9447238829399154,1.026019292103367
Accumbensarea,0.22473496360337328,34.85248950036969,155.08263129843743,89,pd,0.21565054626206753,0.23420771382317557
Amygdala,0.1864166610433301,72.12458217569801,386.89987135288084,89,pd,0.1788811769284546,0.19427426556805172
Brain-Stem,0.08006748050195164,176.95646169962697,2210.0915451600063,89,pd,0.07683092844665912,0.08344238590769197
BrainSegVol,0.026774615171141995,2785.2360047446955,104025.2488015834,89,pd,0.025692310155190932,0.027903185633347326
BrainSegVol-to-eTIV,0.06403492234285232,0.0018390651798952632,0.028719722186100888,89,pd,0.06144645124047757,0.066734043187123
BrainSegVolNotVent,0.02878562891684711,2782.5177166537146,96663.4331558834,89,pd,0.027622033086809238,0.029998965143116077
CC_Anterior,0.23017464193296447,35.46508356281633,154.0790213247952,89,pd,0.22087033754179283,0.2398766787455874
CC_Central,0.2522001236755604,27.84235473828525,110.39786314340864,89,pd,0.2420054875572518,0.2628305513521285
CC_Mid_Anterior,0.27656625699004345,31.902161326791905,115.35088074009116,89,pd,0.26538667344533745,0.2882237357805533
CC_Mid_Posterior,0.2842552348847787,29.07589952651015,102.28800021324463,89,pd,0.2727648412951919,0.29623680996130736
CC_Posterior,0.3120566818443129,52.46457034583465,168.12513045950277,89,pd,0.2994424758188547,0.3252101091265425
CSF,0.1403075716117784,48.224243776479376,343.7037874899055,89,pd,0.13463594617250738,0.14622164282933528
Caudate,0.09105321857419729,79.82100870012184,876.6412648563041,89,pd,0.0873725921841845,0.09489118122332328
CerebellumCortex,0.05222306010179962,545.5826636318835,10447.15998197667,89,pd,0.05011205758933734,0.0544243019385222
CerebellumWhiteMatter,0.15547153224645735,636.2881370787989,4092.634374183301,89,pd,0.14918693700158156,0.16202477597696927
CerebralWhiteMatterVol,0.037990459364752996,3779.8964178918122,99495.93874610387,89,pd,0.03645477847948396,0.0395917862189624
CortexVol,0.03126593349721262,2548.2859220840373,81503.59311393081,89,pd,0.030002076801752143,0.0325838164543601
EstimatedTotalIntraCranialVol,0.0004883873692063198,78.63724399205732,161014.08216156575,89,pd,0.00046864538240126355,0.0005089732695256077
Hippocampus,0.11609038786795631,88.44759300991778,761.8855844509708,89,pd,0.1113976888958114,0.12098368630964396
InfLatVent,0.06162655642990393,47.75646272745238,774.9331699520181,89,pd,0.05913543823031297,0.0642241628130269
LateralVentricle,0.006915041894244353,123.08654483160433,17799.826337141043,89,pd,0.0066355165124671045,0.007206516187221977
MaskVol,0.01461714544216642,2067.0894462103906,141415.39840244112,89,pd,0.01402627943980482,0.015233269277461292
MaskVol-to-eTIV,0.03620537194465268,0.0012913412924033102,0.035667118525322415,89,pd,0.03474184929793671,0.037731456001835785
Optic-Chiasm,0.4371360827866999,14.428735080532892,33.007421827434406,89,pd,0.4194658166772108,0.45556170227156706
Pallidum,0.16655333426658772,75.95399714486238,456.03408349237424,89,pd,0.15982078151287382,0.17357368440919874
Putamen,0.1605352651672642,160.04281275685372,996.9324346903006,89,pd,0.15404597964002228,0.16730194910471807
SubCortGrayVol,0.072630213996789,353.1260548496189,4861.97183537461,89,pd,0.06969429710626172,0.07569163294367175
SupraTentorialVol,0.02839037653741268,2733.4215198038046,96279.86145945324,89,pd,0.027242757916761166,0.02958705257425615
SupraTentorialVolNotVent,0.030763578052518694,2728.5516816268228,88694.2239608383,89,pd,0.029520027972638207,0.03206028634430551
SurfaceHoles,0.4048240547608144,17.217672977161794,42.531249748325,89,pd,0.3884599314206772,0.42188769760583544
Thalamus,0.12684005834212073,199.62220608518564,1573.81042467477,89,pd,0.12171282754945692,0.13218646359778263
TotalGrayVol,0.02705694003616702,1384.0857559653455,51154.556062704716,89,pd,0.025963222657588478,0.02819741070688615
VentralDC,0.13394679176429825,102.2669617471629,763.4894453248174,89,pd,0.12853228688083296,0.13959275125712736
WM-hypointensities,0.09259189666474407,204.433700363351,2207.900558550634,89,pd,0.08884907259216188,0.09649471576961122
WMhypointensities,,0.0,0.0,89,pd,,
choroidplexus,0.16351140681391266,73.08617932716857,446.97908697186926,89,pd,0.15690181729679975,0.17040353739298125
non-WM-hypointensities,0.8970639834795964,0.8147697735703879,0.9082627199121296,89,pd,0.8608021420770932,0.9348759149673923
nonWMhypointensities,,0.0,0.0,89,pd,,
vessel,0.21233899633190462,13.02793762876989,61.35442784332498,89,pd,0.20375565874355592,0.2212892470713737
